dataset,method,seed,output_dir,status,validation_status,best_validation_round,best_validation_mse,test_mse_at_best_validation,final_train_mse,final_val_mse,final_test_mse,diverged,finite_history,runtime_seconds,wall_runtime_seconds,notes
abs,gda,0,results/centralized_lowdim_v1/abs/gda/seed_0,completed_valid,pass,499,0.4597706571191981,0.4758878802020764,0.4691890142673658,0.4597706571191981,0.4758878802020764,False,True,35.611576795578,37.024089097976685,
abs,gda,1,results/centralized_lowdim_v1/abs/gda/seed_1,completed_valid,pass,499,0.2703778948485589,0.2765509474125304,0.2754125278329103,0.2703778948485589,0.2765509474125304,False,True,33.028897285461426,34.46068358421326,
abs,gda,2,results/centralized_lowdim_v1/abs/gda/seed_2,completed_valid,pass,499,0.15963593391831804,0.16317114808314226,0.1625608216057321,0.15963593391831804,0.16317114808314226,False,True,28.706303596496582,30.2312753200531,
abs,sgda,0,results/centralized_lowdim_v1/abs/sgda/seed_0,completed_valid,pass,499,0.457139542471367,0.4730251810335294,0.46650200506986705,0.457139542471367,0.4730251810335294,False,True,21.202409505844116,22.735411167144775,
abs,sgda,1,results/centralized_lowdim_v1/abs/sgda/seed_1,completed_valid,pass,499,0.2686326001770831,0.2748039198173379,0.2736476096797966,0.2686326001770831,0.2748039198173379,False,True,23.950665712356567,25.475501537322998,
abs,sgda,2,results/centralized_lowdim_v1/abs/sgda/seed_2,completed_valid,pass,499,0.16046383011122003,0.16396291882773256,0.1634050146908393,0.16046383011122003,0.16396291882773256,False,True,22.82737445831299,24.35164713859558,
abs,oadam,0,results/centralized_lowdim_v1/abs/oadam/seed_0,completed_valid,pass,293,0.002452301260900929,0.0025611681405078635,0.050330095992088424,0.050088390092220984,0.051634071007821886,False,True,23.414913654327393,24.920851945877075,OAdam/PyTorch deprecation warning in run log
abs,oadam,1,results/centralized_lowdim_v1/abs/oadam/seed_1,completed_valid,pass,367,0.001860230969645918,0.001863966978189924,0.026951171108731218,0.02682938980455641,0.026665649565852753,False,True,21.72865390777588,23.252155780792236,OAdam/PyTorch deprecation warning in run log
abs,oadam,2,results/centralized_lowdim_v1/abs/oadam/seed_2,completed_valid,pass,146,0.0009024838437940774,0.0009134084095055021,0.003571980891855906,0.0034848079694419064,0.0036061974557498404,False,True,20.474658727645874,21.997910261154175,OAdam/PyTorch deprecation warning in run log
step,gda,0,results/centralized_lowdim_v1/step/gda/seed_0,completed_valid,pass,499,0.0998471966266708,0.10085418027316843,0.10072771690704192,0.0998471966266708,0.10085418027316843,False,True,33.70096826553345,35.22716808319092,
step,gda,1,results/centralized_lowdim_v1/step/gda/seed_1,completed_valid,pass,340,0.04602864234186397,0.046356853424594814,0.05558554654887434,0.054742805222487104,0.05478953064708052,False,True,30.895087957382202,32.41053128242493,
step,gda,2,results/centralized_lowdim_v1/step/gda/seed_2,completed_valid,pass,227,0.02711343899349277,0.02756616175977892,0.060197973686754405,0.05922505792497569,0.06080034816648595,False,True,29.252209663391113,30.786330223083496,
step,sgda,0,results/centralized_lowdim_v1/step/sgda/seed_0,completed_valid,pass,499,0.09889824425387012,0.09993839179631007,0.09978639286400309,0.09889824425387012,0.09993839179631007,False,True,21.81402349472046,23.341624975204468,
step,sgda,1,results/centralized_lowdim_v1/step/sgda/seed_1,completed_valid,pass,345,0.04675791724046566,0.04705868497803368,0.055319223847932426,0.05447668294352016,0.054532054205056475,False,True,22.73801827430725,24.150800466537476,
step,sgda,2,results/centralized_lowdim_v1/step/sgda/seed_2,completed_valid,pass,226,0.02716828828655137,0.02760176339934863,0.06274858172052425,0.061761480477376514,0.06329886174140302,False,True,21.51948595046997,23.038541555404663,
step,oadam,0,results/centralized_lowdim_v1/step/oadam/seed_0,completed_valid,pass,492,0.017543878947170563,0.017875128368278575,0.032117831043798784,0.03204642295690591,0.03242381415706493,False,True,25.630146741867065,27.032034397125244,OAdam/PyTorch deprecation warning in run log
step,oadam,1,results/centralized_lowdim_v1/step/oadam/seed_1,completed_valid,pass,499,0.01673041167963161,0.01689954924351908,0.016904627109203072,0.01673041167963161,0.01689954924351908,False,True,22.608894109725952,24.140350818634033,OAdam/PyTorch deprecation warning in run log
