dataset,method,seed,source,g_lr,f_lr,output_dir,best_validation_round,best_validation_mse,test_mse_at_best_validation,final_test_mse,finite_history,diverged,runtime_seconds,last50_validation_mse_mean,last50_validation_slope,best_at_final,selection_source,test_mse_used_for_selection
abs,gda,0,c5a_selected,0.005,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p005_flr_0p03,499,0.05302576367829993,0.054314857088677705,0.054314857088677705,True,False,102.57512831687927,0.06706372183749904,-0.0005961042421061219,True,validation_only,False
abs,gda,1,c5b_confirm,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/gda/seed_1/glr_0p005_flr_0p03,499,0.10632701740698818,0.10983557881627441,0.10983557881627441,True,False,169.44548439979553,0.11600881415015343,-0.00039091096294650667,True,validation_only,False
abs,gda,2,c5b_confirm,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/gda/seed_2/glr_0p005_flr_0p03,499,0.004204602522418393,0.004356505613566896,0.004356505613566896,True,False,399.8453862667084,0.008051507015503062,-0.0001742034895851517,True,validation_only,False
abs,sgda,0,c5a_selected,0.005,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p005_flr_0p03,499,0.050380845932419975,0.05147121728718953,0.05147121728718953,True,False,77.65493202209473,0.06482311053223355,-0.0006184007554681017,True,validation_only,False
abs,sgda,1,c5b_confirm,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/sgda/seed_1/glr_0p005_flr_0p03,499,0.11010715280738495,0.11368856159290733,0.11368856159290733,True,False,282.9353199005127,0.11844685620617142,-0.0003040293503849075,True,validation_only,False
abs,sgda,2,c5b_confirm,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/sgda/seed_2/glr_0p005_flr_0p03,499,0.00349665773829746,0.003614945186955071,0.003614945186955071,True,False,218.23462629318237,0.008461384003201086,-0.00021814595511855217,True,validation_only,False
linear,gda,0,c5a_selected,0.005,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p005_flr_0p03,440,0.015301129722497654,0.015596942119116596,0.07755469605159047,True,False,108.9588725566864,0.05421724197270053,0.0013563040123223428,False,validation_only,False
linear,gda,1,c5b_confirm,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/gda/seed_1/glr_0p005_flr_0p03,319,0.011748277213242068,0.012042814708910358,0.02600928585743516,True,False,189.20233416557312,0.03763148812428174,-0.0004820026596394626,False,validation_only,False
linear,gda,2,c5b_confirm,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/gda/seed_2/glr_0p005_flr_0p03,73,0.0009900679516931454,0.0009915312770676994,0.050379380143635646,True,False,151.18380165100098,0.04121825192965331,0.0007544034104566599,False,validation_only,False
linear,sgda,0,c5a_selected,0.005,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p005_flr_0p03,434,0.010889469178672782,0.011146386879056738,0.09941223116147384,True,False,64.2149977684021,0.07385113135868857,0.0017660343096173427,False,validation_only,False
linear,sgda,1,c5b_confirm,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/sgda/seed_1/glr_0p005_flr_0p03,320,0.011371893185553586,0.011690063027747406,0.026781550794295214,True,False,116.85359644889832,0.039588361170882755,-0.0005555342272748884,False,validation_only,False
linear,sgda,2,c5b_confirm,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/sgda/seed_2/glr_0p005_flr_0p03,73,0.0011519770934856305,0.0011554443949617263,0.04770785152391305,True,False,97.37209463119507,0.04134678847774509,0.0006225336606151205,False,validation_only,False
sin,gda,0,c5a_selected,0.005,0.03,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/sin/gda/seed_0/glr_0p005_flr_0p03,470,0.09374256732495806,0.0948203372384028,0.09890828284303067,True,False,381.527845621109,0.09476303175542175,4.4568833722866174e-05,False,validation_only,False
