run_id,training_scope,run_group,dataset,method,seed,iterations,batch_size,g_lr,f_lr,weight_decay,gradient_clip_norm,selection_metric_source,test_mse_used_for_selection,output_dir,status,command
centralized_c5a_abs_gda_seed0_glr0p001_flr0p03,centralized,centralized_c5a_gda_sgda_lr_screen,abs,gda,0,500,0,0.001,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p001_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method gda --seed 0 --output-dir results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p001_flr_0p03 --iterations 500 --batch-size 0 --g-lr 0.001 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5a_abs_gda_seed0_glr0p002_flr0p01,centralized,centralized_c5a_gda_sgda_lr_screen,abs,gda,0,500,0,0.002,0.01,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p002_flr_0p01,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method gda --seed 0 --output-dir results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p002_flr_0p01 --iterations 500 --batch-size 0 --g-lr 0.002 --f-lr 0.01 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5a_abs_gda_seed0_glr0p002_flr0p03,centralized,centralized_c5a_gda_sgda_lr_screen,abs,gda,0,500,0,0.002,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p002_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method gda --seed 0 --output-dir results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p002_flr_0p03 --iterations 500 --batch-size 0 --g-lr 0.002 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5a_abs_gda_seed0_glr0p005_flr0p01,centralized,centralized_c5a_gda_sgda_lr_screen,abs,gda,0,500,0,0.005,0.01,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p005_flr_0p01,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method gda --seed 0 --output-dir results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p005_flr_0p01 --iterations 500 --batch-size 0 --g-lr 0.005 --f-lr 0.01 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5a_abs_gda_seed0_glr0p005_flr0p03,centralized,centralized_c5a_gda_sgda_lr_screen,abs,gda,0,500,0,0.005,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p005_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method gda --seed 0 --output-dir results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p005_flr_0p03 --iterations 500 --batch-size 0 --g-lr 0.005 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5a_abs_sgda_seed0_glr0p001_flr0p03,centralized,centralized_c5a_gda_sgda_lr_screen,abs,sgda,0,500,256,0.001,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p001_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method sgda --seed 0 --output-dir results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p001_flr_0p03 --iterations 500 --batch-size 256 --g-lr 0.001 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5a_abs_sgda_seed0_glr0p002_flr0p01,centralized,centralized_c5a_gda_sgda_lr_screen,abs,sgda,0,500,256,0.002,0.01,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p002_flr_0p01,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method sgda --seed 0 --output-dir results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p002_flr_0p01 --iterations 500 --batch-size 256 --g-lr 0.002 --f-lr 0.01 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5a_abs_sgda_seed0_glr0p002_flr0p03,centralized,centralized_c5a_gda_sgda_lr_screen,abs,sgda,0,500,256,0.002,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p002_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method sgda --seed 0 --output-dir results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p002_flr_0p03 --iterations 500 --batch-size 256 --g-lr 0.002 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5a_abs_sgda_seed0_glr0p005_flr0p01,centralized,centralized_c5a_gda_sgda_lr_screen,abs,sgda,0,500,256,0.005,0.01,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p005_flr_0p01,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method sgda --seed 0 --output-dir results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p005_flr_0p01 --iterations 500 --batch-size 256 --g-lr 0.005 --f-lr 0.01 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5a_abs_sgda_seed0_glr0p005_flr0p03,centralized,centralized_c5a_gda_sgda_lr_screen,abs,sgda,0,500,256,0.005,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p005_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method sgda --seed 0 --output-dir results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p005_flr_0p03 --iterations 500 --batch-size 256 --g-lr 0.005 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
