run_id,training_scope,run_group,dataset,method,seed,iterations,batch_size,g_lr,f_lr,weight_decay,gradient_clip_norm,selection_metric_source,test_mse_used_for_selection,output_dir,status,command
centralized_c5b_abs_gda_seed1_glr0p005_flr0p03,centralized,centralized_c5b_gda_sgda_lr_confirm,abs,gda,1,500,0,0.005,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/gda/seed_1/glr_0p005_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method gda --seed 1 --output-dir results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/gda/seed_1/glr_0p005_flr_0p03 --iterations 500 --batch-size 0 --g-lr 0.005 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5b_abs_gda_seed2_glr0p005_flr0p03,centralized,centralized_c5b_gda_sgda_lr_confirm,abs,gda,2,500,0,0.005,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/gda/seed_2/glr_0p005_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method gda --seed 2 --output-dir results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/gda/seed_2/glr_0p005_flr_0p03 --iterations 500 --batch-size 0 --g-lr 0.005 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5b_abs_sgda_seed1_glr0p005_flr0p03,centralized,centralized_c5b_gda_sgda_lr_confirm,abs,sgda,1,500,256,0.005,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/sgda/seed_1/glr_0p005_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method sgda --seed 1 --output-dir results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/sgda/seed_1/glr_0p005_flr_0p03 --iterations 500 --batch-size 256 --g-lr 0.005 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5b_abs_sgda_seed2_glr0p005_flr0p03,centralized,centralized_c5b_gda_sgda_lr_confirm,abs,sgda,2,500,256,0.005,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/sgda/seed_2/glr_0p005_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset abs --method sgda --seed 2 --output-dir results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/sgda/seed_2/glr_0p005_flr_0p03 --iterations 500 --batch-size 256 --g-lr 0.005 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5b_step_gda_seed1_glr0p005_flr0p03,centralized,centralized_c5b_gda_sgda_lr_confirm,step,gda,1,500,0,0.005,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/gda/seed_1/glr_0p005_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset step --method gda --seed 1 --output-dir results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/gda/seed_1/glr_0p005_flr_0p03 --iterations 500 --batch-size 0 --g-lr 0.005 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5b_step_gda_seed2_glr0p005_flr0p03,centralized,centralized_c5b_gda_sgda_lr_confirm,step,gda,2,500,0,0.005,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/gda/seed_2/glr_0p005_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset step --method gda --seed 2 --output-dir results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/gda/seed_2/glr_0p005_flr_0p03 --iterations 500 --batch-size 0 --g-lr 0.005 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5b_step_sgda_seed1_glr0p005_flr0p03,centralized,centralized_c5b_gda_sgda_lr_confirm,step,sgda,1,500,256,0.005,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/sgda/seed_1/glr_0p005_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset step --method sgda --seed 1 --output-dir results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/sgda/seed_1/glr_0p005_flr_0p03 --iterations 500 --batch-size 256 --g-lr 0.005 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5b_step_sgda_seed2_glr0p005_flr0p03,centralized,centralized_c5b_gda_sgda_lr_confirm,step,sgda,2,500,256,0.005,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/sgda/seed_2/glr_0p005_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset step --method sgda --seed 2 --output-dir results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/sgda/seed_2/glr_0p005_flr_0p03 --iterations 500 --batch-size 256 --g-lr 0.005 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5b_linear_gda_seed1_glr0p005_flr0p03,centralized,centralized_c5b_gda_sgda_lr_confirm,linear,gda,1,500,0,0.005,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/gda/seed_1/glr_0p005_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset linear --method gda --seed 1 --output-dir results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/gda/seed_1/glr_0p005_flr_0p03 --iterations 500 --batch-size 0 --g-lr 0.005 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
centralized_c5b_linear_gda_seed2_glr0p005_flr0p03,centralized,centralized_c5b_gda_sgda_lr_confirm,linear,gda,2,500,0,0.005,0.03,0.0,1.0,validation,False,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/gda/seed_2/glr_0p005_flr_0p03,ready_not_launched,/home/arnav22103/miniconda3/envs/fedgmm/bin/python scripts/run_centralized_lowdim.py --dataset linear --method gda --seed 2 --output-dir results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/gda/seed_2/glr_0p005_flr_0p03 --iterations 500 --batch-size 0 --g-lr 0.005 --f-lr 0.03 --weight-decay 0.0 --gradient-clip-norm 1.0
