dataset,method,seed,g_lr,f_lr,output_dir,status,validation_status,best_validation_round,best_validation_mse,test_mse_at_best_validation,final_test_mse,finite_history,diverged,runtime_seconds,wall_runtime_seconds,last50_validation_mse_mean,last50_validation_slope,centralized_config_valid,best_validation_round_matches_min_val,notes
abs,gda,1,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/gda/seed_1/glr_0p005_flr_0p03,completed_valid,pass,499,0.10632701740698818,0.10983557881627441,0.10983557881627441,True,False,169.44548439979553,170.915931224823,0.11600881415015343,-0.00039091096294650667,True,True,
abs,gda,2,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/gda/seed_2/glr_0p005_flr_0p03,completed_valid,pass,499,0.004204602522418393,0.004356505613566896,0.004356505613566896,True,False,399.8453862667084,401.3542809486389,0.008051507015503062,-0.0001742034895851517,True,True,
abs,sgda,1,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/sgda/seed_1/glr_0p005_flr_0p03,completed_valid,pass,499,0.11010715280738495,0.11368856159290733,0.11368856159290733,True,False,282.9353199005127,284.77588844299316,0.11844685620617142,-0.0003040293503849075,True,True,
abs,sgda,2,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/sgda/seed_2/glr_0p005_flr_0p03,completed_valid,pass,499,0.00349665773829746,0.003614945186955071,0.003614945186955071,True,False,218.23462629318237,219.8597960472107,0.008461384003201086,-0.00021814595511855217,True,True,
step,gda,1,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/gda/seed_1/glr_0p005_flr_0p03,completed_valid,pass,499,0.029781702692594985,0.03003227612140899,0.03003227612140899,True,False,308.24447536468506,309.8755421638489,0.03353048743127186,-0.00015809668144582984,True,True,
step,gda,2,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/gda/seed_2/glr_0p005_flr_0p03,completed_valid,pass,56,0.027617710485785853,0.028180397192555735,0.03245915446208441,True,False,169.90005111694336,171.40142345428467,0.030885317107655384,7.077504594689649e-05,True,True,
step,sgda,1,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/sgda/seed_1/glr_0p005_flr_0p03,completed_valid,pass,499,0.028516111819436498,0.02876437565678985,0.02876437565678985,True,False,257.2021107673645,258.676522731781,0.03154416607205278,-0.0001565765302069317,True,True,
step,sgda,2,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/sgda/seed_2/glr_0p005_flr_0p03,completed_valid,pass,57,0.027936490191135442,0.02854950017772844,0.032914915910189135,True,False,129.1667103767395,130.70194387435913,0.031896853444236664,6.384183112209268e-05,True,True,
linear,gda,1,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/gda/seed_1/glr_0p005_flr_0p03,completed_valid,pass,319,0.011748277213242068,0.012042814708910358,0.02600928585743516,True,False,189.20233416557312,190.72968912124634,0.03763148812428174,-0.0004820026596394626,True,True,
linear,gda,2,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/gda/seed_2/glr_0p005_flr_0p03,completed_valid,pass,73,0.0009900679516931454,0.0009915312770676994,0.050379380143635646,True,False,151.18380165100098,152.63372254371643,0.04121825192965331,0.0007544034104566599,True,True,
linear,sgda,1,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/sgda/seed_1/glr_0p005_flr_0p03,completed_valid,pass,320,0.011371893185553586,0.011690063027747406,0.026781550794295214,True,False,116.85359644889832,118.28763771057129,0.039588361170882755,-0.0005555342272748884,True,True,
linear,sgda,2,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/sgda/seed_2/glr_0p005_flr_0p03,completed_valid,pass,73,0.0011519770934856305,0.0011554443949617263,0.04770785152391305,True,False,97.37209463119507,98.89669179916382,0.04134678847774509,0.0006225336606151205,True,True,
sin,gda,1,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/sin/gda/seed_1/glr_0p005_flr_0p03,completed_valid,pass,468,0.0801376191109789,0.08118429031668362,0.08403226923094712,True,False,147.9752378463745,149.56910586357117,0.0808279235942988,3.539013623734485e-05,True,True,
sin,gda,2,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/sin/gda/seed_2/glr_0p005_flr_0p03,completed_valid,pass,458,0.08276295925994495,0.08534746667293774,0.08533846782872886,True,False,179.97735118865967,181.51333832740784,0.08289358665022888,5.594855973389436e-06,True,True,
sin,sgda,1,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/sin/sgda/seed_1/glr_0p005_flr_0p03,completed_valid,pass,455,0.08054649712154029,0.08171502878435061,0.08712774396704391,True,False,123.14332246780396,124.577876329422,0.08182891605905507,9.679168078699e-05,True,True,
sin,sgda,2,0.005,0.03,results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/sin/sgda/seed_2/glr_0p005_flr_0p03,completed_valid,pass,181,0.08311841282108942,0.08564188668616475,0.08647976449475248,True,False,117.55213499069214,119.0844075679779,0.08422484623497817,7.465409985409172e-06,True,True,
