dataset,method,number_of_seeds,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_best_validation_mse,std_best_validation_mse,mean_final_test_mse,std_final_test_mse,mean_runtime_seconds
abs,gda,3,0.30520332523258303,0.15831505835783147,0.2965948286286917,0.15177519141922083,0.30520332523258303,0.15831505835783147,32.448925892512
abs,oadam,3,0.0017795145094010964,0.0008271198204562864,0.0017383386914469748,0.0007820657275480972,0.027301972676474825,0.024020258945508667,21.87274209658305
abs,sgda,3,0.3039306732262,0.15657632740311248,0.29541199091989007,0.15013983949144583,0.3039306732262,0.15657632740311248,22.660149892171223
linear,gda,3,0.08439628361658941,0.09640939884691904,0.08211761970371394,0.09382422460511257,0.11489295374442436,0.06677170496537038,32.311852852503456
linear,oadam,3,0.0007596637352553279,0.0006194178043768109,0.0007439620583110646,0.000601607136007834,0.02166447256371619,0.015324063522954939,22.120526790618896
linear,sgda,3,0.08574717921454679,0.09600294830118769,0.08342734315831304,0.09338166089052373,0.11511381091504928,0.06582545785688441,22.459015289942425
sin,gda,3,0.10113594997705458,0.022348426963806737,0.10024292276404831,0.023683659228805373,0.11882869771456081,0.009005710432352333,31.182515541712444
sin,oadam,3,0.03767611917382725,0.0034331735080523453,0.03679573970306755,0.00314989999820097,0.04145794511598001,0.0064532799419782195,21.939523855845135
sin,sgda,3,0.10119913616978989,0.021933185433061424,0.10032334272538017,0.023260681276890044,0.11878371875107611,0.008241753790930534,22.583523909250896
step,gda,3,0.058259065152514056,0.038066131894597524,0.05766309265400918,0.03773685467033259,0.0721480196955783,0.025041270397938884,31.28275529543559
step,oadam,3,0.01721401417344212,0.0005727677904835276,0.01697256642272293,0.0004966798592754473,0.022301023169819908,0.008773187925090844,23.282176574071247
step,sgda,3,0.058199613391230795,0.03743310254829286,0.05760814992696238,0.03707549470717435,0.07258976924758986,0.024086813717864627,22.023842573165894
