family,phase,artifact_status,dataset,method,mode,training_scope,partition_alpha,comm_round_or_iterations,local_epochs,batch_size,g_learning_rate,f_learning_rate,server_learning_rate,critic_multiplier,weight_decay,gradient_clip_norm,number_of_runs,number_of_seeds,seeds,diverged_runs,mean_best_validation_mse,std_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,std_final_validation_mse,mean_final_test_mse,std_final_test_mse,mean_runtime_seconds,std_runtime_seconds
_failed,20260617_134220,archived_failure,abs,fedgda_s,stochastic,federated,0.5,3,2,256,0.001,0.01,1.5,10,0.1,1,1,1,0,0,0.26682152162616146,0.0,0.27427429091201805,0.0,0.26682152162616146,0.0,0.27427429091201805,0.0,1330.3663716316223,0.0
_failed,20260617_200552_fedgda_s_batch256,archived_failure,abs,fedgda_s,stochastic,federated,0.5,3,2,256,0.001,0.01,1.5,10,0.1,1,1,1,0,0,0.26682152162616146,0.0,0.27427429091201805,0.0,0.26682152162616146,0.0,0.27427429091201805,0.0,15.824090242385864,0.0
_failed,20260710T225238Z,archived_failure,femnist_x,fedgda_s,stochastic,federated,0.5,1,1,256,0.003,0.03,1.5,10,0.05,1,1,1,0,0,0.23369964631561865,0.0,0.2367904255635709,0.0,0.23369964631561865,0.0,0.2367904255635709,0.0,237.22039079666138,0.0
_failed,20260710T225238Z,archived_failure,femnist_x,fedogda_s,stochastic,federated,0.5,1,1,256,0.003,0.03,1.5,10,0.05,1,1,1,0,0,0.23369964631561865,0.0,0.2367904255635709,0.0,0.23369964631561865,0.0,0.2367904255635709,0.0,256.350421667099,0.0
_golden,,golden_reference,abs,fedgda_d,deterministic,federated,0.5,3,2,0,0.001,0.01,1.5,10,0.1,1,1,1,0,0,0.26682152162616146,0.0,0.27427429091201805,0.0,0.26682152162616146,0.0,0.27427429091201805,0.0,1399.6419985294342,0.0
_smoke,real_image_abs,smoke,cifar10_x,fedgda_s,stochastic,federated,0.5,1,1,256,0.003,0.03,1.5,10,0.05,1,1,1,0,0,0.25777988478053976,0.0,0.26470110549614545,0.0,0.25777988478053976,0.0,0.26470110549614545,0.0,165.22894406318665,0.0
_smoke,real_image_abs,smoke,cifar10_x,fedogda_s,stochastic,federated,0.5,1,1,256,0.003,0.03,1.5,10,0.05,1,1,1,0,0,0.25777988478053976,0.0,0.26470110549614545,0.0,0.25777988478053976,0.0,0.26470110549614545,0.0,171.57498455047607,0.0
_smoke,real_image_abs,smoke,femnist_x,fedgda_s,stochastic,federated,0.5,1,1,256,0.003,0.03,1.5,10,0.05,1,1,1,0,0,0.23369964631561865,0.0,0.2367904255635709,0.0,0.23369964631561865,0.0,0.2367904255635709,0.0,150.15826988220215,0.0
_smoke,real_image_abs,smoke,femnist_x,fedogda_s,stochastic,federated,0.5,1,1,256,0.003,0.03,1.5,10,0.05,1,1,1,0,0,0.23369964631561865,0.0,0.2367904255635709,0.0,0.23369964631561865,0.0,0.2367904255635709,0.0,152.02320337295532,0.0
abs,,primary,abs,fedgda_s,stochastic,federated,0.5,1500,7,256,0.003,0.03,1.5,10,0.03,1,5,5,0|1|2|3|4,0,0.0021931290706161317,0.0030046667113706,0.0022570467584851353,0.0030788978000748928,0.014312264489328078,0.001539840514065394,0.014773424585229308,0.0016646485345902285,2600.6632177829742,1945.0726857650598
abs,,primary,abs,fedogda_s,stochastic,federated,0.5,1500,7,256,0.001,0.01,1.5,10,0.1,1,5,5,0|1|2|3|4,0,0.001569429821819177,0.0019218792070976258,0.001612649981222299,0.0019575924793148545,0.005330003019981951,0.0036839573131227103,0.005415666653746629,0.0036992041536037866,2944.871943426132,2882.4815191860803
