artifact_status,family,phase,dataset,method,mode,training_scope,seed,partition_alpha,run_id,comm_round_or_iterations,local_epochs,batch_size,g_learning_rate,f_learning_rate,server_learning_rate,critic_multiplier,weight_decay,gradient_clip_norm,best_validation_mse,best_validation_round,test_mse_at_best_validation,final_validation_mse,final_test_mse,runtime_seconds,diverged,selection_metric_source,test_mse_used_for_selection,test_mse_logged_by_round,has_mse_by_round,has_predictions,has_best_validation_checkpoint,config_path,metrics_path
archived_failure,_failed,20260617_134220,abs,fedgda_s,stochastic,federated,0,0.5,smoke,3,2,256,0.001,0.01,1.5,10.0,0.1,1.0,0.26682152162616146,2,0.27427429091201805,0.26682152162616146,0.27427429091201805,1330.3663716316223,False,,,,True,True,True,results/_failed/20260617_134220/abs/fedgda_s/seed_0/smoke/effective_config.json,results/_failed/20260617_134220/abs/fedgda_s/seed_0/smoke/metrics.json
archived_failure,_failed,20260617_200552_fedgda_s_batch256,abs,fedgda_s,stochastic,federated,0,0.5,smoke,3,2,256,0.001,0.01,1.5,10.0,0.1,1.0,0.26682152162616146,2,0.27427429091201805,0.26682152162616146,0.27427429091201805,15.824090242385864,False,,,,True,True,True,results/_failed/20260617_200552_fedgda_s_batch256/abs/fedgda_s/seed_0/smoke/effective_config.json,results/_failed/20260617_200552_fedgda_s_batch256/abs/fedgda_s/seed_0/smoke/metrics.json
archived_failure,_failed,20260710T225238Z,femnist_x,fedgda_s,stochastic,federated,0,0.5,tune_femnist_x_fedgda_s_seed0_lr0p003_wd0p05,1,1,256,0.003,0.03,1.5,10.0,0.05,1.0,0.23369964631561865,0,0.2367904255635709,0.23369964631561865,0.2367904255635709,237.22039079666138,False,validation,False,False,True,True,True,results/_failed/20260710T225238Z/real_image_abs_femnist_fedgda_s_image_indexing_bug/femnist_x/fedgda_s/seed_0/tune_femnist_x_fedgda_s_seed0_lr0p003_wd0p05/effective_config.json,results/_failed/20260710T225238Z/real_image_abs_femnist_fedgda_s_image_indexing_bug/femnist_x/fedgda_s/seed_0/tune_femnist_x_fedgda_s_seed0_lr0p003_wd0p05/metrics.json
archived_failure,_failed,20260710T225238Z,femnist_x,fedogda_s,stochastic,federated,0,0.5,tune_femnist_x_fedogda_s_seed0_lr0p003_wd0p05,1,1,256,0.003,0.03,1.5,10.0,0.05,1.0,0.23369964631561865,0,0.2367904255635709,0.23369964631561865,0.2367904255635709,256.350421667099,False,validation,False,False,True,True,True,results/_failed/20260710T225238Z/real_image_abs_femnist_fedogda_s_image_indexing_bug/femnist_x/fedogda_s/seed_0/tune_femnist_x_fedogda_s_seed0_lr0p003_wd0p05/effective_config.json,results/_failed/20260710T225238Z/real_image_abs_femnist_fedogda_s_image_indexing_bug/femnist_x/fedogda_s/seed_0/tune_femnist_x_fedogda_s_seed0_lr0p003_wd0p05/metrics.json
golden_reference,_golden,,abs,fedgda_d,deterministic,federated,0,0.5,smoke,3,2,0,0.001,0.01,1.5,10.0,0.1,1.0,0.26682152162616146,2,0.27427429091201805,0.26682152162616146,0.27427429091201805,1399.6419985294342,False,,,,True,True,True,results/_golden/abs/fedgda_d/seed_0/smoke/effective_config.json,results/_golden/abs/fedgda_d/seed_0/smoke/metrics.json
smoke,_smoke,real_image_abs,cifar10_x,fedgda_s,stochastic,federated,0,0.5,tune_cifar10_x_fedgda_s_seed0_lr0p003_wd0p05,1,1,256,0.003,0.03,1.5,10.0,0.05,1.0,0.25777988478053976,0,0.26470110549614545,0.25777988478053976,0.26470110549614545,165.22894406318665,False,validation,False,False,True,True,True,results/_smoke/real_image_abs/cifar10_x_fedgda_s/cifar10_x/fedgda_s/seed_0/tune_cifar10_x_fedgda_s_seed0_lr0p003_wd0p05/effective_config.json,results/_smoke/real_image_abs/cifar10_x_fedgda_s/cifar10_x/fedgda_s/seed_0/tune_cifar10_x_fedgda_s_seed0_lr0p003_wd0p05/metrics.json
smoke,_smoke,real_image_abs,cifar10_x,fedogda_s,stochastic,federated,0,0.5,tune_cifar10_x_fedogda_s_seed0_lr0p003_wd0p05,1,1,256,0.003,0.03,1.5,10.0,0.05,1.0,0.25777988478053976,0,0.26470110549614545,0.25777988478053976,0.26470110549614545,171.57498455047607,False,validation,False,False,True,True,True,results/_smoke/real_image_abs/cifar10_x_fedogda_s/cifar10_x/fedogda_s/seed_0/tune_cifar10_x_fedogda_s_seed0_lr0p003_wd0p05/effective_config.json,results/_smoke/real_image_abs/cifar10_x_fedogda_s/cifar10_x/fedogda_s/seed_0/tune_cifar10_x_fedogda_s_seed0_lr0p003_wd0p05/metrics.json
smoke,_smoke,real_image_abs,femnist_x,fedgda_s,stochastic,federated,0,0.5,tune_femnist_x_fedgda_s_seed0_lr0p003_wd0p05,1,1,256,0.003,0.03,1.5,10.0,0.05,1.0,0.23369964631561865,0,0.2367904255635709,0.23369964631561865,0.2367904255635709,150.15826988220215,False,validation,False,False,True,True,True,results/_smoke/real_image_abs/femnist_x_fedgda_s/femnist_x/fedgda_s/seed_0/tune_femnist_x_fedgda_s_seed0_lr0p003_wd0p05/effective_config.json,results/_smoke/real_image_abs/femnist_x_fedgda_s/femnist_x/fedgda_s/seed_0/tune_femnist_x_fedgda_s_seed0_lr0p003_wd0p05/metrics.json
smoke,_smoke,real_image_abs,femnist_x,fedogda_s,stochastic,federated,0,0.5,tune_femnist_x_fedogda_s_seed0_lr0p003_wd0p05,1,1,256,0.003,0.03,1.5,10.0,0.05,1.0,0.23369964631561865,0,0.2367904255635709,0.23369964631561865,0.2367904255635709,152.02320337295532,False,validation,False,False,True,True,True,results/_smoke/real_image_abs/femnist_x_fedogda_s/femnist_x/fedogda_s/seed_0/tune_femnist_x_fedogda_s_seed0_lr0p003_wd0p05/effective_config.json,results/_smoke/real_image_abs/femnist_x_fedogda_s/femnist_x/fedogda_s/seed_0/tune_femnist_x_fedogda_s_seed0_lr0p003_wd0p05/metrics.json
primary,abs,,abs,fedgda_s,stochastic,federated,0,0.5,repo_pilot_seed0,1500,7,256,0.003,0.03,1.5,10.0,0.03,1.0,0.0012188552796668995,155,0.001265037209833054,0.013205255590930392,0.013595246445348598,5854.611419439316,False,,,,True,True,True,results/abs/fedgda_s/seed_0/repo_pilot_seed0/effective_config.json,results/abs/fedgda_s/seed_0/repo_pilot_seed0/metrics.json
smoke,abs,,abs,fedgda_s,stochastic,federated,0,0.5,smoke,3,2,4,0.001,0.01,1.5,10.0,0.1,1.0,0.26334683702332146,1,0.27183304367709926,0.26347073031856955,0.27210541265011645,24.0094997882843,False,,,,True,True,True,results/abs/fedgda_s/seed_0/smoke/effective_config.json,results/abs/fedgda_s/seed_0/smoke/metrics.json
primary,abs,,abs,fedgda_s,stochastic,federated,1,0.5,repo_pilot_seed1,1500,7,256,0.003,0.03,1.5,10.0,0.03,1.0,0.0075507815438233235,156,0.007746168555496842,0.012374791439480956,0.012608361950224516,2660.069529771805,False,,,,True,True,True,results/abs/fedgda_s/seed_1/repo_pilot_seed1/effective_config.json,results/abs/fedgda_s/seed_1/repo_pilot_seed1/metrics.json
primary,abs,,abs,fedgda_s,stochastic,federated,2,0.5,repo_pilot_seed2,1500,7,256,0.003,0.03,1.5,10.0,0.03,1.0,0.0009096354796540735,233,0.0009476437023982283,0.015999344742851824,0.016620305048703484,2262.482798099518,False,,,,True,True,True,results/abs/fedgda_s/seed_2/repo_pilot_seed2/effective_config.json,results/abs/fedgda_s/seed_2/repo_pilot_seed2/metrics.json
primary,abs,,abs,fedgda_s,stochastic,federated,3,0.5,repo_pilot_seed3,1500,7,256,0.003,0.03,1.5,10.0,0.03,1.0,0.0005864452057168956,181,0.0005975252161795475,0.015598277139952628,0.016010534436760877,1138.8304104804993,False,,,,True,True,True,results/abs/fedgda_s/seed_3/repo_pilot_seed3/effective_config.json,results/abs/fedgda_s/seed_3/repo_pilot_seed3/metrics.json
primary,abs,,abs,fedgda_s,stochastic,federated,4,0.5,repo_pilot_seed4,1500,7,256,0.003,0.03,1.5,10.0,0.03,1.0,0.0006999278442194651,93,0.0007288591085180032,0.014383653533424587,0.015032675045109068,1087.3219311237335,False,,,,True,True,True,results/abs/fedgda_s/seed_4/repo_pilot_seed4/effective_config.json,results/abs/fedgda_s/seed_4/repo_pilot_seed4/metrics.json
smoke,abs,,abs,fedogda_d,deterministic,federated,0,0.5,smoke,3,2,0,0.001,0.01,1.5,10.0,0.1,1.0,0.26655132674252224,2,0.27398495115283017,0.26655132674252224,0.27398495115283017,14.22659945487976,False,,,,True,True,True,results/abs/fedogda_d/seed_0/smoke/effective_config.json,results/abs/fedogda_d/seed_0/smoke/metrics.json
primary,abs,,abs,fedogda_s,stochastic,federated,0,0.5,repo_pilot_seed0,1500,7,256,0.001,0.01,1.5,10.0,0.1,1.0,0.0010145840202529844,476,0.0010541233670793282,0.002228356427641248,0.0022974267103206387,7920.481705665588,False,,,,True,True,True,results/abs/fedogda_s/seed_0/repo_pilot_seed0/effective_config.json,results/abs/fedogda_s/seed_0/repo_pilot_seed0/metrics.json
smoke,abs,,abs,fedogda_s,stochastic,federated,0,0.5,smoke,3,2,4,0.001,0.01,1.5,10.0,0.1,1.0,0.2662460083401835,0,0.2736599716868316,0.2673087404410172,0.27587095040590737,25.329283237457275,False,,,,True,True,True,results/abs/fedogda_s/seed_0/smoke/effective_config.json,results/abs/fedogda_s/seed_0/smoke/metrics.json
primary,abs,,abs,fedogda_s,stochastic,federated,1,0.5,repo_pilot_seed1,1500,7,256,0.001,0.01,1.5,10.0,0.1,1.0,0.0049829567653985165,1486,0.005088600834895933,0.010126243099258695,0.010174280840737819,3010.043687105179,False,,,,True,True,True,results/abs/fedogda_s/seed_1/repo_pilot_seed1/effective_config.json,results/abs/fedogda_s/seed_1/repo_pilot_seed1/metrics.json
primary,abs,,abs,fedogda_s,stochastic,federated,2,0.5,repo_pilot_seed2,1500,7,256,0.001,0.01,1.5,10.0,0.1,1.0,0.0008411631718424417,751,0.00087524037340664,0.0015498796733789655,0.0016079830680421586,1230.8375158309937,False,,,,True,True,True,results/abs/fedogda_s/seed_2/repo_pilot_seed2/effective_config.json,results/abs/fedogda_s/seed_2/repo_pilot_seed2/metrics.json
primary,abs,,abs,fedogda_s,stochastic,federated,3,0.5,repo_pilot_seed3,1500,7,256,0.001,0.01,1.5,10.0,0.1,1.0,0.0005901103549995894,536,0.0006077370760955752,0.004760628758478683,0.004837763776363377,1247.425754070282,False,,,,True,True,True,results/abs/fedogda_s/seed_3/repo_pilot_seed3/effective_config.json,results/abs/fedogda_s/seed_3/repo_pilot_seed3/metrics.json
primary,abs,,abs,fedogda_s,stochastic,federated,4,0.5,repo_pilot_seed4,1500,7,256,0.001,0.01,1.5,10.0,0.1,1.0,0.000418334796602353,270,0.0004375482546340181,0.00798490714115216,0.008160878873269153,1315.5710544586182,False,,,,True,True,True,results/abs/fedogda_s/seed_4/repo_pilot_seed4/effective_config.json,results/abs/fedogda_s/seed_4/repo_pilot_seed4/metrics.json
primary,centralized_lowdim_v1,,abs,gda,deterministic,centralized,0,,centralized_abs_gda_seed0,500,,0,0.001,0.01,,,0.0,1.0,0.4597706571191981,499,0.4758878802020764,0.4597706571191981,0.4758878802020764,35.611576795578,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/abs/gda/seed_0/effective_config.json,results/centralized_lowdim_v1/abs/gda/seed_0/metrics.json
primary,centralized_lowdim_v1,,abs,gda,deterministic,centralized,1,,centralized_abs_gda_seed1,500,,0,0.001,0.01,,,0.0,1.0,0.2703778948485589,499,0.2765509474125304,0.2703778948485589,0.2765509474125304,33.028897285461426,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/abs/gda/seed_1/effective_config.json,results/centralized_lowdim_v1/abs/gda/seed_1/metrics.json
primary,centralized_lowdim_v1,,abs,gda,deterministic,centralized,2,,centralized_abs_gda_seed2,500,,0,0.001,0.01,,,0.0,1.0,0.15963593391831804,499,0.16317114808314226,0.15963593391831804,0.16317114808314226,28.706303596496582,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/abs/gda/seed_2/effective_config.json,results/centralized_lowdim_v1/abs/gda/seed_2/metrics.json
primary,centralized_lowdim_v1,,abs,oadam,stochastic,centralized,0,,centralized_abs_oadam_seed0,500,,256,0.001,0.01,,,0.0,1.0,0.002452301260900929,293,0.0025611681405078635,0.050088390092220984,0.051634071007821886,23.414913654327393,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/abs/oadam/seed_0/effective_config.json,results/centralized_lowdim_v1/abs/oadam/seed_0/metrics.json
primary,centralized_lowdim_v1,,abs,oadam,stochastic,centralized,1,,centralized_abs_oadam_seed1,500,,256,0.001,0.01,,,0.0,1.0,0.001860230969645918,367,0.001863966978189924,0.02682938980455641,0.026665649565852753,21.72865390777588,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/abs/oadam/seed_1/effective_config.json,results/centralized_lowdim_v1/abs/oadam/seed_1/metrics.json
primary,centralized_lowdim_v1,,abs,oadam,stochastic,centralized,2,,centralized_abs_oadam_seed2,500,,256,0.001,0.01,,,0.0,1.0,0.0009024838437940774,146,0.0009134084095055021,0.0034848079694419064,0.0036061974557498404,20.474658727645874,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/abs/oadam/seed_2/effective_config.json,results/centralized_lowdim_v1/abs/oadam/seed_2/metrics.json
primary,centralized_lowdim_v1,,abs,sgda,stochastic,centralized,0,,centralized_abs_sgda_seed0,500,,256,0.001,0.01,,,0.0,1.0,0.457139542471367,499,0.4730251810335294,0.457139542471367,0.4730251810335294,21.202409505844116,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/abs/sgda/seed_0/effective_config.json,results/centralized_lowdim_v1/abs/sgda/seed_0/metrics.json
primary,centralized_lowdim_v1,,abs,sgda,stochastic,centralized,1,,centralized_abs_sgda_seed1,500,,256,0.001,0.01,,,0.0,1.0,0.2686326001770831,499,0.2748039198173379,0.2686326001770831,0.2748039198173379,23.950665712356567,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/abs/sgda/seed_1/effective_config.json,results/centralized_lowdim_v1/abs/sgda/seed_1/metrics.json
primary,centralized_lowdim_v1,,abs,sgda,stochastic,centralized,2,,centralized_abs_sgda_seed2,500,,256,0.001,0.01,,,0.0,1.0,0.16046383011122003,499,0.16396291882773256,0.16046383011122003,0.16396291882773256,22.82737445831299,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/abs/sgda/seed_2/effective_config.json,results/centralized_lowdim_v1/abs/sgda/seed_2/metrics.json
primary,centralized_lowdim_v1,,linear,gda,deterministic,centralized,0,,centralized_linear_gda_seed0,500,,0,0.001,0.01,,,0.0,1.0,0.18488320518528284,499,0.18997627237152961,0.18488320518528284,0.18997627237152961,31.169386386871338,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/linear/gda/seed_0/effective_config.json,results/centralized_lowdim_v1/linear/gda/seed_0/metrics.json
primary,centralized_lowdim_v1,,linear,gda,deterministic,centralized,1,,centralized_linear_gda_seed1,500,,0,0.001,0.01,,,0.0,1.0,0.060440229724436974,499,0.06217460072183519,0.060440229724436974,0.06217460072183519,30.44187593460083,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/linear/gda/seed_1/effective_config.json,results/centralized_lowdim_v1/linear/gda/seed_1/metrics.json
primary,centralized_lowdim_v1,,linear,gda,deterministic,centralized,2,,centralized_linear_gda_seed2,500,,0,0.001,0.01,,,0.0,1.0,0.0010294242014219945,345,0.001037977756403426,0.09334361194733377,0.09252798813990828,35.32429623603821,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/linear/gda/seed_2/effective_config.json,results/centralized_lowdim_v1/linear/gda/seed_2/metrics.json
primary,centralized_lowdim_v1,,linear,oadam,stochastic,centralized,0,,centralized_linear_oadam_seed0,500,,256,0.001,0.01,,,0.0,1.0,0.00026428704740054355,196,0.00026491076410419093,0.039142445904836135,0.038438805462519036,22.484618425369263,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/linear/oadam/seed_0/effective_config.json,results/centralized_lowdim_v1/linear/oadam/seed_0/metrics.json
primary,centralized_lowdim_v1,,linear,oadam,stochastic,centralized,1,,centralized_linear_oadam_seed1,500,,256,0.001,0.01,,,0.0,1.0,0.0005486386061580602,199,0.0005597226160668643,0.017527881654551717,0.01815513756954807,22.283177375793457,False,validation,False,False,True,True,True,results/centralized_lowdim_v1/linear/oadam/seed_1/effective_config.json,results/centralized_lowdim_v1/linear/oadam/seed_1/metrics.json
