source,dataset,method,status,number_of_seeds,g_lr,f_lr,mean_best_validation_mse,std_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_test_mse,std_final_test_mse,mean_runtime_seconds,notes,c3_mean_test_mse_at_best_validation,c5_relative_test_improvement_pct
centralized_c5_tuned_gda_sgda,abs,gda,complete_validated,3,0.005,0.03,0.0545191278692355,0.0510775832231628,0.056168980506173,0.0527639749370819,0.056168980506173,0.0527639749370819,223.95533299446103,C5 tuned GDA/SGDA recipe selected by validation-only C5a and confirmed on seeds 1/2.,0.305203325232583,81.59620952249819
centralized_c3_full,abs,oadam,complete_validated,3,,,0.0017383386914469,0.000782065727548,0.001779514509401,0.0008271198204562,0.0273019726764748,0.0240202589455086,21.87274209658305,OAdam from C3 full centralized; strong and validation-passing; not retuned in C5.,,
centralized_c5_tuned_gda_sgda,abs,sgda,complete_validated,3,0.005,0.03,0.0546615521593674,0.0534340036780892,0.0562582413556839,0.0551927255781542,0.0562582413556839,0.0551927255781542,192.94162607192996,C5 tuned GDA/SGDA recipe selected by validation-only C5a and confirmed on seeds 1/2.,0.3039306732262,81.48977832394894
centralized_c5_tuned_gda_sgda,linear,gda,complete_validated,3,0.005,0.03,0.0093464916291442,0.0074517147520507,0.0095437627016982,0.0076166562327128,0.0513144540175537,0.0257854241846667,149.7816694577535,C5 tuned GDA/SGDA recipe selected by validation-only C5a and confirmed on seeds 1/2.,0.0843962836165894,88.69172635011356
centralized_c3_full,linear,oadam,complete_validated,3,,,0.000743962058311,0.0006016071360078,0.0007596637352553,0.0006194178043768,0.0216644725637161,0.0153240635229549,22.120526790618896,OAdam from C3 full centralized; strong and validation-passing; not retuned in C5.,,
centralized_c5_tuned_gda_sgda,linear,sgda,complete_validated,3,0.005,0.03,0.0078044464859039,0.0057662548498484,0.0079972981005886,0.0059314515538411,0.057967211159894,0.0373864250464672,92.81356294949848,C5 tuned GDA/SGDA recipe selected by validation-only C5a and confirmed on seeds 1/2.,0.0857471792145467,90.67339803612818
centralized_c5_tuned_gda_sgda,sin,gda,complete_validated,3,0.005,0.03,0.0855477152319606,0.0072173266064396,0.0871173647426747,0.006988193493012,0.0894263399675688,0.0082375341707547,236.4934782187144,C5 tuned GDA/SGDA recipe selected by validation-only C5a and confirmed on seeds 1/2.,0.1011359499770545,13.861129734343086
centralized_c3_full,sin,oadam,complete_validated,3,,,0.0367957397030675,0.0031498999982009,0.0376761191738272,0.0034331735080523,0.04145794511598,0.0064532799419782,21.93952385584513,OAdam from C3 full centralized; strong and validation-passing; not retuned in C5.,,
centralized_c5_tuned_gda_sgda,sin,sgda,complete_validated,3,0.005,0.03,0.086021981276136,0.0073695372695823,0.0876799502972288,0.0072035325650538,0.0926085821300428,0.0100594756406679,142.42282406489053,C5 tuned GDA/SGDA recipe selected by validation-only C5a and confirmed on seeds 1/2.,0.1011991361697898,13.358993351365012
centralized_c5_tuned_gda_sgda,step,gda,complete_validated,3,0.005,0.03,0.0318328721725112,0.0055336150286499,0.0321918636318558,0.0054239094783926,0.0348946908300841,0.0064356430959357,198.6037328243256,C5 tuned GDA/SGDA recipe selected by validation-only C5a and confirmed on seeds 1/2.,0.058259065152514,44.7435973310213
centralized_c3_full,step,oadam,complete_validated,3,,,0.0169725664227229,0.0004966798592754,0.0172140141734421,0.0005727677904835,0.0223010231698199,0.0087731879250908,23.282176574071247,OAdam from C3 full centralized; strong and validation-passing; not retuned in C5.,,
centralized_c5_tuned_gda_sgda,step,sgda,complete_validated,3,0.005,0.03,0.0315825478173455,0.0058204096332112,0.0319682203688549,0.0057363156547224,0.0368767038704661,0.0106604388809917,157.73026959101358,C5 tuned GDA/SGDA recipe selected by validation-only C5a and confirmed on seeds 1/2.,0.0581996133912307,45.07142143031538
