dataset,function,method,method_label,expected_runs,completed_runs,validated_runs,mean_best_validation_mse,std_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_test_mse,std_final_test_mse,mean_last50_val_mse_cv,mean_curve_mse_best,diverged_count,per_round_test_mse_runs,notes
abs,Absolute,fedgda_d,FedGDA-D,9,9,9,0.017561980024407637,0.01292411569434004,0.018008147975330253,0.013269392731644594,0.01863628592005673,0.012765344242026761,0.11147013996656598,0.018008147975330267,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
abs,Absolute,fedgda_s,FedGDA-S,9,9,9,0.002736248017341265,0.00265419196910971,0.0028040331828699154,0.0027143207836625906,0.005470959843370111,0.002223377161055156,0.4200380110348556,0.0028040331828699185,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
abs,Absolute,fedogda_d,FedOGDA-D,9,9,9,0.016477066381974378,0.012066534969123667,0.016891833766839528,0.01238568800539271,0.01764409714360518,0.011818036701309676,0.11982747426745036,0.01689183376683949,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
abs,Absolute,fedogda_s,FedOGDA-S,9,9,9,0.014180934187661746,0.011440454264858272,0.014494087220595543,0.0117211354692936,0.016232709818184674,0.010914779525976083,0.1613608833193679,0.014494087220595538,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
linear,Linear,fedgda_d,FedGDA-D,9,9,9,0.004138968092771271,0.00461897249195698,0.004226089512893182,0.004738705759421807,0.0050503455273883825,0.00446871824491636,0.35443045764701936,0.004226089512893184,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
linear,Linear,fedgda_s,FedGDA-S,9,9,9,0.00038252425496601176,0.00023057365722616648,0.0003867516968092574,0.000233534165113603,0.008750776850789031,0.007281435640788397,0.5509133773507535,0.0003867516968092584,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
linear,Linear,fedogda_d,FedOGDA-D,9,9,9,0.0028160036841186915,0.0031344343056370605,0.002861597679455012,0.003196017781610515,0.003108833847549584,0.0030356310220870154,0.18233459329021806,0.0028615976794550088,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
linear,Linear,fedogda_s,FedOGDA-S,9,9,9,0.002722330382233835,0.002733535478942307,0.00276799151442413,0.0027954943829638823,0.0032629913484135027,0.0024550632822498463,0.27994776630822965,0.0027679915144241275,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
sin,Sine,fedgda_d,FedGDA-D,9,9,9,0.08367166923269714,0.003373723892909831,0.08615231668824437,0.0037661536984655553,0.08799506510965094,0.0015458106462203744,0.002251067015711765,0.08615231668824443,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
sin,Sine,fedgda_s,FedGDA-S,9,9,9,0.07669784439447438,0.0040307316726648,0.07848899114603235,0.004192327214485312,0.08124743822839205,0.0028737063210052347,0.03288354458451493,0.0784889911460323,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
sin,Sine,fedogda_d,FedOGDA-D,9,9,9,0.08367003373632902,0.003402681785554615,0.08621344444851478,0.00372871498182728,0.08796456871977133,0.0016418542177113228,0.0012798805599630045,0.08621344444851482,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
sin,Sine,fedogda_s,FedOGDA-S,9,9,9,0.08342352473753935,0.0036248263249283558,0.08584824557195382,0.004141343670289889,0.08927694042982723,0.0024282571462442377,0.0059856865734371715,0.08584824557195399,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
step,Step,fedgda_d,FedGDA-D,9,9,9,0.029185747914049362,0.0024585983724482443,0.029729612297582555,0.0025834269866612304,0.03060260202111195,0.0014429355191698011,0.008280616692002139,0.029729612297582555,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
step,Step,fedgda_s,FedGDA-S,9,9,9,0.026574255456687,0.0017073485327071152,0.026938448056460482,0.0017447183498833145,0.029880272168051322,0.004312809055494764,0.08870548786654074,0.026938448056460524,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
step,Step,fedogda_d,FedOGDA-D,9,9,9,0.028635614525112416,0.0025995206576146673,0.029168797675244454,0.0027407506519857234,0.030127283775872205,0.0016866864723794493,0.0032589798139886082,0.029168797675244464,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
step,Step,fedogda_s,FedOGDA-S,9,9,9,0.028896597365733887,0.002748278951864264,0.02943277901372772,0.002867677759170261,0.03134234496136454,0.0025016039364177166,0.015030281795667788,0.029432779013727664,0,0,Test metrics are validation-selected scalar metrics; per-round Test MSE absent for legacy base sweep.
