dataset,alpha,seed,fedgda_s_test,fedogda_s_test,gap,winner,fedgda_s_val_cv,fedogda_s_val_cv,fedogda_lower_val_cv
abs,0.1,0,0.0007014676955070171,0.004224131604563522,0.003522663909056505,FedGDA-S,0.7433070534864684,0.2729360853305258,True
abs,0.1,1,0.006399854504840437,0.006492114916789562,9.226041194912524e-05,FedGDA-S,0.42474833281246,0.11655421306161694,True
abs,0.1,2,0.001397470631696574,0.025336297087413546,0.02393882645571697,FedGDA-S,0.37761084909586207,0.1436296585889711,True
abs,0.5,0,0.0005328621876962478,0.006701712291848975,0.006168850104152727,FedGDA-S,0.46070766309622696,0.2832289314632156,True
abs,0.5,1,0.006562232470117874,0.006969377204524669,0.00040714473440679484,FedGDA-S,0.2545758508081005,0.06491963498168615,True
abs,0.5,2,0.0010346327801986487,0.03241663467431333,0.03138200189411468,FedGDA-S,0.2112245549949526,0.1150223881354523,True
abs,1.0,0,0.0006057864695677811,0.007101696785203967,0.006495910315636186,FedGDA-S,0.6352848799375859,0.17508171364193437,True
abs,1.0,1,0.006905123990474533,0.00678978273812457,-0.00011534125234996268,FedOGDA-S,0.3731832879219716,0.18566888866988251,True
abs,1.0,2,0.0010968679157301287,0.03441503768257774,0.03331816976684761,FedGDA-S,0.2996996271600723,0.09520643600102596,True
step,0.1,0,0.028218572987749786,0.030507676798837383,0.002289103811087597,FedGDA-S,0.06367645851810372,0.03174869865826687,True
step,0.1,1,0.025218379926375142,0.02515483355049589,-6.354637587925246e-05,FedOGDA-S,0.11938947564251523,0.02078662714628903,True
step,0.1,2,0.028442072541331992,0.03188241102342823,0.003440338482096239,FedGDA-S,0.07377378947167945,0.03275021439387667,True
step,0.5,0,0.026161904214876575,0.030184297414644914,0.00402239319976834,FedGDA-S,0.026778154106624822,0.009537469572529302,True
step,0.5,1,0.024000679608566614,0.026275394847309213,0.0022747152387425987,FedGDA-S,0.2528896001427638,0.011641014220750204,True
step,0.5,2,0.028639580672589676,0.032898593690411884,0.004259013017822208,FedGDA-S,0.008187850533166827,0.015487847612725753,False
step,1.0,0,0.02846987321520255,0.03099247519075487,0.002522601975552319,FedGDA-S,0.03153580183590348,0.004299842453765762,True
step,1.0,1,0.024930481480437517,0.025195464127275868,0.00026498264683835066,FedGDA-S,0.18731519314163073,0.006983961359172774,True
step,1.0,2,0.028364487861014483,0.03180386448039119,0.0034393766193767106,FedGDA-S,0.034803067406478615,0.0020368607436337532,True
linear,0.1,0,6.552064568177548e-05,0.001262243924902869,0.0011967232792210935,FedGDA-S,0.8143347086514855,0.19066866289428747,True
linear,0.1,1,0.0007707277504424529,0.0008752994345104018,0.0001045716840679489,FedGDA-S,0.6951461198639886,0.3821247415442861,True
linear,0.1,2,0.00031834185054889806,0.006236724091884938,0.0059183822413360395,FedGDA-S,0.16468596339551284,0.21248386691945126,False
linear,0.5,0,0.00016656732111549775,0.0007847149540269521,0.0006181476329114544,FedGDA-S,0.6440292695830641,0.20042811752161932,True
linear,0.5,1,0.0005069194132579995,0.0007672509647585216,0.00026033155150052205,FedGDA-S,0.645948091539016,0.3950047065134369,True
linear,0.5,2,0.00039595862624269005,0.007251052753362265,0.006855094127119575,FedGDA-S,0.2692294647522796,0.2145518268623628,True
linear,1.0,0,8.424079270976279e-05,0.00038712078798622235,0.0003028799952764596,FedGDA-S,0.6888353153921855,0.4587848193340083,True
linear,1.0,1,0.0006129201898141918,0.0007490467925889216,0.00013612660277472985,FedGDA-S,0.7358129574115808,0.2850145161792131,True
linear,1.0,2,0.0005595686814700478,0.006598469925796079,0.006038901244326031,FedGDA-S,0.30019850556766875,0.1804686390054017,True
sin,0.1,0,0.0837320533183688,0.09010945455345735,0.006377401235088551,FedGDA-S,0.02301982658163123,0.015517457885272578,True
sin,0.1,1,0.07252873976572619,0.08011050574834426,0.0075817659826180744,FedGDA-S,0.05220757559575884,0.01041375553657297,True
sin,0.1,2,0.08011009984218251,0.08660816378567072,0.0064980639434882165,FedGDA-S,0.041911844499938254,0.010793924809900511,True
sin,0.5,0,0.08084465012555463,0.09058282447044726,0.00973817434489263,FedGDA-S,0.0166357529814587,0.0032118791082143363,True
sin,0.5,1,0.07087975474326494,0.08056486794652362,0.009685113203258683,FedGDA-S,0.06923237896834068,0.00231021635239506,True
sin,0.5,2,0.08237799902299964,0.08727304203073737,0.004895043007737729,FedGDA-S,0.008539479028482599,0.007261466751857996,True
sin,1.0,0,0.07978549290839898,0.09043478549269746,0.010649292584298475,FedGDA-S,0.008755621696099686,0.0006862703527037838,True
sin,1.0,1,0.0756283265223583,0.08047187678032089,0.004843550257962584,FedGDA-S,0.06663034961945388,0.002858199866905061,True
sin,1.0,2,0.08051380406543718,0.08647868933938554,0.005964885273948367,FedGDA-S,0.009019072289470456,0.0008180084971122493,True
