family,phase,artifact_status,dataset,method,mode,training_scope,partition_alpha,comm_round_or_iterations,local_epochs,batch_size,g_learning_rate,f_learning_rate,server_learning_rate,critic_multiplier,weight_decay,gradient_clip_norm,number_of_runs,number_of_seeds,seeds,diverged_runs,mean_best_validation_mse,std_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,std_final_validation_mse,mean_final_test_mse,std_final_test_mse,mean_runtime_seconds,std_runtime_seconds
abs,,primary,abs,fedgda_s,stochastic,federated,0.5,1500,7,256,0.003,0.03,1.5,10,0.03,1,5,5,0|1|2|3|4,0,0.0021931290706161317,0.0030046667113706,0.0022570467584851353,0.0030788978000748928,0.014312264489328078,0.001539840514065394,0.014773424585229308,0.0016646485345902285,2600.6632177829742,1945.0726857650598
abs,,primary,abs,fedogda_s,stochastic,federated,0.5,1500,7,256,0.001,0.01,1.5,10,0.1,1,5,5,0|1|2|3|4,0,0.001569429821819177,0.0019218792070976258,0.001612649981222299,0.0019575924793148545,0.005330003019981951,0.0036839573131227103,0.005415666653746629,0.0036992041536037866,2944.871943426132,2882.4815191860803
centralized_lowdim_v1,,primary,abs,gda,deterministic,centralized,,500,,0,0.001,0.01,,,0,1,3,3,0|1|2,0,0.2965948286286917,0.15177519141922083,0.30520332523258303,0.15831505835783147,0.2965948286286917,0.15177519141922083,0.30520332523258303,0.15831505835783147,32.448925892512,3.4889790198520556
centralized_lowdim_v1,,primary,abs,oadam,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.0017383386914469748,0.0007820657275480972,0.0017795145094010964,0.0008271198204562864,0.0268008626220731,0.023301804158020873,0.02730197267647483,0.024020258945508667,21.87274209658305,1.4754137769060018
centralized_lowdim_v1,,primary,abs,sgda,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.29541199091989007,0.15013983949144583,0.3039306732262,0.15657632740311248,0.29541199091989007,0.15013983949144583,0.3039306732262,0.15657632740311248,22.660149892171223,1.3817384288639902
centralized_lowdim_v1,,primary,linear,gda,deterministic,centralized,,500,,0,0.001,0.01,,,0,1,3,3,0|1|2,0,0.08211761970371394,0.09382422460511257,0.08439628361658941,0.09640939884691904,0.11288901561901786,0.06448279335531287,0.11489295374442436,0.06677170496537038,32.311852852503456,2.6340898273962536
centralized_lowdim_v1,,primary,linear,oadam,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.0007439620583110646,0.000601607136007834,0.0007596637352553279,0.0006194178043768109,0.021632292119439483,0.015861362249628648,0.02166447256371619,0.015324063522954939,22.120526790618896,0.4671591257827792
centralized_lowdim_v1,,primary,linear,sgda,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.08342734315831303,0.09338166089052373,0.08574717921454679,0.09600294830118769,0.11307789778823112,0.06340726338805569,0.11511381091504928,0.06582545785688441,22.459015289942425,2.0672353005984996
centralized_lowdim_v1,,primary,sin,gda,deterministic,centralized,,500,,0,0.001,0.01,,,0,1,3,3,0|1|2,0,0.1002429227640483,0.023683659228805373,0.10113594997705457,0.022348426963806737,0.11698913471581734,0.01132023982090524,0.11882869771456082,0.009005710432352333,31.182515541712444,2.3263334418638206
centralized_lowdim_v1,,primary,sin,oadam,stochastic,centralized,,500,,256,0.001,0.01,,,0,1,3,3,0|1|2,0,0.03679573970306755,0.00314989999820097,0.03767611917382726,0.0034331735080523453,0.040438043471605484,0.0064159530809236075,0.04145794511598002,0.0064532799419782195,21.939523855845135,0.7940372882640103
