panel,label,source,method,seed,curve_mse,curve_mae,curve_max_abs_error,best_validation_mse,test_mse_at_best_validation,best_validation_round,final_test_mse,run_dir,notes
sine,FedDeepGMM-GDA,"paired FedGDA-D baseline, alpha=1.0",fedgda_d,0,0.09006007294607926,0.2465251484080134,0.9908662804095479,0.08740836518316018,0.09006007294607915,499,0.09006007294607915,results/rerun_protocol_v1/sin/fedgda_d/seed_0/rerun_protocol_v1_sin_fedgda_d_seed0_alpha1p0,
sine,FedDeepGMM-GDA,"paired FedGDA-D baseline, alpha=1.0",fedgda_d,1,0.08103072747004508,0.2405799196158197,0.8285833755727552,0.07923183043221657,0.08103072747004482,168,0.08621352376094123,results/rerun_protocol_v1/sin/fedgda_d/seed_1/rerun_protocol_v1_sin_fedgda_d_seed1_alpha1p0,
sine,FedDeepGMM-GDA,"paired FedGDA-D baseline, alpha=1.0",fedgda_d,2,0.0872297883039324,0.2482125208982925,1.0231960567172493,0.08424701756484515,0.08722978830393281,478,0.08741161200313015,results/rerun_protocol_v1/sin/fedgda_d/seed_2/rerun_protocol_v1_sin_fedgda_d_seed2_alpha1p0,
sine,FedDeepGMM-OGDA-D tuned,"validation-locked Sine A2-lite FedOGDA-D, alpha=1.0",fedogda_d,0,0.08321021932625454,0.2351104219166823,0.9338045771318951,0.08107361413428762,0.08321021932625397,499,0.08321021932625397,results/sine_fedogda_tuning/stage_A2_from_A1_mini/sin/fedogda_d/seed_0/stage_A2_from_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm15_slr1.5_glr0p002,
sine,FedDeepGMM-OGDA-D tuned,"validation-locked Sine A2-lite FedOGDA-D, alpha=1.0",fedogda_d,1,0.07464631151131249,0.2195394986629834,0.8860124580947699,0.07270591745587794,0.07464631151131235,499,0.07464631151131235,results/sine_fedogda_tuning/stage_A2_from_A1_mini/sin/fedogda_d/seed_1/stage_A2_from_A1_mini_sin_fedogda_d_seed1_alpha1p0_R3_cm15_slr1.5_glr0p002,
sine,FedDeepGMM-OGDA-D tuned,"validation-locked Sine A2-lite FedOGDA-D, alpha=1.0",fedogda_d,2,0.08217807288456376,0.23357085062070018,0.9319964240584226,0.08005922766616173,0.08217807288456339,499,0.08217807288456339,results/sine_fedogda_tuning/stage_A2_from_A1_mini/sin/fedogda_d/seed_2/stage_A2_from_A1_mini_sin_fedogda_d_seed2_alpha1p0_R3_cm15_slr1.5_glr0p002,
step,FedDeepGMM-SGDA,"Step Geetika-recipe reproduction, minibatch",fedgda_s,0,0.006126142455462224,0.059170106893936064,0.37484030528972284,0.006003955305925284,0.006126142455462217,266,0.11187734949650062,results/curve_fitting_tuning/step_geetika_repro_v1/step/fedgda_s/seed_0/curvefit_step_geetika_repro_fedgda_s_seed0_alpha0p5_T1500_R7_batch256_glr0p03_wd0p02_cm15_slr1p5,lowest best_validation_mse in the 4-row Step reproduction
step,FedDeepGMM-OGDA-S,"Step Geetika-recipe reproduction, minibatch",fedogda_s,0,0.01346785762531772,0.08909319344469292,0.3567482063794376,0.013276624665699685,0.013467857625317697,1384,0.03807495838068217,results/curve_fitting_tuning/step_geetika_repro_v1/step/fedogda_s/seed_0/curvefit_step_geetika_repro_fedogda_s_seed0_alpha0p5_T1500_R7_batch256_glr0p01_wd0p02_cm15_slr1p5,
step,FedDeepGMM-GDA partial-FB,"Step Geetika-recipe reproduction, partial-client full batch",fedgda_d,0,0.006585997410491987,0.0568359811238193,0.4646343081179766,0.006352678641480749,0.00658599741049196,423,0.12677957217631558,results/curve_fitting_tuning/step_geetika_repro_v1/step/fedgda_d/seed_0/curvefit_step_geetika_repro_fedgda_d_partialfb_seed0_alpha0p5_T1500_R7_batch0_glr0p03_wd0p02_cm15_slr1p5,partial-client full-batch row; not standard full-participation D
step,FedDeepGMM-OGDA-D partial-FB,"Step Geetika-recipe reproduction, partial-client full batch",fedogda_d,0,0.013571058806423971,0.09050807104647254,0.3343068886514272,0.013380279592557952,0.013571058806424008,1311,0.029664733013192612,results/curve_fitting_tuning/step_geetika_repro_v1/step/fedogda_d/seed_0/curvefit_step_geetika_repro_fedogda_d_partialfb_seed0_alpha0p5_T1500_R7_batch0_glr0p01_wd0p02_cm15_slr1p5,partial-client full-batch row; not standard full-participation D
sine,FedDeepGMM-GDA,"mean across seeds 0,1,2",aggregate,mean,0.0849165271244275,0.2438390560084818,0.9466664487795756,0.08362907106007396,0.08610686290668558,,,,aggregate row
sine,FedDeepGMM-OGDA-D tuned,"mean across seeds 0,1,2",aggregate,mean,0.07991600483358359,0.2292645988681865,0.9171966261352538,0.07794625308544244,0.08001153457404324,,,,aggregate row
