source_family,dataset,method_label,rows,mean_curve_mse,mean_curve_mae,mean_curve_max_abs_error
base_sweep,abs,FedGDA-D,9,0.018008147975330235,0.10364800833220339,0.5028198661806296
base_sweep,abs,FedGDA-S,9,0.002804033182869867,0.03699131470525453,0.17329478693256656
base_sweep,abs,FedOGDA-D,9,0.016891833766839434,0.1004288009980215,0.4868721546160132
base_sweep,abs,FedOGDA-S,9,0.014494087220595479,0.09137073106377952,0.42381449012865485
base_sweep,linear,FedGDA-D,9,0.004226089512893133,0.04356239639218694,0.26266538381735877
base_sweep,linear,FedGDA-S,9,0.0003867516968092042,0.015620150338312488,0.06863163960923441
base_sweep,linear,FedOGDA-D,9,0.002861597679454956,0.03677454567991069,0.20063190458037441
base_sweep,linear,FedOGDA-S,9,0.002767991514424089,0.03669322799717957,0.20903470630075235
base_sweep,sin,FedGDA-D,9,0.0861523166882444,0.24514478156209382,0.9480862543486135
base_sweep,sin,FedGDA-S,9,0.07848899114603225,0.23223460633529625,0.8884561577099752
base_sweep,sin,FedOGDA-D,9,0.08621344444851478,0.24420755270701505,0.9651960078896182
base_sweep,sin,FedOGDA-S,9,0.08584824557195393,0.24589268227827382,0.9450053878887567
base_sweep,step,FedGDA-D,9,0.029729612297582513,0.1427330345053443,0.6310998656898049
base_sweep,step,FedGDA-S,9,0.026938448056460465,0.1375159915795521,0.5368706460120389
base_sweep,step,FedOGDA-D,9,0.029168797675244423,0.1413620090489021,0.6120002425420988
base_sweep,step,FedOGDA-S,9,0.02943277901372762,0.14215196746526845,0.627713085830103
centralized_c3_oadam,abs,DeepGMM-OAdam,3,0.0017795145094010331,0.030268878747631598,0.19908059432954697
centralized_c3_oadam,linear,DeepGMM-OAdam,3,0.0007596637352552667,0.020196495251206533,0.1251483869046919
centralized_c3_oadam,sin,DeepGMM-OAdam,3,0.03767611917382716,0.1514405525686314,0.6123025137074682
centralized_c3_oadam,step,DeepGMM-OAdam,3,0.0172140141734421,0.10737863238356231,0.40857081318660476
centralized_c5_tuned_gda_sgda,abs,DeepGMM-GDA,3,0.05616898050617286,0.17238876874898693,0.9750099960741051
centralized_c5_tuned_gda_sgda,abs,DeepGMM-SGDA,3,0.0562582413556841,0.17090466185775724,0.9423730225899386
centralized_c5_tuned_gda_sgda,linear,DeepGMM-GDA,3,0.009543762701698199,0.07130612096997387,0.38708518370881545
centralized_c5_tuned_gda_sgda,linear,DeepGMM-SGDA,3,0.0079972981005886,0.0683475228458207,0.3682528673501076
centralized_c5_tuned_gda_sgda,sin,DeepGMM-GDA,3,0.08711736474267452,0.2499190101608683,0.9681596072579759
centralized_c5_tuned_gda_sgda,sin,DeepGMM-SGDA,3,0.08767995029722876,0.2503045757188123,0.9492087541661123
centralized_c5_tuned_gda_sgda,step,DeepGMM-GDA,3,0.032191863631855895,0.1480701866965736,0.6691213328031967
centralized_c5_tuned_gda_sgda,step,DeepGMM-SGDA,3,0.031968220368854904,0.14599707152089877,0.6914312506780909
fedogda_s_tuning_pilot_all_configs,abs,FedOGDA-S,45,0.044802156730076675,0.15186469546824263,0.7281929759024062
fedogda_s_tuning_pilot_all_configs,linear,FedOGDA-S,45,0.005825661898927906,0.055002061058618046,0.2705649317917972
fedogda_s_tuning_pilot_all_configs,step,FedOGDA-S,45,0.030775983204527298,0.14376406995916752,0.6685284035075834
fedogda_s_tuning_pilot_selected,abs,FedOGDA-S,3,0.0060582853405837,0.05897021026598137,0.28807000082830675
fedogda_s_tuning_pilot_selected,linear,FedOGDA-S,3,0.0009676150524904666,0.024140932766027398,0.12123482478887056
fedogda_s_tuning_pilot_selected,step,FedOGDA-S,3,0.028600822706690936,0.14086760671158904,0.6031261182867022
tuned_sine_a2_lite,sin,Tuned FedOGDA-D,3,0.08001153457404353,0.22940692373345528,0.9172711530950292
