source_family,dataset,method,method_label,alpha,seed,prediction_key_used,curve_mse,curve_mae,curve_max_abs_error,best_validation_mse,test_mse_at_best_validation,final_test_mse,included,prediction_path,result_dir
base_sweep,abs,fedgda_d,FedGDA-D,0.1,0,best_validation_prediction,0.0116103374545564,0.0874918001586946,0.4160634642420284,0.0113588839248119,0.0116103374545564,0.0116103374545564,True,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p1
base_sweep,abs,fedgda_d,FedGDA-D,0.1,1,best_validation_prediction,0.0067379375553596,0.0693757370589387,0.3175162938145841,0.0065612445545074,0.0067379375553595,0.0080858826104512,True,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p1
base_sweep,abs,fedgda_d,FedGDA-D,0.1,2,best_validation_prediction,0.0372963691566733,0.1595789308288549,0.7920724673756521,0.0363386139857354,0.0372963691566734,0.0372963691566734,True,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p1
base_sweep,abs,fedgda_d,FedGDA-D,0.5,0,best_validation_prediction,0.0103339272561653,0.0821485602407359,0.4009614536142878,0.0101078552020007,0.0103339272561653,0.0103339272561653,True,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p5
base_sweep,abs,fedgda_d,FedGDA-D,0.5,1,best_validation_prediction,0.0067967435180782,0.0696977185618476,0.32013736740421,0.0066178059687769,0.0067967435180782,0.0085850867438286,True,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p5
base_sweep,abs,fedgda_d,FedGDA-D,0.5,2,best_validation_prediction,0.0361238569239145,0.1569441805473489,0.7761777218888104,0.035202733981553,0.0361238569239146,0.0361238569239146,True,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p5
base_sweep,abs,fedgda_d,FedGDA-D,1.0,0,best_validation_prediction,0.0096877656021609,0.0793381885222823,0.395237362118602,0.0094931610131617,0.0096877656021609,0.0096877656021609,True,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0
base_sweep,abs,fedgda_d,FedGDA-D,1.0,1,best_validation_prediction,0.0069985737178872,0.070537802735742,0.3288946887887638,0.0068136035300523,0.0069985737178872,0.0095155269395834,True,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0
base_sweep,abs,fedgda_d,FedGDA-D,1.0,2,best_validation_prediction,0.0364878205931767,0.1577191563353857,0.7783179763787267,0.0355639180590691,0.0364878205931765,0.0364878205931765,True,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0
base_sweep,abs,fedgda_s,FedGDA-S,0.1,0,best_validation_prediction,0.000701467695507,0.0182377413180227,0.1132903622947676,0.0006777260996648,0.000701467695507,0.0027008256542297,True,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p1
base_sweep,abs,fedgda_s,FedGDA-S,0.1,1,best_validation_prediction,0.0063998545048404,0.0677062956771189,0.3140563823528146,0.0062256801759515,0.0063998545048404,0.007709806988742,True,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p1
base_sweep,abs,fedgda_s,FedGDA-S,0.1,2,best_validation_prediction,0.0013974706316965,0.02547548674902,0.1403233990180729,0.0013642446348014,0.0013974706316965,0.0060858001334773,True,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p1
base_sweep,abs,fedgda_s,FedGDA-S,0.5,0,best_validation_prediction,0.0005328621876962,0.0159967191737542,0.1004118166052279,0.000523734151874,0.0005328621876962,0.0011184323427984,True,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p5
base_sweep,abs,fedgda_s,FedGDA-S,0.5,1,best_validation_prediction,0.0065622324701178,0.0686814091647979,0.2718671433646999,0.0064190842400504,0.0065622324701178,0.0086412352460949,True,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5
base_sweep,abs,fedgda_s,FedGDA-S,0.5,2,best_validation_prediction,0.0010346327801986,0.0247577831515205,0.1224814734879219,0.0010057351698245,0.0010346327801986,0.0054777432178673,True,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p5
base_sweep,abs,fedgda_s,FedGDA-S,1.0,0,best_validation_prediction,0.0006057864695677,0.0163553976465718,0.1009726377185481,0.0005863352658592,0.0006057864695677,0.0052234356849736,True,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha1p0
base_sweep,abs,fedgda_s,FedGDA-S,1.0,1,best_validation_prediction,0.0069051239904745,0.0711559410905213,0.2666316601213063,0.0067637938333682,0.0069051239904745,0.0069988871506201,True,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha1p0
base_sweep,abs,fedgda_s,FedGDA-S,1.0,2,best_validation_prediction,0.0010968679157301,0.0245550583759635,0.1296182074297397,0.0010598985846768,0.0010968679157301,0.0052824721715271,True,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha1p0
base_sweep,abs,fedogda_d,FedOGDA-D,0.1,0,best_validation_prediction,0.0107982605128912,0.084174959736159,0.4047808760837215,0.0105681540142306,0.0107982605128913,0.0107982605128913,True,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p1
base_sweep,abs,fedogda_d,FedOGDA-D,0.1,1,best_validation_prediction,0.0067872167072841,0.0696439395239605,0.317436871620413,0.0066106438795747,0.0067872167072841,0.0083906963986027,True,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p1
base_sweep,abs,fedogda_d,FedOGDA-D,0.1,2,best_validation_prediction,0.0353013954127928,0.1551817319581709,0.7655850069631303,0.0344018038607198,0.0353013954127931,0.0353013954127931,True,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p1
base_sweep,abs,fedogda_d,FedOGDA-D,0.5,0,best_validation_prediction,0.0091188163258097,0.076733745749692,0.3816267525685386,0.0089213594209803,0.0091188163258097,0.0091188163258097,True,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p5
base_sweep,abs,fedogda_d,FedOGDA-D,0.5,1,best_validation_prediction,0.0068767171765257,0.0701196436114154,0.3225973559069963,0.006696059556379,0.0068767171765257,0.0090720217151677,True,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p5
base_sweep,abs,fedogda_d,FedOGDA-D,0.5,2,best_validation_prediction,0.0337725555795278,0.1516587497072447,0.7445242934615506,0.0329192052451199,0.0337725555795279,0.0337725555795279,True,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p5
base_sweep,abs,fedogda_d,FedOGDA-D,1.0,0,best_validation_prediction,0.0084268575833965,0.0735213294228807,0.3745725780208957,0.0082617368462706,0.0084268575833965,0.0084268575833965,True,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0
base_sweep,abs,fedogda_d,FedOGDA-D,1.0,1,best_validation_prediction,0.0070648165886723,0.0709225420516738,0.3291264321998062,0.0068799135431462,0.0070648165886723,0.0100364027496025,True,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0
base_sweep,abs,fedogda_d,FedOGDA-D,1.0,2,best_validation_prediction,0.0338798680146548,0.1519025672209966,0.7415992247190664,0.0330347210713479,0.0338798680146548,0.0338798680146548,True,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0
base_sweep,abs,fedogda_s,FedOGDA-S,0.1,0,best_validation_prediction,0.0042241316045634,0.0486084303943557,0.303570714510277,0.0041705649817944,0.0042241316045635,0.0042320397983268,True,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p1
base_sweep,abs,fedogda_s,FedOGDA-S,0.1,1,best_validation_prediction,0.0064921149167895,0.0688796578128027,0.2434559063002008,0.0063707108276686,0.0064921149167895,0.014664088416751,True,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p1
base_sweep,abs,fedogda_s,FedOGDA-S,0.1,2,best_validation_prediction,0.0253362970874134,0.1309103638923054,0.6017916300554147,0.0248071593146204,0.0253362970874135,0.0256229873368947,True,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p1
base_sweep,abs,fedogda_s,FedOGDA-S,0.5,0,best_validation_prediction,0.0067017122918489,0.0653886374362637,0.3047456764607392,0.0065320756878727,0.0067017122918489,0.0067017122918489,True,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5
base_sweep,abs,fedogda_s,FedOGDA-S,0.5,1,best_validation_prediction,0.0069693772045246,0.0704133146868543,0.2773975925449905,0.0068283945338456,0.0069693772045246,0.0089884552767311,True,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5
base_sweep,abs,fedogda_s,FedOGDA-S,0.5,2,best_validation_prediction,0.0324166346743133,0.1497271240650751,0.6512901927808594,0.0317815520773255,0.0324166346743133,0.0324166346743133,True,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p5
base_sweep,abs,fedogda_s,FedOGDA-S,1.0,0,best_validation_prediction,0.0071016967852039,0.06567072656491,0.3885953769153158,0.0070035988293627,0.0071016967852039,0.0071016967852039,True,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha1p0
base_sweep,abs,fedogda_s,FedOGDA-S,1.0,1,best_validation_prediction,0.0067897827381245,0.0698613674504137,0.2720716368510265,0.0066381817929484,0.0067897827381245,0.0119517361010142,True,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha1p0
base_sweep,abs,fedogda_s,FedOGDA-S,1.0,2,best_validation_prediction,0.0344150376825778,0.1528769572710351,0.7714116847390695,0.033496169643517,0.0344150376825777,0.0344150376825777,True,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha1p0/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha1p0
base_sweep,linear,fedgda_d,FedGDA-D,0.1,0,best_validation_prediction,0.0004199429324609,0.0157986699310842,0.1197914342759767,0.0004173573645041,0.0004199429324609,0.0010586869489791,True,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p1
base_sweep,linear,fedgda_d,FedGDA-D,0.1,1,best_validation_prediction,0.0014605749687742,0.0314936390329637,0.2020789009560029,0.0014581679929784,0.0014605749687742,0.0016355022140316,True,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p1
base_sweep,linear,fedgda_d,FedGDA-D,0.1,2,best_validation_prediction,0.010981465111731,0.0855059944480154,0.5110967037439109,0.0108595727230222,0.0109814651117309,0.0120191330744313,True,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p1
