dataset,alpha,pairs,fedogda_wins,mean_fedgda_curve_mse,mean_fedogda_curve_mse,mean_gap_fedogda_minus_fedgda
abs,0.1,3,2,0.018548214722196435,0.0176289575443227,-0.0009192571778736764
abs,0.5,3,2,0.017751509232719332,0.016589363027287734,-0.0011621462054315658
abs,1.0,3,2,0.017724719971074932,0.016457180728907866,-0.0012675392421670282
linear,0.1,3,2,0.0042873276709887,0.0029284127043506664,-0.0013589149666379946
linear,0.5,3,2,0.004233043017911066,0.0028403330306042,-0.0013927099873067804
linear,1.0,3,2,0.004157897849779634,0.00281604730341,-0.0013418505463696358
sin,0.1,3,1,0.08615394344239946,0.08621158805166017,5.764460926071718e-05
sin,0.5,3,0,0.0861961437156482,0.08627282780969053,7.668409404234116e-05
sin,1.0,3,1,0.08610686290668552,0.08615591748419364,4.905457750805346e-05
step,0.1,3,3,0.029787982300158666,0.029188219986105064,-0.0005997623140535487
step,0.5,3,3,0.029725487862183167,0.02917841264836137,-0.0005470752138217887
step,1.0,3,3,0.029675366730405703,0.029139760391266836,-0.0005356063391388319
