artifact_id,source_family,dataset,method,method_label,alpha,seed,prediction_path,result_dir,prediction_key_used,final_prediction_key_used,pred_finite,x_shape,true_g_shape,pred_shape,included,skip_reason,notes
a0000,base_sweep,abs,fedgda_d,FedGDA-D,0.1,0,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p1,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0001,base_sweep,abs,fedgda_s,FedGDA-S,0.1,0,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p1,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0002,base_sweep,abs,fedogda_d,FedOGDA-D,0.1,0,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p1,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0003,base_sweep,abs,fedogda_s,FedOGDA-S,0.1,0,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p1,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0004,base_sweep,abs,fedgda_d,FedGDA-D,0.1,1,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p1,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0005,base_sweep,abs,fedgda_s,FedGDA-S,0.1,1,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p1,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0006,base_sweep,abs,fedogda_d,FedOGDA-D,0.1,1,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p1,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0007,base_sweep,abs,fedogda_s,FedOGDA-S,0.1,1,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p1,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0008,base_sweep,abs,fedgda_d,FedGDA-D,0.1,2,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p1,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
a0009,base_sweep,abs,fedgda_s,FedGDA-S,0.1,2,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p1,best_validation_prediction,final_prediction,True,"(20000, 1)","(20000, 1)","(20000, 1)",True,,original low-dimensional federated base sweep
