dataset,stage,method,run_id,seed,learning_rate,critic_multiplier,objective_lambda_1,server_learning_rate,weight_decay,epochs,comm_round,best_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,curve_mse,curve_mae,curve_max_abs_error,curve_corr,pred_min,pred_max,diverged,runtime_seconds,result_dir
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p01_slr1p5,0,0.01,8.0,0.01,1.5,0.0,3,500,0.02964276923734608,0.014826421076260385,0.0038704173806597963,0.030104425463267824,495,0.033513186618005876,0.03418753893398325,0.030104425463267973,0.13467988046524487,0.5470127718821899,0.8871291513677626,-0.2832630744788565,0.2931579269189033,False,197.9031081199646,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p01_slr1p5
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p01_slr1p5,0,0.01,6.0,0.01,1.5,0.0,3,500,0.03392531324644497,0.014914240578724888,-6.938893903907228e-18,0.03468893256937443,499,0.03392531324644496,0.03468893256937443,0.03468893256937452,0.14791019830015845,0.565401993433074,0.8965550146896769,-0.24351296080566365,0.28212415791490214,False,201.33918070793152,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p01_slr1p5
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1p5,0,0.01,10.0,0.01,1.5,0.0,3,500,0.035324320044913586,0.010646848239256023,0.012208207833603879,0.03601255915931201,498,0.047532527878517465,0.04820145053387502,0.03601255915931201,0.1547421962334436,0.5469364413128411,0.8845499781772672,-0.24733135249319332,0.25156648839778323,False,200.07791781425476,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1p5
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p01_slr1p5,0,0.0075,10.0,0.01,1.5,0.0,3,500,0.03763767006680776,0.009341108445446234,-6.938893903907228e-18,0.038644688685072405,499,0.03763767006680775,0.038644688685072405,0.03864468868507239,0.15421856800825748,0.6348453412448489,0.8405425695818538,-0.22844809125409876,0.26486161870451463,False,200.2111577987671,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p01_slr1p5
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p01_slr1p5,0,0.01,12.0,0.01,1.5,0.0,3,500,0.037777038147739535,0.013971952345082313,0.003280932588531689,0.038638396564813306,498,0.041057970736271224,0.042010997027420366,0.03863839656481317,0.15542606916344065,0.611295050812124,0.8359772038397937,-0.24985133479224056,0.2523787414008728,False,199.42084431648254,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p01_slr1p5
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p01_slr1p5,0,0.0075,8.0,0.01,1.5,0.0,3,500,0.03891437029716553,0.008165732425999803,-6.938893903907228e-18,0.03959194490085951,499,0.038914370297165525,0.03959194490085951,0.03959194490085937,0.1613334029150779,0.5465974269007312,0.8624713112177289,-0.22496911945559053,0.23501496758411133,False,199.1507866382599,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p01_slr1p5
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p03_slr1p5,0,0.01,10.0,0.03,1.5,0.0,3,500,0.03902326306258915,0.016865128968549664,0.00417932402814427,0.04009782301726185,495,0.04320258709073342,0.04430963280733769,0.04009782301726214,0.1600940234189311,0.6728277050530672,0.8232280153784646,-0.23821134896050067,0.25937327789103787,False,208.21081376075745,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p03_slr1p5
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p03_slr1p5,0,0.01,8.0,0.03,1.5,0.0,3,500,0.040250737838111034,0.013557101997203865,0.004129404375501779,0.041135184714727845,495,0.04438014221361281,0.04537736816527066,0.04113518471472782,0.16328872589392884,0.6129094952396399,0.8242909172240159,-0.2128546040716605,0.26120120714496864,False,201.28794693946838,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p03_slr1p5
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p01_slr1,0,0.01,12.0,0.01,1.0,0.0,3,500,0.04088055512871008,0.007962457159072883,-6.938893903907228e-18,0.04179784567033934,499,0.040880555128710076,0.04179784567033934,0.041797845670339485,0.16455231162815456,0.6120213561708304,0.8194792778068782,-0.2195229543798664,0.24185975021196066,False,208.0517773628235,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p01_slr1
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1,0,0.01,10.0,0.01,1.0,0.0,3,500,0.041558663922896366,0.006563858623314286,-1.3877787807814457e-17,0.04265840252975346,499,0.04155866392289635,0.04265840252975346,0.04265840252975343,0.164998563183553,0.6581499236095278,0.8286063062828399,-0.20266240823033793,0.24505937966194144,False,208.42961430549622,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p01_slr1p5,0,0.0075,12.0,0.01,1.5,0.0,3,500,0.041859184924675295,0.008472811759500598,0.00016841738031379838,0.04274383140160947,495,0.042027602304989094,0.042874221297060665,0.04274383140160929,0.15999555150372036,0.7002512214907646,0.796170410231429,-0.23593698809474178,0.24586608369673796,False,207.72933530807495,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p01_slr1p5
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p03_slr1p5,0,0.01,6.0,0.03,1.5,0.0,3,500,0.04319906205127871,0.011980863791796841,0.0,0.04449183341386249,499,0.04319906205127871,0.04449183341386249,0.044491833413862515,0.16917486137061086,0.7095157844268252,0.8255429130307066,-0.193103635754086,0.25482963031610195,False,206.81573128700256,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p03_slr1p5
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p03_slr1,0,0.01,10.0,0.03,1.0,0.0,3,500,0.04324321449577102,0.007811774783409745,0.0,0.044503049797057534,499,0.04324321449577102,0.044503049797057534,0.04450304979705748,0.1700994367288778,0.685436215475207,0.7990824530393881,-0.2385530227880965,0.26438808968016625,False,198.4562952518463,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p03_slr1
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p03_slr1p5,0,0.0075,12.0,0.03,1.5,0.0,3,500,0.043387372521132825,0.008079541647925069,-6.938893903907228e-18,0.04453070764031454,499,0.04338737252113282,0.04453070764031454,0.04453070764031481,0.17159575090756124,0.6779784321698268,0.8189398778516105,-0.1960811564644869,0.24030615575631337,False,207.76206040382385,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm12_lam0p03_slr1p5
sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p03_slr1,0,0.01,12.0,0.03,1.0,0.0,3,500,0.04343373393353204,0.007543656800968295,0.0,0.04454747310646454,499,0.04343373393353204,0.04454747310646454,0.044547473106464404,0.16410635116473432,0.6931165170239599,0.7794913905240777,-0.2656109845346241,0.24275781051682258,False,209.81146216392517,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p03_slr1
