source,dataset,stage,method,run_id,seed,learning_rate,critic_multiplier,objective_lambda_1,server_learning_rate,weight_decay,epochs,comm_round,best_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,curve_mse,curve_mae,curve_max_abs_error,curve_corr,amp_ratio,pred_min,pred_max,diverged,runtime_seconds,result_dir
fedogda_s_sine_fast_v4,sin,stage_b_server_lr_probe,fedogda_s,v4_stage_b_server_lr_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm7_lam0p005_slr1p75,0,0.01,7.0,0.005,1.75,0.0,3,500,0.02414401739584406,0.019568461668749204,0.014012119660916363,0.024666163260017866,491,0.03815613705676042,0.03813494418827653,0.024666163260017852,0.1096338834083658,0.5635846221757408,0.8840689051465425,0.7722694860136853,-0.36719382103844556,0.35152088670116854,False,136.52402782440186,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_b_server_lr_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm7_lam0p005_slr1p75
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm6_lam0p005_slr1p5,0,0.0125,6.0,0.005,1.5,0.0,3,500,0.026143789761673492,0.022379447533611024,0.00906259078282855,0.02656495428725603,491,0.03520638054450204,0.035359765240877666,0.026564954287255967,0.11881579308412367,0.5788356464421746,0.8844586136904998,0.7147093703540317,-0.3446669573401558,0.3204792714513555,False,140.16879224777222,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm6_lam0p005_slr1p5
fedogda_s_sine_fast_v4,sin,stage_b_server_lr_probe,fedogda_s,v4_stage_b_server_lr_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm7_lam0p005_slr2,0,0.01,7.0,0.005,2.0,0.0,3,500,0.026888005585644918,0.034439468734095334,0.021273126396986263,0.027427559343620088,465,0.04816113198263118,0.04822650829057524,0.02742755934362006,0.13048468134615226,0.5049264964879667,0.9056912343662858,0.663513402648626,-0.26293400298324054,0.3545665585467452,False,146.14912748336792,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_b_server_lr_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm7_lam0p005_slr2
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm9_lam0p005_slr1p5,0,0.0125,9.0,0.005,1.5,0.0,3,500,0.027194193170164728,0.023051520143046508,0.016614230618956345,0.02776030856497672,498,0.04380842378912107,0.04408877123429447,0.02776030856497673,0.13310877258631,0.5091174843070758,0.9052940217156025,0.6439339767178884,-0.2754588566189644,0.3238200586588087,False,139.3876621723175,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm9_lam0p005_slr1p5
fedogda_s_sine_fast_v4,sin,stage_b_server_lr_probe,fedogda_s,v4_stage_b_server_lr_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm6_lam0p005_slr1p75,0,0.0125,6.0,0.005,1.75,0.0,3,500,0.02737397832850194,0.038317295468393714,0.02262133025746959,0.02843607093255231,476,0.04999530858597153,0.050099807001520676,0.02843607093255242,0.11766307162560051,0.63899225419711,0.8806056812774605,0.7235151351608231,-0.2922734529875809,0.3810678848871666,False,136.75318336486816,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_b_server_lr_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm6_lam0p005_slr1p75
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm7_lam0p005_slr1p5,0,0.01,7.0,0.005,1.5,0.0,3,500,0.027898494004091747,0.022956124563014806,-3.469446951953614e-18,0.028351515844986876,499,0.027898494004091744,0.028351515844986876,0.028351515844986717,0.13656000489738826,0.46727182851738647,0.9225754503780986,0.6323744481043905,-0.26850699157739155,0.3200140168045099,False,143.2965235710144,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm7_lam0p005_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm5_lam0p005_slr1p5,0,0.015,5.0,0.005,1.5,0.0,3,500,0.02884578540389431,0.04826112576790242,0.029402768791988058,0.02988655232997791,476,0.05824855419588237,0.05849257645299696,0.029886552329977906,0.12620849875891796,0.6391624090193304,0.8773773420883989,0.7095482962114299,-0.2721463023178165,0.3881967587178775,False,137.64061069488525,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm5_lam0p005_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm7_lam0p005_slr1p5,0,0.0125,7.0,0.005,1.5,0.0,3,500,0.028993667668020088,0.01870368756267296,0.009146962754569669,0.029620472714532248,465,0.03814063042258976,0.038517185546661864,0.029620472714532217,0.13041867463207335,0.5370175387951509,0.8789873137068251,0.6360791249848292,-0.2848843029413006,0.3070844731041118,False,138.6346595287323,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm7_lam0p005_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm8_lam0p005_slr1p5,0,0.0125,8.0,0.005,1.5,0.0,3,500,0.029047808564068998,0.021178933068633044,0.01379704748247856,0.0297277655649711,473,0.04284485604654756,0.04302420571044346,0.029727765564971104,0.13109331641546657,0.5565431755408037,0.8747274125275168,0.6868810382503914,-0.3677182203946532,0.2715294950709096,False,140.84029865264893,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm8_lam0p005_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm5_lam0p01_slr1p5,0,0.015,5.0,0.01,1.5,0.0,3,500,0.02957936062063758,0.02662902883969311,0.011152428203528037,0.030278676317855586,485,0.040731788824165616,0.0410676906421145,0.030278676317855503,0.13285677027759493,0.574611545007817,0.8674801310062157,0.7008822613281759,-0.3688350588858224,0.2834429331018517,False,136.42147850990295,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm5_lam0p01_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p01_slr1p5,0,0.01,8.0,0.01,1.5,0.0,3,500,0.02964276923734608,0.014826421076260385,0.0038704173806597963,0.030104425463267824,495,0.033513186618005876,0.03418753893398325,0.030104425463267973,0.13467988046524487,0.5470127718821899,0.8871291513677626,0.619372813277974,-0.2832630744788565,0.2931579269189033,False,197.9031081199646,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm8_lam0p01_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm9_lam0p01_slr1p5,0,0.01,9.0,0.01,1.5,0.0,3,500,0.029652430897947273,0.01601153522348797,0.006839459202098337,0.03032444988885381,495,0.03649189010004561,0.037304770213734455,0.030324449888854032,0.13336136519683936,0.5498656874458328,0.8730151785803697,0.6351717994419201,-0.2842552059066594,0.30686916514256096,False,141.72033405303955,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm9_lam0p01_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm9_lam0p005_slr1p5,0,0.01,9.0,0.005,1.5,0.0,3,500,0.030036504835607325,0.013313853867960137,0.004411986613960715,0.03101167217052903,481,0.03444849144956804,0.0349817973476301,0.031011672170529185,0.12618639057633455,0.6305352637670785,0.8525349491701659,0.674545168008796,-0.32221132390942764,0.3055559802023648,False,135.8879804611206,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm9_lam0p005_slr1p5
fedogda_s_sine_fast_v4,sin,stage_b_server_lr_probe,fedogda_s,v4_stage_b_server_lr_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm9_lam0p005_slr2,0,0.0125,9.0,0.005,2.0,0.0,3,500,0.030428583798052317,0.02309454151235715,0.04021060374400243,0.031387931588910345,496,0.07063918754205474,0.07053609997286492,0.03138793158891026,0.13272937230760062,0.6282632575592771,0.8668728605835074,0.6637341594893287,-0.27207451377812913,0.3456314957089761,False,143.53118228912354,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_b_server_lr_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm9_lam0p005_slr2
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm9_lam0p005_slr1p5,0,0.015,9.0,0.005,1.5,0.0,3,500,0.030490175561304636,0.026312567360305864,0.01750277975017174,0.031375732989891394,498,0.047992955311476376,0.048998227898343794,0.03137573298989147,0.13781295924565765,0.6030276236491083,0.8725616666306126,0.6218576411112205,-0.2731505428350891,0.3055829703766145,False,143.61307859420776,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm9_lam0p005_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm8_lam0p01_slr1p5,0,0.015,8.0,0.01,1.5,0.0,3,500,0.030801027974494962,0.020343847394955636,0.01925770270969721,0.03179832407723766,493,0.05005873068419217,0.05096617233928468,0.03179832407723758,0.12732328937290405,0.6428365867571187,0.8475252852447113,0.6751490511566876,-0.3208043869002464,0.3075249227135193,False,140.23832035064697,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm8_lam0p01_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm5_lam0p01_slr1p5,0,0.0125,5.0,0.01,1.5,0.0,3,500,0.030967765785801016,0.019688109444386304,0.004104265501033079,0.03136486632694519,493,0.035072031286834095,0.03560582807401173,0.0313648663269452,0.1349827587942294,0.5964219093134605,0.8812376736261662,0.6354133441425592,-0.3246102596019436,0.26673890568305836,False,135.42879438400269,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm5_lam0p01_slr1p5
fedogda_s_sine_fast_v4,sin,stage_b_server_lr_probe,fedogda_s,v4_stage_b_server_lr_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm9_lam0p005_slr1p75,0,0.0125,9.0,0.005,1.75,0.0,3,500,0.031210950614559686,0.01813804413088245,0.02534671354014235,0.032364227104639036,473,0.056557664154702036,0.056294352987409355,0.03236422710463912,0.1343703175835617,0.6623362574235786,0.8651683643071738,0.6436770695015254,-0.284822493440436,0.3142173304343118,False,138.30141472816467,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_b_server_lr_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm9_lam0p005_slr1p75
fedogda_s_sine_fast_v4,sin,stage_b_server_lr_probe,fedogda_s,v4_stage_b_server_lr_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm6_lam0p005_slr2,0,0.0125,6.0,0.005,2.0,0.0,3,500,0.031829756097548685,0.04859530468331498,0.023650051648937617,0.03258772183692142,473,0.0554798077464863,0.0556898315650275,0.032587721836921414,0.12874291391936693,0.6478983768663629,0.8427539375513818,0.668581909603069,-0.3002625093444817,0.32195507203467905,False,140.54898023605347,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_b_server_lr_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm6_lam0p005_slr2
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm6_lam0p005_slr1p5,0,0.015,6.0,0.005,1.5,0.0,3,500,0.03185257125502713,0.028456405911786067,0.009031826015109358,0.03221717949981962,460,0.040884397270136486,0.041349160577676534,0.032217179499819754,0.13969652088381257,0.5929758336722704,0.8791042387152949,0.5924064538344399,-0.2654600332992645,0.28586465198441086,False,138.10018944740295,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm6_lam0p005_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm5_lam0p005_slr1p5,0,0.0125,5.0,0.005,1.5,0.0,3,500,0.03198026798910886,0.026949074492821214,0.027706418532272667,0.033044301515043485,476,0.059686686521381524,0.05995989594799375,0.03304430151504346,0.12841898021429515,0.6600593844987401,0.8400405665812055,0.6846081166972087,-0.28838846078853536,0.34874395402175623,False,143.27136182785034,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm5_lam0p005_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm7_lam0p01_slr1p5,0,0.0125,7.0,0.01,1.5,0.0,3,500,0.03218533133590148,0.02148075539861944,0.01349132435438749,0.03314872776955083,498,0.04567665569028897,0.04576422635860783,0.03314872776955087,0.1408396933062978,0.6264067155297088,0.875170884089949,0.6129073087028621,-0.24605526537617095,0.3243485965188008,False,134.61255407333374,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm7_lam0p01_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm7_lam0p005_slr1p5,0,0.015,7.0,0.005,1.5,0.0,3,500,0.032687390073228656,0.021348771477539757,0.0406694572351622,0.03368653340200155,473,0.07335684730839086,0.07305540832394664,0.033686533402001416,0.1458546166320606,0.6218255348869833,0.8602514134998132,0.5950956309660089,-0.2793043905893442,0.27452298474123704,False,141.8299527168274,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm7_lam0p005_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm7_lam0p01_slr1p5,0,0.015,7.0,0.01,1.5,0.0,3,500,0.03385821973758979,0.027544870443448978,0.01641858563468549,0.03481983382543373,498,0.05027680537227528,0.05053243414784587,0.03481983382543382,0.14733410321217466,0.6305734936976991,0.8667095570408614,0.5859656415924729,-0.23811561928776742,0.3072149064804443,False,135.23819041252136,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm7_lam0p01_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p01_slr1p5,0,0.01,6.0,0.01,1.5,0.0,3,500,0.03392531324644497,0.014914240578724888,-6.938893903907228e-18,0.03468893256937443,499,0.03392531324644496,0.03468893256937443,0.03468893256937452,0.14791019830015845,0.565401993433074,0.8965550146896769,0.5648047871188312,-0.24351296080566365,0.28212415791490214,False,201.33918070793152,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm6_lam0p01_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm9_lam0p01_slr1p5,0,0.0125,9.0,0.01,1.5,0.0,3,500,0.03395662475506816,0.016096395416994085,0.007256161852296959,0.034564745855622345,498,0.04121278660736512,0.04144160212130064,0.03456474585562238,0.1535990614943961,0.5223560401051982,0.8992565916586996,0.5473813402995203,-0.2361609956102135,0.27326094471039164,False,141.37981152534485,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm9_lam0p01_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm8_lam0p01_slr1p5,0,0.0125,8.0,0.01,1.5,0.0,3,500,0.03513832151551886,0.02135069752910882,0.010032405812540203,0.03597130419768999,498,0.04517072732805906,0.045301072552788035,0.03597130419769011,0.15122150969956505,0.5987595025484989,0.8733375867271845,0.5630922275208722,-0.2174336696362178,0.3066096508141519,False,139.98256063461304,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm8_lam0p01_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1p5,0,0.01,10.0,0.01,1.5,0.0,3,500,0.035324320044913586,0.010646848239256023,0.012208207833603879,0.03601255915931201,498,0.047532527878517465,0.04820145053387502,0.03601255915931201,0.1547421962334436,0.5469364413128411,0.8845499781772672,0.5360730412348784,-0.24733135249319332,0.25156648839778323,False,200.07791781425476,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm6_lam0p01_slr1p5,0,0.015,6.0,0.01,1.5,0.0,3,500,0.03538450011246268,0.02658490699460806,0.012666563981137281,0.03571852524771607,479,0.04805106409359996,0.04881347462730964,0.03571852524771609,0.16058784283210456,0.3844759501050301,0.9367530936012678,0.5323547404709442,-0.2591738819999386,0.23626351212311833,False,141.7597532272339,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm6_lam0p01_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm9_lam0p01_slr1p5,0,0.015,9.0,0.01,1.5,0.0,3,500,0.035632375112211616,0.021111449727534665,0.010885656592680572,0.03651075817731542,498,0.04651803170489219,0.04732479854732594,0.036510758177315375,0.1507530946422912,0.61675310902066,0.8465524791009645,0.5581423718332671,-0.2462490853232779,0.2731876384036686,False,140.212744474411,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p015_cm9_lam0p01_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm7_lam0p01_slr1p5,0,0.01,7.0,0.01,1.5,0.0,3,500,0.035987338069190036,0.013140155849726831,0.0031196245891174437,0.03665169164245087,478,0.03910696265830748,0.0400011610212351,0.036651691642450995,0.15223926208419578,0.5745050980813102,0.8617102512893715,0.538200104659137,-0.2578560473975458,0.2430213508823945,False,136.71602272987366,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm7_lam0p01_slr1p5
fedogda_s_sine_fast_v4,sin,stage_a_boundary_probe,fedogda_s,v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm6_lam0p01_slr1p5,0,0.0125,6.0,0.01,1.5,0.0,3,500,0.036123793278754666,0.014963043897097158,0.014732465188141836,0.03711474583976908,496,0.0508562584668965,0.051227563549725824,0.037114745839769044,0.14703063904677166,0.6350083996124866,0.8332346115253886,0.5590886883241123,-0.2420064510662639,0.278310964689132,False,137.08120894432068,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm6_lam0p01_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p01_slr1p5,0,0.0075,10.0,0.01,1.5,0.0,3,500,0.03763767006680776,0.009341108445446234,-6.938893903907228e-18,0.038644688685072405,499,0.03763767006680775,0.038644688685072405,0.03864468868507239,0.15421856800825748,0.6348453412448489,0.8405425695818538,0.5300685126556793,-0.22844809125409876,0.26486161870451463,False,200.2111577987671,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm10_lam0p01_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p01_slr1p5,0,0.01,12.0,0.01,1.5,0.0,3,500,0.037777038147739535,0.013971952345082313,0.003280932588531689,0.038638396564813306,498,0.041057970736271224,0.042010997027420366,0.03863839656481317,0.15542606916344065,0.611295050812124,0.8359772038397937,0.5396535768999287,-0.24985133479224056,0.2523787414008728,False,199.42084431648254,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p01_cm12_lam0p01_slr1p5
fedogda_s_focused_v3,sin,screen_sine,fedogda_s,v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p01_slr1p5,0,0.0075,8.0,0.01,1.5,0.0,3,500,0.03891437029716553,0.008165732425999803,-6.938893903907228e-18,0.03959194490085951,499,0.038914370297165525,0.03959194490085951,0.03959194490085937,0.1613334029150779,0.5465974269007312,0.8624713112177289,0.4942596424523471,-0.22496911945559053,0.23501496758411133,False,199.1507866382599,results/curve_fitting_tuning/fedogda_s_focused_v3/sin/fedogda_s/seed_0/v3_screen_sine_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0075_cm8_lam0p01_slr1p5
