dataset,panel_title,label,source,method,seed,best_validation_mse,test_mse_at_best_validation,curve_mse,curve_mae,run_dirs
abs,(a) Absolute ($\alpha=0.5$),FedDeepGMM-SGDA,"mean base_sweep alpha=0.5, seeds 0-2",fedgda_s,mean:0|1|2,0.0026495178539163466,0.002709909146004257,0.0014396405391366056,0.028210090341077864,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p5|results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5|results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p5
abs,(a) Absolute ($\alpha=0.5$),FedDeepGMM-OGDA-S,"fedogda_s pilot alpha=0.5, validation-selected config, mean seeds 0-2",fedogda_s,mean:0|1|2,0.005930080882346574,0.0060582853405837835,0.00326615755523904,0.037328539019247375,results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_0/tune_fedogda_s_abs_seed0_alpha0p5_cm20_wd0p001|results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_1/tune_fedogda_s_abs_seed1_alpha0p5_cm20_wd0p001|results/rerun_protocol_v1_tuning/fedogda_s_pilot_alpha0p5/abs/fedogda_s/seed_2/tune_fedogda_s_abs_seed2_alpha0p5_cm20_wd0p001
abs,(a) Absolute ($\alpha=0.5$),DeepGMM-GDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",gda,mean:0|1|2,0.0545191278692355,0.05616898050617301,0.0434487585737251,0.17194326815877747,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/gda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/gda/seed_2/glr_0p005_flr_0p03
abs,(a) Absolute ($\alpha=0.5$),DeepGMM-SGDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",sgda,mean:0|1|2,0.054661552159367466,0.056258241355683976,0.04183335748636814,0.1693226517257548,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/sgda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/sgda/seed_2/glr_0p005_flr_0p03
abs,(a) Absolute ($\alpha=0.5$),DeepGMM-OAdam,"centralized C3 OAdam, mean seeds 0-2",oadam,mean:0|1|2,0.0017383386914469748,0.0017795145094010964,0.0008829464773907717,0.02415482554261229,results/centralized_lowdim_v1/abs/oadam/seed_0|results/centralized_lowdim_v1/abs/oadam/seed_1|results/centralized_lowdim_v1/abs/oadam/seed_2
step,(b) Step ($\alpha=0.5$),FedDeepGMM-SGDA,"mean base_sweep alpha=0.5, seeds 0-2",fedgda_s,mean:0|1|2,0.025922972833077443,0.026267388165344286,0.02573890373515575,0.13509077590841134,results/rerun_protocol_v1/step/fedgda_s/seed_0/rerun_protocol_v1_step_fedgda_s_seed0_alpha0p5|results/rerun_protocol_v1/step/fedgda_s/seed_1/rerun_protocol_v1_step_fedgda_s_seed1_alpha0p5|results/rerun_protocol_v1/step/fedgda_s/seed_2/rerun_protocol_v1_step_fedgda_s_seed2_alpha0p5
step,(b) Step ($\alpha=0.5$),FedDeepGMM-OGDA-S,"fedogda_s_step_fast_v5 final config, mean seeds 0-2",fedogda_s,mean:0|1|2,0.0047775766056517115,0.004943104791140461,0.004309394377581014,0.035419593051164065,results/curve_fitting_tuning/fedogda_s_step_fast_v5/step/fedogda_s/seed_0/v5_stage_a_full_budget_probe_step_fedogda_s_seed0_alpha0p5_T1500_R7_batch256_glr0p0075_cm20_lam0p05_slr1|results/curve_fitting_tuning/fedogda_s_step_fast_v5/step/fedogda_s/seed_1/v5_stage_b_confirm_step_fedogda_s_seed1_alpha0p5_T1500_R7_batch256_glr0p0075_cm20_lam0p05_slr1|results/curve_fitting_tuning/fedogda_s_step_fast_v5/step/fedogda_s/seed_2/v5_stage_b_confirm_step_fedogda_s_seed2_alpha0p5_T1500_R7_batch256_glr0p0075_cm20_lam0p05_slr1
step,(b) Step ($\alpha=0.5$),DeepGMM-GDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",gda,mean:0|1|2,0.03183287217251121,0.03219186363185581,0.0292640618713416,0.1435216207064426,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/gda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/gda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/gda/seed_2/glr_0p005_flr_0p03
step,(b) Step ($\alpha=0.5$),DeepGMM-SGDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",sgda,mean:0|1|2,0.031582547817345506,0.031968220368854904,0.02920656560198093,0.14271363644862115,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/sgda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/sgda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/sgda/seed_2/glr_0p005_flr_0p03
step,(b) Step ($\alpha=0.5$),DeepGMM-OAdam,"centralized C3 OAdam, mean seeds 0-2",oadam,mean:0|1|2,0.01697256642272293,0.01721401417344212,0.016811080707239266,0.10620366613641893,results/centralized_lowdim_v1/step/oadam/seed_0|results/centralized_lowdim_v1/step/oadam/seed_1|results/centralized_lowdim_v1/step/oadam/seed_2
