dataset,panel_title,label,source,method,seed,best_validation_mse,test_mse_at_best_validation,curve_mse,curve_mae,run_dirs
abs,(a) Absolute ($\alpha=1.0$),FedDeepGMM-GDA,"mean base_sweep alpha=1.0, seeds 0-2",fedgda_d,mean:0|1|2,0.01729022753409439,0.017724719971074897,0.01110117900260589,0.08203845985216067,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0|results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0|results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0
abs,(a) Absolute ($\alpha=1.0$),FedDeepGMM-OGDA-D,"mean base_sweep alpha=1.0, seeds 0-2",fedogda_d,mean:0|1|2,0.016058790486921614,0.016457180728907932,0.010252774565440716,0.07818946106316167,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0|results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0|results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0
abs,(a) Absolute ($\alpha=1.0$),DeepGMM-GDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",gda,mean:0|1|2,0.0545191278692355,0.05616898050617301,0.0434487585737251,0.17194326815877747,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/gda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/gda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/gda/seed_2/glr_0p005_flr_0p03
abs,(a) Absolute ($\alpha=1.0$),DeepGMM-SGDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",sgda,mean:0|1|2,0.054661552159367466,0.056258241355683976,0.04183335748636814,0.1693226517257548,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/abs/sgda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/sgda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/abs/sgda/seed_2/glr_0p005_flr_0p03
abs,(a) Absolute ($\alpha=1.0$),DeepGMM-OAdam,"centralized C3 OAdam, mean seeds 0-2",oadam,mean:0|1|2,0.0017383386914469748,0.0017795145094010964,0.0008829464773907717,0.02415482554261229,results/centralized_lowdim_v1/abs/oadam/seed_0|results/centralized_lowdim_v1/abs/oadam/seed_1|results/centralized_lowdim_v1/abs/oadam/seed_2
step,(b) Step ($\alpha=0.5$),FedDeepGMM-SGDA,"step_geetika_repro_v1 FedGDA-S reference, seed 0",fedgda_s,0,0.006003955305925284,0.006126142455462217,0.006126142455462224,0.059170106893936064,results/curve_fitting_tuning/step_geetika_repro_v1/step/fedgda_s/seed_0/curvefit_step_geetika_repro_fedgda_s_seed0_alpha0p5_T1500_R7_batch256_glr0p03_wd0p02_cm15_slr1p5
step,(b) Step ($\alpha=0.5$),FedDeepGMM-OGDA-S,"fedogda_s_step_fast_v5 final config, mean seeds 0-2",fedogda_s,mean:0|1|2,0.0047775766056517115,0.004943104791140461,0.004309394377581014,0.035419593051164065,results/curve_fitting_tuning/fedogda_s_step_fast_v5/step/fedogda_s/seed_0/v5_stage_a_full_budget_probe_step_fedogda_s_seed0_alpha0p5_T1500_R7_batch256_glr0p0075_cm20_lam0p05_slr1|results/curve_fitting_tuning/fedogda_s_step_fast_v5/step/fedogda_s/seed_1/v5_stage_b_confirm_step_fedogda_s_seed1_alpha0p5_T1500_R7_batch256_glr0p0075_cm20_lam0p05_slr1|results/curve_fitting_tuning/fedogda_s_step_fast_v5/step/fedogda_s/seed_2/v5_stage_b_confirm_step_fedogda_s_seed2_alpha0p5_T1500_R7_batch256_glr0p0075_cm20_lam0p05_slr1
step,(b) Step ($\alpha=0.5$),DeepGMM-GDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",gda,mean:0|1|2,0.03183287217251121,0.03219186363185581,0.0292640618713416,0.1435216207064426,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/gda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/gda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/gda/seed_2/glr_0p005_flr_0p03
step,(b) Step ($\alpha=0.5$),DeepGMM-SGDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",sgda,mean:0|1|2,0.031582547817345506,0.031968220368854904,0.02920656560198093,0.14271363644862115,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/step/sgda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/sgda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/step/sgda/seed_2/glr_0p005_flr_0p03
step,(b) Step ($\alpha=0.5$),DeepGMM-OAdam,"centralized C3 OAdam, mean seeds 0-2",oadam,mean:0|1|2,0.01697256642272293,0.01721401417344212,0.016811080707239266,0.10620366613641893,results/centralized_lowdim_v1/step/oadam/seed_0|results/centralized_lowdim_v1/step/oadam/seed_1|results/centralized_lowdim_v1/step/oadam/seed_2
linear,(c) Linear ($\alpha=0.1$),FedDeepGMM-GDA,"mean base_sweep alpha=0.1, seeds 0-2",fedgda_d,mean:0|1|2,0.00424503269350163,0.004287327670988729,0.0024032463639413392,0.037147016870668736,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p1|results/rerun_protocol_v1/linear/fedgda_d/seed_1/rerun_protocol_v1_linear_fedgda_d_seed1_alpha0p1|results/rerun_protocol_v1/linear/fedgda_d/seed_2/rerun_protocol_v1_linear_fedgda_d_seed2_alpha0p1
linear,(c) Linear ($\alpha=0.1$),FedDeepGMM-OGDA-D,"mean base_sweep alpha=0.1, seeds 0-2",fedogda_d,mean:0|1|2,0.002877975427533517,0.002928412704350692,0.0016113109682998129,0.03137461780939091,results/rerun_protocol_v1/linear/fedogda_d/seed_0/rerun_protocol_v1_linear_fedogda_d_seed0_alpha0p1|results/rerun_protocol_v1/linear/fedogda_d/seed_1/rerun_protocol_v1_linear_fedogda_d_seed1_alpha0p1|results/rerun_protocol_v1/linear/fedogda_d/seed_2/rerun_protocol_v1_linear_fedogda_d_seed2_alpha0p1
linear,(c) Linear ($\alpha=0.1$),DeepGMM-GDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",gda,mean:0|1|2,0.009346491629144289,0.009543762701698218,0.004972092875914215,0.05726086445223575,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/gda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/gda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/gda/seed_2/glr_0p005_flr_0p03
linear,(c) Linear ($\alpha=0.1$),DeepGMM-SGDA,"centralized C5 validation-tuned GDA/SGDA, mean seeds 0-2",sgda,mean:0|1|2,0.007804446485904,0.007997298100588622,0.004180393463165936,0.052694130772757225,results/centralized_lowdim_v1_tuning/c5_gda_sgda_lr_screen/linear/sgda/seed_0/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/sgda/seed_1/glr_0p005_flr_0p03|results/centralized_lowdim_v1_tuning/c5b_gda_sgda_lr_confirm/linear/sgda/seed_2/glr_0p005_flr_0p03
