dataset,method,source,run_id,seed,learning_rate,weight_decay,objective_lambda_1,epochs,comm_round,best_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,curve_mse,curve_mae,curve_max_abs_error,curve_corr,pred_min,pred_max,diverged,runtime_seconds,result_dir
sin,fedogda_s,optimistic_curve_screen_v2,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p005_cm10_lam0p03_slr1p5,0,0.005,0.0,0.03,3,500,0.04198485935838059,0.007004717865599601,0.0011634645380562275,0.042874493130950216,492,0.043148323896436816,0.043907985938468175,0.04287449313095013,0.1617845117665532,0.6689165353586823,0.8021011913958671,-0.20905175955065194,0.2512749493920394,False,206.25163102149963,results/curve_fitting_tuning/optimistic_curve_screen_v2/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p005_cm10_lam0p03_slr1p5
sin,fedogda_s,optimistic_curve_screen_v2,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p01_cm10_lam0p03_slr1p5,0,0.01,0.0,0.03,3,500,0.044156917918112985,0.023616781949657422,0.017986738332237788,0.04483827497613864,498,0.06214365625035077,0.06284349686827004,0.04483827497613869,0.17591927062589371,0.587375619121217,0.8438260786950078,-0.19060751795544015,0.20980212347562072,False,125.59431576728821,results/curve_fitting_tuning/optimistic_curve_screen_v2/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p01_cm10_lam0p03_slr1p5
sin,fedogda_s,optimistic_curve_screen_v2,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p005_cm15_lam0p03_slr1p5,0,0.005,0.0,0.03,3,500,0.04645394356820334,0.00966406605529259,0.001835553971776871,0.04743434261078732,495,0.048289497539980214,0.049167377706094015,0.04743434261078737,0.17291060626920227,0.6850415343181947,0.777899572857148,-0.2212991421630989,0.2247840534561638,False,127.69064164161682,results/curve_fitting_tuning/optimistic_curve_screen_v2/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p005_cm15_lam0p03_slr1p5
sin,fedogda_s,optimistic_curve_screen_v2,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p01_cm15_lam0p03_slr1p5,0,0.01,0.0,0.03,3,500,0.05224948659544934,0.011221586100701977,0.0005574520228543225,0.053281587469896786,498,0.05280693861830366,0.05422500783701814,0.05328158746989653,0.19109075993983565,0.6937635829289865,0.7582068127044052,-0.22996346492717948,0.18672675322587964,False,199.9602689743042,results/curve_fitting_tuning/optimistic_curve_screen_v2/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p01_cm15_lam0p03_slr1p5
sin,fedogda_s,optimistic_curve_screen_v2,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p005_cm10_lam0p1_slr1p5,0,0.005,0.0,0.1,3,500,0.05473688353632282,0.010417642709677625,0.0011038365008069345,0.056139413600179114,495,0.055840720037129754,0.056988791054498326,0.05613941360017931,0.1864543593062101,0.7670900410776148,0.7012232108491826,-0.339473070140409,0.31296769418866865,False,194.66761302947998,results/curve_fitting_tuning/optimistic_curve_screen_v2/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p005_cm10_lam0p1_slr1p5
sin,fedogda_s,optimistic_curve_screen_v2,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p005_cm15_lam0p1_slr1p5,0,0.005,0.0,0.1,3,500,0.05574564186001146,0.012868406697734758,0.000531122137350945,0.057453195485923016,477,0.05627676399736241,0.05791930388207852,0.05745319548592288,0.1918296837174482,0.8018061582736642,0.6989483610702691,-0.21628409375372276,0.4005844531604736,False,129.38486695289612,results/curve_fitting_tuning/optimistic_curve_screen_v2/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p005_cm15_lam0p1_slr1p5
sin,fedogda_s,optimistic_curve_screen_v2,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p01_cm10_lam0p1_slr1p5,0,0.01,0.0,0.1,3,500,0.059388661969111425,0.00742575191675001,4.584107436565732e-05,0.060724194729036785,498,0.05943450304347708,0.06114008092866621,0.060724194729037104,0.20412685066260133,0.7441206516666639,0.6875516247389016,-0.30802593793343547,0.28919154290280796,False,207.14626812934875,results/curve_fitting_tuning/optimistic_curve_screen_v2/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p01_cm10_lam0p1_slr1p5
sin,fedogda_s,optimistic_curve_screen_v2,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p01_cm15_lam0p1_slr1p5,0,0.01,0.0,0.1,3,500,0.060269394252993165,0.00865314564872796,0.0020733726631547364,0.06195348574446905,481,0.0623427669161479,0.06429978070458478,0.06195348574446923,0.1996157107719529,0.8043332095553268,0.6579703198352536,-0.35823757502362974,0.4203756141042457,False,199.71562886238098,results/curve_fitting_tuning/optimistic_curve_screen_v2/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p01_cm15_lam0p1_slr1p5
sin,fedogda_s,optimistic_curve_screen_v2,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p002_cm15_lam0p03_slr1p5,0,0.002,0.0,0.03,3,500,0.06635320167014676,0.0029468743018498866,0.0018669147345664744,0.0682279941254776,492,0.06822011640471323,0.06984268561255806,0.06822799412547709,0.21213273970647598,0.8366764312287465,0.6106107636408307,-0.3698593266454933,0.46712664782177993,False,182.89994978904724,results/curve_fitting_tuning/optimistic_curve_screen_v2/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p002_cm15_lam0p03_slr1p5
sin,fedogda_s,optimistic_curve_screen_v2,curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p002_cm15_lam0p1_slr1p5,0,0.002,0.0,0.1,3,500,0.07093265655107127,0.0021518754697615545,0.0006529824825429881,0.07298775692774966,492,0.07158563903361426,0.07316762318568898,0.07298775692774948,0.21705446577653142,0.8814657281024982,0.5726777208034044,-0.448799179365121,0.5275750757617421,False,257.9699125289917,results/curve_fitting_tuning/optimistic_curve_screen_v2/sin/fedogda_s/seed_0/curvefit_sin_fedogda_s_seed0_alpha1p0_T500_R3_batch256_glr0p002_cm15_lam0p1_slr1p5
