stage,method,run_id,seed,learning_rate,critic_multiplier,objective_lambda_1,server_learning_rate,comm_round,best_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,curve_mse,curve_mae,curve_corr,amp_ratio,diverged,runtime_seconds,result_dir
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1p5,0,0.01,10.0,0.01,1.5,500,0.024345469825302196,0.013176561974613586,0.0451773553464683,0.0250095710317166,484,0.0695228251717705,0.06911419815317807,0.025009571031716617,0.1245298661520282,0.9148074543035031,0.6948008206284437,False,158.83114314079285,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1p5
stage_b_server_lr,fedgda_s,sine05_v1_stage_b_server_lr_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1p75,0,0.01,10.0,0.01,1.75,500,0.02780619580495248,0.014400956532759685,0.06058059818034114,0.02867902662793698,492,0.08838679398529362,0.087868754492857,0.028679026627936997,0.1327526298686695,0.8917451591748623,0.6756492298176769,False,154.62794065475464,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_b_server_lr_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1p75
stage_b_server_lr,fedgda_s,sine05_v1_stage_b_server_lr_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm10_lam0p01_slr2,0,0.01,10.0,0.01,2.0,500,0.028764622282884938,0.016746405924236596,0.03040244047327621,0.029227856390587028,492,0.05916706275616115,0.05892219222739743,0.029227856390586896,0.13936605740280378,0.9252429603709462,0.616089929912207,False,150.6993019580841,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_b_server_lr_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm10_lam0p01_slr2
stage_b_server_lr,fedgda_s,sine05_v1_stage_b_server_lr_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1p25,0,0.01,10.0,0.01,1.25,500,0.030847506495575622,0.005851129194414826,0.019009970815254764,0.03150084308815069,492,0.049857477310830386,0.05022165372002942,0.03150084308815053,0.14065597068742636,0.888072568757165,0.5974712285170776,False,152.83608603477478,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_b_server_lr_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm10_lam0p01_slr1p25
stage_b_server_lr,fedgda_s,sine05_v1_stage_b_server_lr_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p01_slr1p25,0,0.01,7.0,0.01,1.25,500,0.03890078194005152,0.009137933067736262,0.011371485405871531,0.04012628361434895,489,0.05027226734592305,0.0513864978906516,0.04012628361434893,0.15463068165457594,0.810374119605016,0.5502434232069128,False,147.39322757720947,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_b_server_lr_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p01_slr1p25
stage_b_server_lr,fedgda_s,sine05_v1_stage_b_server_lr_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p01_slr1p75,0,0.01,7.0,0.01,1.75,500,0.04478281529177,0.015894341705851252,0.017148670873253696,0.04655194363795425,490,0.0619314861650237,0.06447178492561012,0.04655194363795428,0.1614025145842772,0.7742036698688831,0.640185484126479,False,153.12724256515503,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_b_server_lr_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p01_slr1p75
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p01_slr1p5,0,0.01,7.0,0.01,1.5,500,0.04725788330329245,0.012008261788960885,0.016058192093077503,0.04835110812525963,487,0.06331607539636995,0.06630539422164629,0.048351108125259515,0.1754759065952996,0.7596039778134743,0.5291291055068096,False,151.73210954666138,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p01_cm7_lam0p01_slr1p5
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p0075_cm10_lam0p01_slr1p5,0,0.0075,10.0,0.01,1.5,500,0.04781633346353496,0.009089925311767028,0.04112025104236712,0.04837781692853061,489,0.08893658450590208,0.09206366409230238,0.0483778169285305,0.18751693196142205,0.8645323907474567,0.4022913946979241,False,160.965913772583,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p0075_cm10_lam0p01_slr1p5
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p0075_cm10_lam0p005_slr1p5,0,0.0075,10.0,0.005,1.5,500,0.05361156790190703,0.0077566888867563345,0.03344898519295917,0.054340192429004834,489,0.0870605530948662,0.09043349736613782,0.054340192429004744,0.1983772820175092,0.8285576501484049,0.35406647611358244,False,154.517151594162,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p0075_cm10_lam0p005_slr1p5
stage_a_screen,fedgda_s,sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p005_cm10_lam0p01_slr1p5,0,0.005,10.0,0.01,1.5,500,0.05444704165805432,0.005941271322571902,0.028881853755979042,0.05569661518988649,490,0.08332889541403336,0.08516571745616262,0.05569661518988642,0.19242702131854994,0.7088570701186357,0.6393033268987054,False,149.55469942092896,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_a_screen_fedgda_s_seed0_alpha0p5_T500_R3_batch256_glr0p005_cm10_lam0p01_slr1p5
