run_id,protocol_version,run_group,stage,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,objective_lambda_1,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,append_round_csv,periodic_checkpoint_interval,using_gpu,gpu_id,log_test_mse_by_round,test_mse_used_for_selection,selection_metric_source,selected_without_test,notes
v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm5_lam0p005_slr1p5,fedogda_s_sine_fast_v4,fedogda_s_sine_fast_v4,stage_a_boundary_probe,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_sine_fast_v4,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm5_lam0p005_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0125,fedogda_s_sine_fast_v4,0.0,0.005,5.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Fast v4 Sine FedOGDA-S boundary probe. Validation-only selection; Test MSE and curve diagnostics are post-selection readouts only.
v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm5_lam0p01_slr1p5,fedogda_s_sine_fast_v4,fedogda_s_sine_fast_v4,stage_a_boundary_probe,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_sine_fast_v4,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm5_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0125,fedogda_s_sine_fast_v4,0.0,0.01,5.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Fast v4 Sine FedOGDA-S boundary probe. Validation-only selection; Test MSE and curve diagnostics are post-selection readouts only.
v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm6_lam0p005_slr1p5,fedogda_s_sine_fast_v4,fedogda_s_sine_fast_v4,stage_a_boundary_probe,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_sine_fast_v4,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm6_lam0p005_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0125,fedogda_s_sine_fast_v4,0.0,0.005,6.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Fast v4 Sine FedOGDA-S boundary probe. Validation-only selection; Test MSE and curve diagnostics are post-selection readouts only.
v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm6_lam0p01_slr1p5,fedogda_s_sine_fast_v4,fedogda_s_sine_fast_v4,stage_a_boundary_probe,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_sine_fast_v4,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm6_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0125,fedogda_s_sine_fast_v4,0.0,0.01,6.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Fast v4 Sine FedOGDA-S boundary probe. Validation-only selection; Test MSE and curve diagnostics are post-selection readouts only.
v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm7_lam0p005_slr1p5,fedogda_s_sine_fast_v4,fedogda_s_sine_fast_v4,stage_a_boundary_probe,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_sine_fast_v4,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm7_lam0p005_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0125,fedogda_s_sine_fast_v4,0.0,0.005,7.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Fast v4 Sine FedOGDA-S boundary probe. Validation-only selection; Test MSE and curve diagnostics are post-selection readouts only.
v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm7_lam0p01_slr1p5,fedogda_s_sine_fast_v4,fedogda_s_sine_fast_v4,stage_a_boundary_probe,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_sine_fast_v4,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm7_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0125,fedogda_s_sine_fast_v4,0.0,0.01,7.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Fast v4 Sine FedOGDA-S boundary probe. Validation-only selection; Test MSE and curve diagnostics are post-selection readouts only.
v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm8_lam0p005_slr1p5,fedogda_s_sine_fast_v4,fedogda_s_sine_fast_v4,stage_a_boundary_probe,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_sine_fast_v4,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm8_lam0p005_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0125,fedogda_s_sine_fast_v4,0.0,0.005,8.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Fast v4 Sine FedOGDA-S boundary probe. Validation-only selection; Test MSE and curve diagnostics are post-selection readouts only.
v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm8_lam0p01_slr1p5,fedogda_s_sine_fast_v4,fedogda_s_sine_fast_v4,stage_a_boundary_probe,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_sine_fast_v4,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm8_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0125,fedogda_s_sine_fast_v4,0.0,0.01,8.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Fast v4 Sine FedOGDA-S boundary probe. Validation-only selection; Test MSE and curve diagnostics are post-selection readouts only.
v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm9_lam0p005_slr1p5,fedogda_s_sine_fast_v4,fedogda_s_sine_fast_v4,stage_a_boundary_probe,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_sine_fast_v4,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm9_lam0p005_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0125,fedogda_s_sine_fast_v4,0.0,0.005,9.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Fast v4 Sine FedOGDA-S boundary probe. Validation-only selection; Test MSE and curve diagnostics are post-selection readouts only.
v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm9_lam0p01_slr1p5,fedogda_s_sine_fast_v4,fedogda_s_sine_fast_v4,stage_a_boundary_probe,federated,fedogda_s,FedOGDA-S,sin,0,1.0,results/curve_fitting_tuning/fedogda_s_sine_fast_v4,results/curve_fitting_tuning/fedogda_s_sine_fast_v4/sin/fedogda_s/seed_0/v4_stage_a_boundary_probe_sin_fedogda_s_seed0_alpha1_T500_R3_batch256_glr0p0125_cm9_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,500,3,256,hetero,1.0,data,0.0125,fedogda_s_sine_fast_v4,0.0,0.01,9.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Fast v4 Sine FedOGDA-S boundary probe. Validation-only selection; Test MSE and curve diagnostics are post-selection readouts only.
