run_id,protocol_version,run_group,stage,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,objective_lambda_1,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,append_round_csv,periodic_checkpoint_interval,using_gpu,gpu_id,log_test_mse_by_round,test_mse_used_for_selection,selection_metric_source,selected_without_test,notes
sine05_v1_stage_c_confirm_fedgda_s_seed0_alpha0p5_T1000_R3_batch256_glr0p01_cm10_lam0p01_slr1p5,sine_alpha0p5_paired_v1,sine_alpha0p5_paired_v1,stage_c_confirm,federated,fedgda_s,FedGDA-S,sin,0,0.5,results/curve_fitting_tuning/sine_alpha0p5_paired_v1,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_c_confirm_fedgda_s_seed0_alpha0p5_T1000_R3_batch256_glr0p01_cm10_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1000,3,256,hetero,0.5,data,0.01,sine_alpha0p5_paired_v1,0.0,0.01,10.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Matched Sine alpha=0.5 paired tuning. Validation-only configuration and checkpoint selection; test metrics are post-selection readouts.
sine05_v1_stage_c_confirm_fedgda_s_seed1_alpha0p5_T1000_R3_batch256_glr0p01_cm10_lam0p01_slr1p5,sine_alpha0p5_paired_v1,sine_alpha0p5_paired_v1,stage_c_confirm,federated,fedgda_s,FedGDA-S,sin,1,0.5,results/curve_fitting_tuning/sine_alpha0p5_paired_v1,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_1/sine05_v1_stage_c_confirm_fedgda_s_seed1_alpha0p5_T1000_R3_batch256_glr0p01_cm10_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1000,3,256,hetero,0.5,data,0.01,sine_alpha0p5_paired_v1,0.0,0.01,10.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Matched Sine alpha=0.5 paired tuning. Validation-only configuration and checkpoint selection; test metrics are post-selection readouts.
sine05_v1_stage_c_confirm_fedgda_s_seed2_alpha0p5_T1000_R3_batch256_glr0p01_cm10_lam0p01_slr1p5,sine_alpha0p5_paired_v1,sine_alpha0p5_paired_v1,stage_c_confirm,federated,fedgda_s,FedGDA-S,sin,2,0.5,results/curve_fitting_tuning/sine_alpha0p5_paired_v1,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_2/sine05_v1_stage_c_confirm_fedgda_s_seed2_alpha0p5_T1000_R3_batch256_glr0p01_cm10_lam0p01_slr1p5,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1000,3,256,hetero,0.5,data,0.01,sine_alpha0p5_paired_v1,0.0,0.01,10.0,1.5,1.0,100,60,200,True,0,True,,False,False,validation,True,Matched Sine alpha=0.5 paired tuning. Validation-only configuration and checkpoint selection; test metrics are post-selection readouts.
sine05_v1_stage_c_confirm_fedgda_s_seed0_alpha0p5_T1000_R3_batch256_glr0p01_cm10_lam0p01_slr1p75,sine_alpha0p5_paired_v1,sine_alpha0p5_paired_v1,stage_c_confirm,federated,fedgda_s,FedGDA-S,sin,0,0.5,results/curve_fitting_tuning/sine_alpha0p5_paired_v1,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_0/sine05_v1_stage_c_confirm_fedgda_s_seed0_alpha0p5_T1000_R3_batch256_glr0p01_cm10_lam0p01_slr1p75,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1000,3,256,hetero,0.5,data,0.01,sine_alpha0p5_paired_v1,0.0,0.01,10.0,1.75,1.0,100,60,200,True,0,True,,False,False,validation,True,Matched Sine alpha=0.5 paired tuning. Validation-only configuration and checkpoint selection; test metrics are post-selection readouts.
sine05_v1_stage_c_confirm_fedgda_s_seed1_alpha0p5_T1000_R3_batch256_glr0p01_cm10_lam0p01_slr1p75,sine_alpha0p5_paired_v1,sine_alpha0p5_paired_v1,stage_c_confirm,federated,fedgda_s,FedGDA-S,sin,1,0.5,results/curve_fitting_tuning/sine_alpha0p5_paired_v1,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_1/sine05_v1_stage_c_confirm_fedgda_s_seed1_alpha0p5_T1000_R3_batch256_glr0p01_cm10_lam0p01_slr1p75,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1000,3,256,hetero,0.5,data,0.01,sine_alpha0p5_paired_v1,0.0,0.01,10.0,1.75,1.0,100,60,200,True,0,True,,False,False,validation,True,Matched Sine alpha=0.5 paired tuning. Validation-only configuration and checkpoint selection; test metrics are post-selection readouts.
sine05_v1_stage_c_confirm_fedgda_s_seed2_alpha0p5_T1000_R3_batch256_glr0p01_cm10_lam0p01_slr1p75,sine_alpha0p5_paired_v1,sine_alpha0p5_paired_v1,stage_c_confirm,federated,fedgda_s,FedGDA-S,sin,2,0.5,results/curve_fitting_tuning/sine_alpha0p5_paired_v1,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedgda_s/seed_2/sine05_v1_stage_c_confirm_fedgda_s_seed2_alpha0p5_T1000_R3_batch256_glr0p01_cm10_lam0p01_slr1p75,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,10,1000,3,256,hetero,0.5,data,0.01,sine_alpha0p5_paired_v1,0.0,0.01,10.0,1.75,1.0,100,60,200,True,0,True,,False,False,validation,True,Matched Sine alpha=0.5 paired tuning. Validation-only configuration and checkpoint selection; test metrics are post-selection readouts.
sine05_v1_stage_c_confirm_fedogda_s_seed0_alpha0p5_T1000_R3_batch256_glr0p01_cm5_lam0p005_slr2,sine_alpha0p5_paired_v1,sine_alpha0p5_paired_v1,stage_c_confirm,federated,fedogda_s,FedOGDA-S,sin,0,0.5,results/curve_fitting_tuning/sine_alpha0p5_paired_v1,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedogda_s/seed_0/sine05_v1_stage_c_confirm_fedogda_s_seed0_alpha0p5_T1000_R3_batch256_glr0p01_cm5_lam0p005_slr2,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1000,3,256,hetero,0.5,data,0.01,sine_alpha0p5_paired_v1,0.0,0.005,5.0,2.0,1.0,100,60,200,True,0,True,,False,False,validation,True,Matched Sine alpha=0.5 paired tuning. Validation-only configuration and checkpoint selection; test metrics are post-selection readouts.
sine05_v1_stage_c_confirm_fedogda_s_seed1_alpha0p5_T1000_R3_batch256_glr0p01_cm5_lam0p005_slr2,sine_alpha0p5_paired_v1,sine_alpha0p5_paired_v1,stage_c_confirm,federated,fedogda_s,FedOGDA-S,sin,1,0.5,results/curve_fitting_tuning/sine_alpha0p5_paired_v1,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedogda_s/seed_1/sine05_v1_stage_c_confirm_fedogda_s_seed1_alpha0p5_T1000_R3_batch256_glr0p01_cm5_lam0p005_slr2,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1000,3,256,hetero,0.5,data,0.01,sine_alpha0p5_paired_v1,0.0,0.005,5.0,2.0,1.0,100,60,200,True,0,True,,False,False,validation,True,Matched Sine alpha=0.5 paired tuning. Validation-only configuration and checkpoint selection; test metrics are post-selection readouts.
sine05_v1_stage_c_confirm_fedogda_s_seed2_alpha0p5_T1000_R3_batch256_glr0p01_cm5_lam0p005_slr2,sine_alpha0p5_paired_v1,sine_alpha0p5_paired_v1,stage_c_confirm,federated,fedogda_s,FedOGDA-S,sin,2,0.5,results/curve_fitting_tuning/sine_alpha0p5_paired_v1,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedogda_s/seed_2/sine05_v1_stage_c_confirm_fedogda_s_seed2_alpha0p5_T1000_R3_batch256_glr0p01_cm5_lam0p005_slr2,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1000,3,256,hetero,0.5,data,0.01,sine_alpha0p5_paired_v1,0.0,0.005,5.0,2.0,1.0,100,60,200,True,0,True,,False,False,validation,True,Matched Sine alpha=0.5 paired tuning. Validation-only configuration and checkpoint selection; test metrics are post-selection readouts.
sine05_v1_stage_c_confirm_fedogda_s_seed0_alpha0p5_T1000_R3_batch256_glr0p01_cm5_lam0p005_slr1p75,sine_alpha0p5_paired_v1,sine_alpha0p5_paired_v1,stage_c_confirm,federated,fedogda_s,FedOGDA-S,sin,0,0.5,results/curve_fitting_tuning/sine_alpha0p5_paired_v1,results/curve_fitting_tuning/sine_alpha0p5_paired_v1/sin/fedogda_s/seed_0/sine05_v1_stage_c_confirm_fedogda_s_seed0_alpha0p5_T1000_R3_batch256_glr0p01_cm5_lam0p005_slr1p75,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,10,1000,3,256,hetero,0.5,data,0.01,sine_alpha0p5_paired_v1,0.0,0.005,5.0,1.75,1.0,100,60,200,True,0,True,,False,False,validation,True,Matched Sine alpha=0.5 paired tuning. Validation-only configuration and checkpoint selection; test metrics are post-selection readouts.
