run_id,protocol_version,run_group,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,using_gpu,gpu_id,log_test_mse_by_round,test_mse_used_for_selection,selection_metric_source,selected_without_test,notes
curvefit_step_fedogda_d_seed0_alpha0p1_T200_R3_cm15_slr1p5_glr0p002,curve_fitting_tuning_v1,curvefit_step_fedogda_d_mini_v1,federated,fedogda_d,FedOGDA-D,step,0,0.1,results/curve_fitting_tuning/step_fedogda_d_mini_v1,results/curve_fitting_tuning/step_fedogda_d_mini_v1/step/fedogda_d/seed_0/curvefit_step_fedogda_d_seed0_alpha0p1_T200_R3_cm15_slr1p5_glr0p002,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,1000,200,3,0,hetero,0.1,data,0.002,curvefit_step_mini_grid,0.1,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Step FedOGDA-D curve-fitting mini screen; rank candidates by validation metrics only; Test MSE/curve metrics for post-selection reporting only.
curvefit_step_fedogda_d_seed0_alpha0p1_T200_R3_cm15_slr1p5_glr0p005,curve_fitting_tuning_v1,curvefit_step_fedogda_d_mini_v1,federated,fedogda_d,FedOGDA-D,step,0,0.1,results/curve_fitting_tuning/step_fedogda_d_mini_v1,results/curve_fitting_tuning/step_fedogda_d_mini_v1/step/fedogda_d/seed_0/curvefit_step_fedogda_d_seed0_alpha0p1_T200_R3_cm15_slr1p5_glr0p005,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,1000,200,3,0,hetero,0.1,data,0.005,curvefit_step_mini_grid,0.1,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Step FedOGDA-D curve-fitting mini screen; rank candidates by validation metrics only; Test MSE/curve metrics for post-selection reporting only.
curvefit_step_fedogda_d_seed0_alpha0p1_T200_R3_cm20_slr1p5_glr0p002,curve_fitting_tuning_v1,curvefit_step_fedogda_d_mini_v1,federated,fedogda_d,FedOGDA-D,step,0,0.1,results/curve_fitting_tuning/step_fedogda_d_mini_v1,results/curve_fitting_tuning/step_fedogda_d_mini_v1/step/fedogda_d/seed_0/curvefit_step_fedogda_d_seed0_alpha0p1_T200_R3_cm20_slr1p5_glr0p002,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,1000,200,3,0,hetero,0.1,data,0.002,curvefit_step_mini_grid,0.1,20.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Step FedOGDA-D curve-fitting mini screen; rank candidates by validation metrics only; Test MSE/curve metrics for post-selection reporting only.
curvefit_step_fedogda_d_seed0_alpha0p1_T200_R3_cm20_slr1p5_glr0p005,curve_fitting_tuning_v1,curvefit_step_fedogda_d_mini_v1,federated,fedogda_d,FedOGDA-D,step,0,0.1,results/curve_fitting_tuning/step_fedogda_d_mini_v1,results/curve_fitting_tuning/step_fedogda_d_mini_v1/step/fedogda_d/seed_0/curvefit_step_fedogda_d_seed0_alpha0p1_T200_R3_cm20_slr1p5_glr0p005,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,1000,200,3,0,hetero,0.1,data,0.005,curvefit_step_mini_grid,0.1,20.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Step FedOGDA-D curve-fitting mini screen; rank candidates by validation metrics only; Test MSE/curve metrics for post-selection reporting only.
curvefit_step_fedogda_d_seed0_alpha0p1_T200_R5_cm15_slr1p5_glr0p002,curve_fitting_tuning_v1,curvefit_step_fedogda_d_mini_v1,federated,fedogda_d,FedOGDA-D,step,0,0.1,results/curve_fitting_tuning/step_fedogda_d_mini_v1,results/curve_fitting_tuning/step_fedogda_d_mini_v1/step/fedogda_d/seed_0/curvefit_step_fedogda_d_seed0_alpha0p1_T200_R5_cm15_slr1p5_glr0p002,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,1000,200,5,0,hetero,0.1,data,0.002,curvefit_step_mini_grid,0.1,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Step FedOGDA-D curve-fitting mini screen; rank candidates by validation metrics only; Test MSE/curve metrics for post-selection reporting only.
curvefit_step_fedogda_d_seed0_alpha0p1_T200_R5_cm15_slr1p5_glr0p005,curve_fitting_tuning_v1,curvefit_step_fedogda_d_mini_v1,federated,fedogda_d,FedOGDA-D,step,0,0.1,results/curve_fitting_tuning/step_fedogda_d_mini_v1,results/curve_fitting_tuning/step_fedogda_d_mini_v1/step/fedogda_d/seed_0/curvefit_step_fedogda_d_seed0_alpha0p1_T200_R5_cm15_slr1p5_glr0p005,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,1000,200,5,0,hetero,0.1,data,0.005,curvefit_step_mini_grid,0.1,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Step FedOGDA-D curve-fitting mini screen; rank candidates by validation metrics only; Test MSE/curve metrics for post-selection reporting only.
curvefit_step_fedogda_d_seed0_alpha0p1_T200_R5_cm20_slr1p5_glr0p002,curve_fitting_tuning_v1,curvefit_step_fedogda_d_mini_v1,federated,fedogda_d,FedOGDA-D,step,0,0.1,results/curve_fitting_tuning/step_fedogda_d_mini_v1,results/curve_fitting_tuning/step_fedogda_d_mini_v1/step/fedogda_d/seed_0/curvefit_step_fedogda_d_seed0_alpha0p1_T200_R5_cm20_slr1p5_glr0p002,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,1000,200,5,0,hetero,0.1,data,0.002,curvefit_step_mini_grid,0.1,20.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Step FedOGDA-D curve-fitting mini screen; rank candidates by validation metrics only; Test MSE/curve metrics for post-selection reporting only.
curvefit_step_fedogda_d_seed0_alpha0p1_T200_R5_cm20_slr1p5_glr0p005,curve_fitting_tuning_v1,curvefit_step_fedogda_d_mini_v1,federated,fedogda_d,FedOGDA-D,step,0,0.1,results/curve_fitting_tuning/step_fedogda_d_mini_v1,results/curve_fitting_tuning/step_fedogda_d_mini_v1/step/fedogda_d/seed_0/curvefit_step_fedogda_d_seed0_alpha0p1_T200_R5_cm20_slr1p5_glr0p005,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,1000,200,5,0,hetero,0.1,data,0.005,curvefit_step_mini_grid,0.1,20.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Step FedOGDA-D curve-fitting mini screen; rank candidates by validation metrics only; Test MSE/curve metrics for post-selection reporting only.
curvefit_step_fedogda_d_seed0_alpha0p1_T200_R10_cm15_slr1p5_glr0p002,curve_fitting_tuning_v1,curvefit_step_fedogda_d_mini_v1,federated,fedogda_d,FedOGDA-D,step,0,0.1,results/curve_fitting_tuning/step_fedogda_d_mini_v1,results/curve_fitting_tuning/step_fedogda_d_mini_v1/step/fedogda_d/seed_0/curvefit_step_fedogda_d_seed0_alpha0p1_T200_R10_cm15_slr1p5_glr0p002,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,1000,200,10,0,hetero,0.1,data,0.002,curvefit_step_mini_grid,0.1,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Step FedOGDA-D curve-fitting mini screen; rank candidates by validation metrics only; Test MSE/curve metrics for post-selection reporting only.
curvefit_step_fedogda_d_seed0_alpha0p1_T200_R10_cm15_slr1p5_glr0p005,curve_fitting_tuning_v1,curvefit_step_fedogda_d_mini_v1,federated,fedogda_d,FedOGDA-D,step,0,0.1,results/curve_fitting_tuning/step_fedogda_d_mini_v1,results/curve_fitting_tuning/step_fedogda_d_mini_v1/step/fedogda_d/seed_0/curvefit_step_fedogda_d_seed0_alpha0p1_T200_R10_cm15_slr1p5_glr0p005,ready,not_started,False,not_required,lr,FedAvg,ogda,1000,1000,200,10,0,hetero,0.1,data,0.005,curvefit_step_mini_grid,0.1,15.0,1.5,1.0,100,60,200,True,,True,False,validation,True,Step FedOGDA-D curve-fitting mini screen; rank candidates by validation metrics only; Test MSE/curve metrics for post-selection reporting only.
