run_id,protocol_version,run_group,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,using_gpu,gpu_id,notes,scenario_name,objective_mode,aggregation_weighting,input_dim_g,input_dim_f,g0,skip_model_selection,scenario_seed,optimizer_seed,seed_pair_id,campaign_role,scenario_checksum,role,g0_display_label,alignment_label,primary_selection_metric,test_mse_used_for_selection,selection_source,study_claim,scenario_scope,scenario_metadata_path,config_path,result_path
confirmatory_linear_fedgda_confirmatory_01,eicu_study_a_v1,confirmatory,federated,fedgda_s,FEDGDA-S,eicu_semisynth,1101,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_demo_stage_a_v1_20260727,,implemented,not_started,false,,lr,FedAvg,sgd,3,3,500,1,3,natural,0.0,data,0.001,preregistered_fixed_no_tuning,0.01,10.0,1.0,1.0,100,60,200,false,0,demo campaign fixed defaults; no tuning performed,linear_scenario_seed101,paper_aligned,uniform_clients,43,43,linear,true,101,1101,confirmatory_01,,327ebc29332b4151dd8876d7944b16d26a621a0cea660aea063865ae64c5ef1d,confirmatory,linear,primary_extension,equal_client_validation_mse,false,validation_only,extension_no_published_target,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth/linear_scenario_seed101_metadata.json,,eicu_semisynth/fedgda_s/seed_1101/confirmatory_linear_fedgda_confirmatory_01
confirmatory_linear_fedgda_confirmatory_02,eicu_study_a_v1,confirmatory,federated,fedgda_s,FEDGDA-S,eicu_semisynth,1102,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_demo_stage_a_v1_20260727,,implemented,not_started,false,,lr,FedAvg,sgd,3,3,500,1,3,natural,0.0,data,0.001,preregistered_fixed_no_tuning,0.01,10.0,1.0,1.0,100,60,200,false,0,demo campaign fixed defaults; no tuning performed,linear_scenario_seed102,paper_aligned,uniform_clients,42,42,linear,true,102,1102,confirmatory_02,,5ce8de50327fbb39cf47e1ed988ceae4e32b99ef538455c05ebd3926dd009906,confirmatory,linear,primary_extension,equal_client_validation_mse,false,validation_only,extension_no_published_target,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth/linear_scenario_seed102_metadata.json,,eicu_semisynth/fedgda_s/seed_1102/confirmatory_linear_fedgda_confirmatory_02
confirmatory_linear_fedgda_confirmatory_03,eicu_study_a_v1,confirmatory,federated,fedgda_s,FEDGDA-S,eicu_semisynth,1103,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_demo_stage_a_v1_20260727,,implemented,not_started,false,,lr,FedAvg,sgd,3,3,500,1,3,natural,0.0,data,0.001,preregistered_fixed_no_tuning,0.01,10.0,1.0,1.0,100,60,200,false,0,demo campaign fixed defaults; no tuning performed,linear_scenario_seed103,paper_aligned,uniform_clients,43,43,linear,true,103,1103,confirmatory_03,,dec869d389c1437e595529a51424336b980e1f53d569eb2ec3a7aac9d0424221,confirmatory,linear,primary_extension,equal_client_validation_mse,false,validation_only,extension_no_published_target,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth/linear_scenario_seed103_metadata.json,,eicu_semisynth/fedgda_s/seed_1103/confirmatory_linear_fedgda_confirmatory_03
confirmatory_linear_fedgda_confirmatory_04,eicu_study_a_v1,confirmatory,federated,fedgda_s,FEDGDA-S,eicu_semisynth,1104,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_demo_stage_a_v1_20260727,,implemented,not_started,false,,lr,FedAvg,sgd,3,3,500,1,3,natural,0.0,data,0.001,preregistered_fixed_no_tuning,0.01,10.0,1.0,1.0,100,60,200,false,0,demo campaign fixed defaults; no tuning performed,linear_scenario_seed104,paper_aligned,uniform_clients,42,42,linear,true,104,1104,confirmatory_04,,32c7fa6bef80e098cbd8603c14219f5886542191103f7e3f268accfdab314441,confirmatory,linear,primary_extension,equal_client_validation_mse,false,validation_only,extension_no_published_target,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth/linear_scenario_seed104_metadata.json,,eicu_semisynth/fedgda_s/seed_1104/confirmatory_linear_fedgda_confirmatory_04
confirmatory_linear_fedgda_confirmatory_05,eicu_study_a_v1,confirmatory,federated,fedgda_s,FEDGDA-S,eicu_semisynth,1105,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_demo_stage_a_v1_20260727,,implemented,not_started,false,,lr,FedAvg,sgd,3,3,500,1,3,natural,0.0,data,0.001,preregistered_fixed_no_tuning,0.01,10.0,1.0,1.0,100,60,200,false,0,demo campaign fixed defaults; no tuning performed,linear_scenario_seed105,paper_aligned,uniform_clients,43,43,linear,true,105,1105,confirmatory_05,,ddbed4bbef6d0a991a73e16e1ba1ee8f9e673f77b722be5fc23bff09fee34ad2,confirmatory,linear,primary_extension,equal_client_validation_mse,false,validation_only,extension_no_published_target,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth/linear_scenario_seed105_metadata.json,,eicu_semisynth/fedgda_s/seed_1105/confirmatory_linear_fedgda_confirmatory_05
confirmatory_linear_fedogda_confirmatory_01,eicu_study_a_v1,confirmatory,federated,fedogda_s,FEDOGDA-S,eicu_semisynth,1101,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_demo_stage_a_v1_20260727,,implemented,not_started,false,,lr,FedAvg,ogda,3,3,500,1,3,natural,0.0,data,0.001,preregistered_fixed_no_tuning,0.01,10.0,1.0,1.0,100,60,200,false,0,demo campaign fixed defaults; no tuning performed,linear_scenario_seed101,paper_aligned,uniform_clients,43,43,linear,true,101,1101,confirmatory_01,,327ebc29332b4151dd8876d7944b16d26a621a0cea660aea063865ae64c5ef1d,confirmatory,linear,primary_extension,equal_client_validation_mse,false,validation_only,extension_no_published_target,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth/linear_scenario_seed101_metadata.json,,eicu_semisynth/fedogda_s/seed_1101/confirmatory_linear_fedogda_confirmatory_01
confirmatory_linear_fedogda_confirmatory_02,eicu_study_a_v1,confirmatory,federated,fedogda_s,FEDOGDA-S,eicu_semisynth,1102,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_demo_stage_a_v1_20260727,,implemented,not_started,false,,lr,FedAvg,ogda,3,3,500,1,3,natural,0.0,data,0.001,preregistered_fixed_no_tuning,0.01,10.0,1.0,1.0,100,60,200,false,0,demo campaign fixed defaults; no tuning performed,linear_scenario_seed102,paper_aligned,uniform_clients,42,42,linear,true,102,1102,confirmatory_02,,5ce8de50327fbb39cf47e1ed988ceae4e32b99ef538455c05ebd3926dd009906,confirmatory,linear,primary_extension,equal_client_validation_mse,false,validation_only,extension_no_published_target,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth/linear_scenario_seed102_metadata.json,,eicu_semisynth/fedogda_s/seed_1102/confirmatory_linear_fedogda_confirmatory_02
confirmatory_linear_fedogda_confirmatory_03,eicu_study_a_v1,confirmatory,federated,fedogda_s,FEDOGDA-S,eicu_semisynth,1103,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_demo_stage_a_v1_20260727,,implemented,not_started,false,,lr,FedAvg,ogda,3,3,500,1,3,natural,0.0,data,0.001,preregistered_fixed_no_tuning,0.01,10.0,1.0,1.0,100,60,200,false,0,demo campaign fixed defaults; no tuning performed,linear_scenario_seed103,paper_aligned,uniform_clients,43,43,linear,true,103,1103,confirmatory_03,,dec869d389c1437e595529a51424336b980e1f53d569eb2ec3a7aac9d0424221,confirmatory,linear,primary_extension,equal_client_validation_mse,false,validation_only,extension_no_published_target,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth/linear_scenario_seed103_metadata.json,,eicu_semisynth/fedogda_s/seed_1103/confirmatory_linear_fedogda_confirmatory_03
confirmatory_linear_fedogda_confirmatory_04,eicu_study_a_v1,confirmatory,federated,fedogda_s,FEDOGDA-S,eicu_semisynth,1104,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_demo_stage_a_v1_20260727,,implemented,not_started,false,,lr,FedAvg,ogda,3,3,500,1,3,natural,0.0,data,0.001,preregistered_fixed_no_tuning,0.01,10.0,1.0,1.0,100,60,200,false,0,demo campaign fixed defaults; no tuning performed,linear_scenario_seed104,paper_aligned,uniform_clients,42,42,linear,true,104,1104,confirmatory_04,,32c7fa6bef80e098cbd8603c14219f5886542191103f7e3f268accfdab314441,confirmatory,linear,primary_extension,equal_client_validation_mse,false,validation_only,extension_no_published_target,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth/linear_scenario_seed104_metadata.json,,eicu_semisynth/fedogda_s/seed_1104/confirmatory_linear_fedogda_confirmatory_04
confirmatory_linear_fedogda_confirmatory_05,eicu_study_a_v1,confirmatory,federated,fedogda_s,FEDOGDA-S,eicu_semisynth,1105,,/home/arnav22103/FederatedDeepGMM/results/eicu_study_a_demo_stage_a_v1_20260727,,implemented,not_started,false,,lr,FedAvg,ogda,3,3,500,1,3,natural,0.0,data,0.001,preregistered_fixed_no_tuning,0.01,10.0,1.0,1.0,100,60,200,false,0,demo campaign fixed defaults; no tuning performed,linear_scenario_seed105,paper_aligned,uniform_clients,43,43,linear,true,105,1105,confirmatory_05,,ddbed4bbef6d0a991a73e16e1ba1ee8f9e673f77b722be5fc23bff09fee34ad2,confirmatory,linear,primary_extension,equal_client_validation_mse,false,validation_only,extension_no_published_target,demo,/home/arnav22103/FederatedDeepGMM/fedgmm/sp_decentralized_mnist_lr_example/data/eicu_semisynth/linear_scenario_seed105_metadata.json,,eicu_semisynth/fedogda_s/seed_1105/confirmatory_linear_fedogda_confirmatory_05
