experiment_id,protocol_version,g0,seed_pair_id,scenario_seed,optimizer_seed,method,role,aggregation_mode,objective_mode,expected_primary_metric
study_a_v1__confirmatory__linear__fedgda_s__confirmatory_01,eicu_study_a_v1,linear,confirmatory_01,101,1101,fedgda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__linear__fedogda_s__confirmatory_01,eicu_study_a_v1,linear,confirmatory_01,101,1101,fedogda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__linear__fedgda_s__confirmatory_02,eicu_study_a_v1,linear,confirmatory_02,102,1102,fedgda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__linear__fedogda_s__confirmatory_02,eicu_study_a_v1,linear,confirmatory_02,102,1102,fedogda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__linear__fedgda_s__confirmatory_03,eicu_study_a_v1,linear,confirmatory_03,103,1103,fedgda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__linear__fedogda_s__confirmatory_03,eicu_study_a_v1,linear,confirmatory_03,103,1103,fedogda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__linear__fedgda_s__confirmatory_04,eicu_study_a_v1,linear,confirmatory_04,104,1104,fedgda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__linear__fedogda_s__confirmatory_04,eicu_study_a_v1,linear,confirmatory_04,104,1104,fedogda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__linear__fedgda_s__confirmatory_05,eicu_study_a_v1,linear,confirmatory_05,105,1105,fedgda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__linear__fedogda_s__confirmatory_05,eicu_study_a_v1,linear,confirmatory_05,105,1105,fedogda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__interaction__fedgda_s__confirmatory_01,eicu_study_a_v1,interaction,confirmatory_01,101,1101,fedgda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__interaction__fedogda_s__confirmatory_01,eicu_study_a_v1,interaction,confirmatory_01,101,1101,fedogda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__interaction__fedgda_s__confirmatory_02,eicu_study_a_v1,interaction,confirmatory_02,102,1102,fedgda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__interaction__fedogda_s__confirmatory_02,eicu_study_a_v1,interaction,confirmatory_02,102,1102,fedogda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__interaction__fedgda_s__confirmatory_03,eicu_study_a_v1,interaction,confirmatory_03,103,1103,fedgda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__interaction__fedogda_s__confirmatory_03,eicu_study_a_v1,interaction,confirmatory_03,103,1103,fedogda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__interaction__fedgda_s__confirmatory_04,eicu_study_a_v1,interaction,confirmatory_04,104,1104,fedgda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__interaction__fedogda_s__confirmatory_04,eicu_study_a_v1,interaction,confirmatory_04,104,1104,fedogda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__interaction__fedgda_s__confirmatory_05,eicu_study_a_v1,interaction,confirmatory_05,105,1105,fedgda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
study_a_v1__confirmatory__interaction__fedogda_s__confirmatory_05,eicu_study_a_v1,interaction,confirmatory_05,105,1105,fedogda_s,confirmatory,uniform_clients,paper_aligned,equal_client_test_mse_at_best_validation
