hospitalid,n_rows,n_unique_patients,n_train,n_dev,n_test,n_regular_hours,n_off_hours,train_z_varies,eligible,exclusion_reasons
56,11,9,8,2,1,6,5,True,True,
58,8,8,6,1,1,2,6,True,True,
59,11,10,8,1,2,5,6,True,True,
60,9,9,6,1,2,2,7,True,True,
61,10,10,7,1,2,3,7,True,True,
63,11,10,8,1,2,6,5,True,True,
66,10,10,7,1,2,3,7,True,True,
67,11,10,8,2,1,2,9,True,True,
68,12,10,8,2,2,4,8,True,True,
69,14,10,9,3,2,4,10,True,True,
71,11,9,8,2,1,3,8,True,True,
73,11,10,8,2,1,4,7,True,True,
79,10,10,7,1,2,9,1,True,True,
83,11,10,8,2,1,5,6,True,True,
92,14,10,10,2,2,7,7,True,True,
93,10,10,7,1,2,1,9,True,True,
95,13,10,9,2,2,5,8,True,True,
108,12,10,8,2,2,6,6,True,True,
110,9,9,6,2,1,3,6,True,True,
112,9,9,6,1,2,4,5,True,True,
115,15,10,10,2,3,7,8,True,True,
120,8,8,6,1,1,5,3,True,True,
122,11,9,8,2,1,4,7,True,True,
123,19,9,13,3,3,7,12,True,True,
125,11,10,8,1,2,6,5,True,True,
131,10,9,7,2,1,0,10,False,False,no_within_hospital_off_hours_variation;no_training_off_hours_variation
133,14,10,10,2,2,5,9,True,True,
138,13,10,9,2,2,8,5,True,True,
140,11,10,8,2,1,4,7,True,True,
141,9,9,6,1,2,3,6,True,True,
142,12,10,8,2,2,5,7,True,True,
143,10,9,7,1,2,6,4,True,True,
144,13,10,9,2,2,9,4,True,True,
146,26,10,18,4,4,9,17,True,True,
148,9,9,6,2,1,4,5,True,True,
152,11,10,8,2,1,3,8,True,True,
154,10,9,7,1,2,3,7,True,True,
155,8,5,6,1,1,4,4,True,True,
157,12,10,8,2,2,5,7,True,True,
158,11,10,8,2,1,2,9,True,True,
164,11,10,8,1,2,1,10,True,True,
165,10,9,7,2,1,3,7,True,True,
167,11,9,8,1,2,3,8,True,True,
171,11,10,8,2,1,4,7,True,True,
174,11,10,8,1,2,4,7,True,True,
175,12,10,8,2,2,5,7,True,True,
176,11,10,8,1,2,4,7,True,True,
179,12,10,8,2,2,8,4,True,True,
180,12,10,8,2,2,4,8,True,True,
181,12,10,8,2,2,4,8,True,True,
182,10,10,7,1,2,5,5,True,True,
183,12,10,8,2,2,8,4,True,True,
184,11,10,8,1,2,2,9,True,True,
188,7,6,5,1,1,1,6,True,True,
194,10,10,7,2,1,4,6,True,True,
195,10,10,7,2,1,3,7,True,True,
196,11,10,8,1,2,5,6,True,True,
197,11,10,8,2,1,6,5,True,True,
198,11,10,8,1,2,7,4,True,True,
199,10,10,7,2,1,4,6,True,True,
200,10,10,7,2,1,4,6,True,True,
201,10,10,7,2,1,3,7,True,True,
202,10,10,7,1,2,2,8,True,True,
203,10,10,7,2,1,2,8,True,True,
204,10,10,7,2,1,6,4,True,True,
205,10,10,7,1,2,6,4,True,True,
206,10,10,7,2,1,3,7,True,True,
207,10,10,7,1,2,8,2,True,True,
208,11,10,8,2,1,7,4,True,True,
209,11,10,8,2,1,8,3,True,True,
210,12,10,8,2,2,5,7,True,True,
215,14,10,10,2,2,8,6,True,True,
217,10,10,7,2,1,6,4,True,True,
220,11,10,8,1,2,8,3,True,True,
224,17,10,12,3,2,9,8,True,True,
226,9,9,6,2,1,4,5,True,True,
227,11,10,8,2,1,5,6,True,True,
243,19,9,13,3,3,5,14,True,True,
244,13,10,9,2,2,6,7,True,True,
245,15,10,10,3,2,5,10,True,True,
246,10,10,7,2,1,4,6,True,True,
248,12,10,8,2,2,10,2,True,True,
249,13,10,9,2,2,9,4,True,True,
250,13,10,9,2,2,7,6,True,True,
251,10,10,7,2,1,6,4,True,True,
252,12,10,8,2,2,6,6,True,True,
253,10,10,7,2,1,5,5,True,True,
254,10,10,7,1,2,4,6,True,True,
256,12,10,8,2,2,7,5,True,True,
258,12,10,8,2,2,3,9,True,True,
259,10,10,7,1,2,5,5,True,True,
262,10,10,7,2,1,1,9,True,True,
263,10,9,7,2,1,1,9,True,True,
264,10,9,7,1,2,5,5,True,True,
266,10,10,7,2,1,4,6,True,True,
267,14,10,10,2,2,8,6,True,True,
268,10,10,7,2,1,4,6,True,True,
269,11,10,8,2,1,8,3,True,True,
271,16,10,11,2,3,6,10,True,True,
272,12,10,8,2,2,7,5,True,True,
273,11,10,8,1,2,1,10,True,True,
275,11,10,8,1,2,8,3,True,True,
277,13,10,9,2,2,5,8,True,True,
279,10,10,7,2,1,6,4,True,True,
280,11,10,8,1,2,6,5,True,True,
281,11,10,8,2,1,6,5,True,True,
282,12,10,8,2,2,4,8,True,True,
283,15,10,11,2,2,4,11,True,True,
300,5,5,3,1,1,3,2,True,False,fewer_than_min_client_rows
301,12,10,8,2,2,6,6,True,True,
303,11,10,8,1,2,6,5,True,True,
307,8,8,6,1,1,3,5,True,True,
310,3,3,1,1,1,3,0,False,False,fewer_than_min_client_rows;no_within_hospital_off_hours_variation;no_training_off_hours_variation
312,15,10,11,2,2,7,8,True,True,
318,10,10,7,2,1,10,0,False,False,no_within_hospital_off_hours_variation;no_training_off_hours_variation
328,17,10,11,3,3,7,10,True,True,
331,6,4,4,1,1,4,2,True,False,fewer_than_min_client_rows
336,5,5,3,1,1,2,3,True,False,fewer_than_min_client_rows
337,10,10,7,1,2,3,7,True,True,
338,8,7,6,1,1,2,6,True,True,
342,11,10,8,1,2,2,9,True,True,
345,3,3,2,1,0,2,1,True,False,fewer_than_min_client_rows;missing_train_dev_or_test
350,10,10,7,1,2,4,6,True,True,
