hospitalid,n_patients,n_treated,n_untreated,n_deaths,treatment_rate,mortality_rate,n_wards,n_eligible_wards,max_ward_size,ward_treatment_rate_sd,region,teachingstatus,numbedscategory,ward_eligible,contributes_to_group
79,2,0,2,0,0.0,0.0,1,0,2,0.0,Midwest,f,>= 500,False,False
83,3,0,3,0,0.0,0.0,1,0,3,0.0,,f,,False,False
92,5,1,4,1,0.2,0.2,1,0,5,0.0,Midwest,f,250 - 499,False,True
93,4,0,4,1,0.0,0.25,1,0,4,0.0,Midwest,f,,False,False
95,4,1,3,0,0.25,0.0,1,0,4,0.0,Midwest,f,100 - 249,False,True
140,4,1,3,1,0.25,0.25,1,0,4,0.0,South,t,100 - 249,False,True
141,3,0,3,0,0.0,0.0,2,0,2,0.0,South,f,250 - 499,False,False
142,1,1,0,0,1.0,0.0,1,0,1,0.0,South,f,>= 500,False,False
143,1,0,1,1,0.0,1.0,1,0,1,0.0,,f,250 - 499,False,False
144,2,1,1,0,0.5,0.0,1,0,2,0.0,South,f,100 - 249,False,True
146,1,0,1,0,0.0,0.0,1,0,1,0.0,West,f,250 - 499,False,False
148,1,0,1,0,0.0,0.0,1,0,1,0.0,West,f,250 - 499,False,False
154,4,0,4,1,0.0,0.25,1,0,4,0.0,West,f,250 - 499,False,False
155,1,0,1,0,0.0,0.0,1,0,1,0.0,West,f,100 - 249,False,False
157,1,1,0,0,1.0,0.0,1,0,1,0.0,West,f,250 - 499,False,False
164,1,1,0,1,1.0,1.0,1,0,1,0.0,West,f,<100,False,False
167,1,0,1,0,0.0,0.0,1,0,1,0.0,West,t,>= 500,False,False
171,3,0,3,1,0.0,0.3333333333333333,2,0,2,0.0,West,f,100 - 249,False,False
176,3,0,3,0,0.0,0.0,1,0,3,0.0,,f,,False,False
180,1,0,1,0,0.0,0.0,1,0,1,0.0,South,f,100 - 249,False,False
181,1,0,1,1,0.0,1.0,1,0,1,0.0,South,f,,False,False
184,4,2,2,2,0.5,0.5,2,0,3,0.3333333333333333,South,f,250 - 499,False,True
194,1,0,1,0,0.0,0.0,1,0,1,0.0,South,f,100 - 249,False,False
200,3,0,3,1,0.0,0.3333333333333333,1,0,3,0.0,Northeast,f,100 - 249,False,False
202,3,1,2,0,0.3333333333333333,0.0,1,0,3,0.0,Northeast,f,100 - 249,False,True
