client_group,n_patients,n_hospitals,n_treated,n_untreated,n_deaths,treatment_rate,mortality_rate,hospital_treatment_rate_sd,eligible
Midwest | f | 100 - 249,29,12,5,24,4,0.1724137931034483,0.13793103448275862,0.3010110278526169,False
Midwest | f | 250 - 499,13,4,1,12,1,0.07692307692307693,0.07692307692307693,0.08660254037844388,False
Midwest | f | <100,7,4,0,7,1,0.0,0.14285714285714285,0.0,False
Midwest | f | >= 500,3,2,0,3,0,0.0,0.0,0.0,False
Midwest | f | NA,9,5,0,9,2,0.0,0.2222222222222222,0.0,False
Midwest | t | >= 500,5,3,1,4,0,0.2,0.0,0.23570226039551584,False
NA | f | 250 - 499,2,2,0,2,1,0.0,0.5,0.0,False
NA | f | NA,17,8,1,16,4,0.058823529411764705,0.23529411764705882,0.1102396379610246,False
Northeast | f | 100 - 249,6,2,1,5,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,False
Northeast | f | 250 - 499,4,2,3,1,1,0.75,0.25,0.25,False
Northeast | f | <100,2,1,1,1,0,0.5,0.0,0.0,False
Northeast | t | >= 500,3,1,0,3,0,0.0,0.0,0.0,False
South | f | 100 - 249,14,9,2,12,0,0.14285714285714285,0.0,0.20786985482077452,False
South | f | 250 - 499,13,6,4,9,5,0.3076923076923077,0.38461538461538464,0.372677996249965,False
South | f | >= 500,5,3,3,2,0,0.6,0.0,0.41573970964154905,False
South | f | NA,2,2,0,2,1,0.0,0.5,0.0,False
South | t | 100 - 249,4,1,1,3,1,0.25,0.25,0.0,False
West | f | 100 - 249,21,7,3,18,3,0.14285714285714285,0.14285714285714285,0.17340134720031547,False
West | f | 250 - 499,16,7,2,14,6,0.125,0.375,0.45175395145262565,False
West | f | <100,25,7,4,21,2,0.16,0.08,0.43892261416392053,False
West | t | >= 500,1,1,0,1,0,0.0,0.0,0.0,False
