run_id,dataset,method,seed,alpha,learning_rate,weight_decay,critic_multiplier,best_validation_mse,best_validation_round,final_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,diverged,result_dir,test_mse_at_best_validation
tune_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05,cifar10_x,fedgda_s,0,0.1,0.01,0.05,10.0,0.1574848095796844,13,2.3906142303435938,1.1363515874781167,2.2331294207639094,False,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_x/fedgda_s/seed_0/tune_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05,0.15879555089566746
tune_cifar10_x_fedogda_s_seed0_alpha0p1_lr0p003_wd0p05,cifar10_x,fedogda_s,0,0.1,0.003,0.05,10.0,0.1463301680979313,32,0.8828830244902203,0.453509587499446,0.736552856392289,False,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_x/fedogda_s/seed_0/tune_cifar10_x_fedogda_s_seed0_alpha0p1_lr0p003_wd0p05,0.14617128631092657
tune_cifar10_xz_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05,cifar10_xz,fedgda_s,0,0.1,0.01,0.05,10.0,0.18756043199167652,10,0.5638403233859388,0.22094143908262998,0.3762798913942623,False,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_xz/fedgda_s/seed_0/tune_cifar10_xz_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05,0.1962839803661886
tune_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p01_wd0p05,cifar10_xz,fedogda_s,0,0.1,0.01,0.05,10.0,0.16515221833085328,26,0.7307775470172615,3.199977997802822,0.5656253286864082,False,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_xz/fedogda_s/seed_0/tune_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p01_wd0p05,0.16817017549267543
tune_cifar10_z_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05,cifar10_z,fedgda_s,0,0.1,0.01,0.05,10.0,0.21009690885044055,145,0.214318352599658,0.07547142956877907,0.004221443749217457,False,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_z/fedgda_s/seed_0/tune_cifar10_z_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05,0.21345159347973813
tune_cifar10_z_fedogda_s_seed0_alpha0p1_lr0p003_wd0p05,cifar10_z,fedogda_s,0,0.1,0.003,0.05,10.0,0.23534797664045004,17,0.3077616247083463,0.028519741132254715,0.07241364806789624,False,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_z/fedogda_s/seed_0/tune_cifar10_z_fedogda_s_seed0_alpha0p1_lr0p003_wd0p05,0.23528411363612275
tune_femnist_x_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05,femnist_x,fedgda_s,0,0.1,0.01,0.05,10.0,0.12069404719334718,14,0.7195756184357549,0.19187559808453508,0.5988815712424077,False,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/femnist_x/fedgda_s/seed_0/tune_femnist_x_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05,0.11981505578036769
tune_femnist_x_fedogda_s_seed0_alpha0p1_lr0p003_wd0p05,femnist_x,fedogda_s,0,0.1,0.003,0.05,10.0,0.1568585893077686,24,0.8902474599274343,0.40434530438172805,0.7333888706196656,False,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/femnist_x/fedogda_s/seed_0/tune_femnist_x_fedogda_s_seed0_alpha0p1_lr0p003_wd0p05,0.15810725220762803
tune_femnist_xz_fedgda_s_seed0_alpha0p1_lr0p003_wd0p05,femnist_xz,fedgda_s,0,0.1,0.003,0.05,10.0,0.14462530756823044,113,0.228496118519216,0.06156732556236477,0.08387081095098556,False,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/femnist_xz/fedgda_s/seed_0/tune_femnist_xz_fedgda_s_seed0_alpha0p1_lr0p003_wd0p05,0.14796876012073848
tune_femnist_xz_fedogda_s_seed0_alpha0p1_lr0p003_wd0p05,femnist_xz,fedogda_s,0,0.1,0.003,0.05,10.0,0.14798505535321535,65,0.23894461348820267,0.6285549374621499,0.09095955813498732,False,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/femnist_xz/fedogda_s/seed_0/tune_femnist_xz_fedogda_s_seed0_alpha0p1_lr0p003_wd0p05,0.14972524526556874
tune_femnist_z_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05,femnist_z,fedgda_s,0,0.1,0.01,0.05,10.0,0.15933122764137497,148,0.26576266271017146,0.054180518184897664,0.10643143506879649,False,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/femnist_z/fedgda_s/seed_0/tune_femnist_z_fedgda_s_seed0_alpha0p1_lr0p01_wd0p05,0.15871008715114238
tune_femnist_z_fedogda_s_seed0_alpha0p1_lr0p01_wd0p05,femnist_z,fedogda_s,0,0.1,0.01,0.05,10.0,0.185598511415466,143,0.3799013867384846,0.25742944004053325,0.19430287532301863,False,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/femnist_z/fedogda_s/seed_0/tune_femnist_z_fedogda_s_seed0_alpha0p1_lr0p01_wd0p05,0.186854453607916
