run_id,protocol_version,run_group,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,using_gpu,gpu_id,notes
tune_cifar10_x_fedgda_d_seed0_alpha0p1_lr0p001_wd0p001,highdim_coauthor_protocol_v1_alpha0p1_tuning,real_images_abs_alpha0p1_validation_tuning,federated,fedgda_d,FedGDA-D,cifar10_x,0,0.1,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_x/fedgda_d/seed_0/tune_cifar10_x_fedgda_d_seed0_alpha0p1_lr0p001_wd0p001,ready,not_started,True,passed,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.1,data,0.001,validation_tuning_candidate,0.001,10.0,1.5,1.0,100,60,200,True,,Fixed-abs high-dimensional validation tuning; learning-rate-only selection on seed 0; Test MSE is excluded from selection. Weight decay is a fixed compatibility field and is not connected to the federated G/F optimizers.
tune_cifar10_x_fedgda_d_seed0_alpha0p1_lr0p003_wd0p001,highdim_coauthor_protocol_v1_alpha0p1_tuning,real_images_abs_alpha0p1_validation_tuning,federated,fedgda_d,FedGDA-D,cifar10_x,0,0.1,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_x/fedgda_d/seed_0/tune_cifar10_x_fedgda_d_seed0_alpha0p1_lr0p003_wd0p001,ready,not_started,True,passed,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.1,data,0.003,validation_tuning_candidate,0.001,10.0,1.5,1.0,100,60,200,True,,Fixed-abs high-dimensional validation tuning; learning-rate-only selection on seed 0; Test MSE is excluded from selection. Weight decay is a fixed compatibility field and is not connected to the federated G/F optimizers.
tune_cifar10_x_fedogda_d_seed0_alpha0p1_lr0p001_wd0p001,highdim_coauthor_protocol_v1_alpha0p1_tuning,real_images_abs_alpha0p1_validation_tuning,federated,fedogda_d,FedOGDA-D,cifar10_x,0,0.1,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_x/fedogda_d/seed_0/tune_cifar10_x_fedogda_d_seed0_alpha0p1_lr0p001_wd0p001,ready,not_started,True,passed,lr,FedAvg,ogda,1000,1000,150,3,0,hetero,0.1,data,0.001,validation_tuning_candidate,0.001,10.0,1.5,1.0,100,60,200,True,,Fixed-abs high-dimensional validation tuning; learning-rate-only selection on seed 0; Test MSE is excluded from selection. Weight decay is a fixed compatibility field and is not connected to the federated G/F optimizers.
tune_cifar10_x_fedogda_d_seed0_alpha0p1_lr0p003_wd0p001,highdim_coauthor_protocol_v1_alpha0p1_tuning,real_images_abs_alpha0p1_validation_tuning,federated,fedogda_d,FedOGDA-D,cifar10_x,0,0.1,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_x/fedogda_d/seed_0/tune_cifar10_x_fedogda_d_seed0_alpha0p1_lr0p003_wd0p001,ready,not_started,True,passed,lr,FedAvg,ogda,1000,1000,150,3,0,hetero,0.1,data,0.003,validation_tuning_candidate,0.001,10.0,1.5,1.0,100,60,200,True,,Fixed-abs high-dimensional validation tuning; learning-rate-only selection on seed 0; Test MSE is excluded from selection. Weight decay is a fixed compatibility field and is not connected to the federated G/F optimizers.
tune_cifar10_xz_fedgda_d_seed0_alpha0p1_lr0p001_wd0p001,highdim_coauthor_protocol_v1_alpha0p1_tuning,real_images_abs_alpha0p1_validation_tuning,federated,fedgda_d,FedGDA-D,cifar10_xz,0,0.1,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_xz/fedgda_d/seed_0/tune_cifar10_xz_fedgda_d_seed0_alpha0p1_lr0p001_wd0p001,ready,not_started,True,passed,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.1,data,0.001,validation_tuning_candidate,0.001,10.0,1.5,1.0,100,60,200,True,,Fixed-abs high-dimensional validation tuning; learning-rate-only selection on seed 0; Test MSE is excluded from selection. Weight decay is a fixed compatibility field and is not connected to the federated G/F optimizers.
tune_cifar10_xz_fedgda_d_seed0_alpha0p1_lr0p003_wd0p001,highdim_coauthor_protocol_v1_alpha0p1_tuning,real_images_abs_alpha0p1_validation_tuning,federated,fedgda_d,FedGDA-D,cifar10_xz,0,0.1,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_xz/fedgda_d/seed_0/tune_cifar10_xz_fedgda_d_seed0_alpha0p1_lr0p003_wd0p001,ready,not_started,True,passed,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.1,data,0.003,validation_tuning_candidate,0.001,10.0,1.5,1.0,100,60,200,True,,Fixed-abs high-dimensional validation tuning; learning-rate-only selection on seed 0; Test MSE is excluded from selection. Weight decay is a fixed compatibility field and is not connected to the federated G/F optimizers.
tune_cifar10_xz_fedogda_d_seed0_alpha0p1_lr0p001_wd0p001,highdim_coauthor_protocol_v1_alpha0p1_tuning,real_images_abs_alpha0p1_validation_tuning,federated,fedogda_d,FedOGDA-D,cifar10_xz,0,0.1,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_xz/fedogda_d/seed_0/tune_cifar10_xz_fedogda_d_seed0_alpha0p1_lr0p001_wd0p001,ready,not_started,True,passed,lr,FedAvg,ogda,1000,1000,150,3,0,hetero,0.1,data,0.001,validation_tuning_candidate,0.001,10.0,1.5,1.0,100,60,200,True,,Fixed-abs high-dimensional validation tuning; learning-rate-only selection on seed 0; Test MSE is excluded from selection. Weight decay is a fixed compatibility field and is not connected to the federated G/F optimizers.
tune_cifar10_xz_fedogda_d_seed0_alpha0p1_lr0p003_wd0p001,highdim_coauthor_protocol_v1_alpha0p1_tuning,real_images_abs_alpha0p1_validation_tuning,federated,fedogda_d,FedOGDA-D,cifar10_xz,0,0.1,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_xz/fedogda_d/seed_0/tune_cifar10_xz_fedogda_d_seed0_alpha0p1_lr0p003_wd0p001,ready,not_started,True,passed,lr,FedAvg,ogda,1000,1000,150,3,0,hetero,0.1,data,0.003,validation_tuning_candidate,0.001,10.0,1.5,1.0,100,60,200,True,,Fixed-abs high-dimensional validation tuning; learning-rate-only selection on seed 0; Test MSE is excluded from selection. Weight decay is a fixed compatibility field and is not connected to the federated G/F optimizers.
tune_cifar10_z_fedgda_d_seed0_alpha0p1_lr0p001_wd0p001,highdim_coauthor_protocol_v1_alpha0p1_tuning,real_images_abs_alpha0p1_validation_tuning,federated,fedgda_d,FedGDA-D,cifar10_z,0,0.1,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_z/fedgda_d/seed_0/tune_cifar10_z_fedgda_d_seed0_alpha0p1_lr0p001_wd0p001,ready,not_started,True,passed,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.1,data,0.001,validation_tuning_candidate,0.001,10.0,1.5,1.0,100,60,200,True,,Fixed-abs high-dimensional validation tuning; learning-rate-only selection on seed 0; Test MSE is excluded from selection. Weight decay is a fixed compatibility field and is not connected to the federated G/F optimizers.
tune_cifar10_z_fedgda_d_seed0_alpha0p1_lr0p003_wd0p001,highdim_coauthor_protocol_v1_alpha0p1_tuning,real_images_abs_alpha0p1_validation_tuning,federated,fedgda_d,FedGDA-D,cifar10_z,0,0.1,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_z/fedgda_d/seed_0/tune_cifar10_z_fedgda_d_seed0_alpha0p1_lr0p003_wd0p001,ready,not_started,True,passed,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.1,data,0.003,validation_tuning_candidate,0.001,10.0,1.5,1.0,100,60,200,True,,Fixed-abs high-dimensional validation tuning; learning-rate-only selection on seed 0; Test MSE is excluded from selection. Weight decay is a fixed compatibility field and is not connected to the federated G/F optimizers.
tune_cifar10_z_fedogda_d_seed0_alpha0p1_lr0p001_wd0p001,highdim_coauthor_protocol_v1_alpha0p1_tuning,real_images_abs_alpha0p1_validation_tuning,federated,fedogda_d,FedOGDA-D,cifar10_z,0,0.1,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_z/fedogda_d/seed_0/tune_cifar10_z_fedogda_d_seed0_alpha0p1_lr0p001_wd0p001,ready,not_started,True,passed,lr,FedAvg,ogda,1000,1000,150,3,0,hetero,0.1,data,0.001,validation_tuning_candidate,0.001,10.0,1.5,1.0,100,60,200,True,,Fixed-abs high-dimensional validation tuning; learning-rate-only selection on seed 0; Test MSE is excluded from selection. Weight decay is a fixed compatibility field and is not connected to the federated G/F optimizers.
tune_cifar10_z_fedogda_d_seed0_alpha0p1_lr0p003_wd0p001,highdim_coauthor_protocol_v1_alpha0p1_tuning,real_images_abs_alpha0p1_validation_tuning,federated,fedogda_d,FedOGDA-D,cifar10_z,0,0.1,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning,results/rerun_protocol_v1_real_images_abs_alpha0p1_tuning/cifar10_z/fedogda_d/seed_0/tune_cifar10_z_fedogda_d_seed0_alpha0p1_lr0p003_wd0p001,ready,not_started,True,passed,lr,FedAvg,ogda,1000,1000,150,3,0,hetero,0.1,data,0.003,validation_tuning_candidate,0.001,10.0,1.5,1.0,100,60,200,True,,Fixed-abs high-dimensional validation tuning; learning-rate-only selection on seed 0; Test MSE is excluded from selection. Weight decay is a fixed compatibility field and is not connected to the federated G/F optimizers.
