run_id,dataset,method,seed,alpha,learning_rate,weight_decay,critic_multiplier,best_validation_mse,best_validation_round,final_validation_mse,last_50_val_mse_std,final_vs_best_validation_gap,diverged,result_dir,test_mse_at_best_validation
tune_cifar10_x_fedgda_s_seed0_alpha1_lr0p01_wd0p05,cifar10_x,fedgda_s,0,1.0,0.01,0.05,10.0,0.14862892587436377,11,2.092475771089483,0.38265134081724195,1.943846845215119,False,results/rerun_protocol_v1_real_images_abs_alpha1_tuning/cifar10_x/fedgda_s/seed_0/tune_cifar10_x_fedgda_s_seed0_alpha1_lr0p01_wd0p05,0.14916229510146842
tune_cifar10_x_fedogda_s_seed0_alpha1_lr0p003_wd0p05,cifar10_x,fedogda_s,0,1.0,0.003,0.05,10.0,0.15501806137886662,33,0.4467985545058229,0.10591267507421599,0.2917804931269563,False,results/rerun_protocol_v1_real_images_abs_alpha1_tuning/cifar10_x/fedogda_s/seed_0/tune_cifar10_x_fedogda_s_seed0_alpha1_lr0p003_wd0p05,0.15510351310079767
tune_cifar10_xz_fedgda_s_seed0_alpha1_lr0p01_wd0p05,cifar10_xz,fedgda_s,0,1.0,0.01,0.05,10.0,0.2018371706165433,9,0.3774568362829134,0.10775542664456739,0.17561966566637008,False,results/rerun_protocol_v1_real_images_abs_alpha1_tuning/cifar10_xz/fedgda_s/seed_0/tune_cifar10_xz_fedgda_s_seed0_alpha1_lr0p01_wd0p05,0.20767078364902555
tune_cifar10_xz_fedogda_s_seed0_alpha1_lr0p01_wd0p05,cifar10_xz,fedogda_s,0,1.0,0.01,0.05,10.0,0.1750329917291134,24,0.3362018027067988,0.656099172031002,0.16116881097768537,False,results/rerun_protocol_v1_real_images_abs_alpha1_tuning/cifar10_xz/fedogda_s/seed_0/tune_cifar10_xz_fedogda_s_seed0_alpha1_lr0p01_wd0p05,0.1755991347155598
tune_cifar10_z_fedgda_s_seed0_alpha1_lr0p01_wd0p05,cifar10_z,fedgda_s,0,1.0,0.01,0.05,10.0,0.22952003712559543,146,0.24036646410570478,0.036295640536328465,0.010846426980109347,False,results/rerun_protocol_v1_real_images_abs_alpha1_tuning/cifar10_z/fedgda_s/seed_0/tune_cifar10_z_fedgda_s_seed0_alpha1_lr0p01_wd0p05,0.23367503364867812
tune_cifar10_z_fedogda_s_seed0_alpha1_lr0p003_wd0p05,cifar10_z,fedogda_s,0,1.0,0.003,0.05,10.0,0.23483236633236484,27,0.25149847176216567,0.0047107804931874045,0.01666610542980082,False,results/rerun_protocol_v1_real_images_abs_alpha1_tuning/cifar10_z/fedogda_s/seed_0/tune_cifar10_z_fedogda_s_seed0_alpha1_lr0p003_wd0p05,0.23456297947758836
tune_femnist_x_fedgda_s_seed0_alpha1_lr0p01_wd0p05,femnist_x,fedgda_s,0,1.0,0.01,0.05,10.0,0.13387416220264095,14,0.7028631911497256,0.5776420190059032,0.5689890289470847,False,results/rerun_protocol_v1_real_images_abs_alpha1_tuning/femnist_x/fedgda_s/seed_0/tune_femnist_x_fedgda_s_seed0_alpha1_lr0p01_wd0p05,0.1331755885814074
tune_femnist_x_fedogda_s_seed0_alpha1_lr0p01_wd0p05,femnist_x,fedogda_s,0,1.0,0.01,0.05,10.0,0.1414789450707773,24,1.6984047441659338,2.476366576816784,1.5569257990951564,False,results/rerun_protocol_v1_real_images_abs_alpha1_tuning/femnist_x/fedogda_s/seed_0/tune_femnist_x_fedogda_s_seed0_alpha1_lr0p01_wd0p05,0.14197916682798506
tune_femnist_xz_fedgda_s_seed0_alpha1_lr0p003_wd0p05,femnist_xz,fedgda_s,0,1.0,0.003,0.05,10.0,0.13350943760094247,108,0.22317975933192066,0.04271368342781815,0.08967032173097819,False,results/rerun_protocol_v1_real_images_abs_alpha1_tuning/femnist_xz/fedgda_s/seed_0/tune_femnist_xz_fedgda_s_seed0_alpha1_lr0p003_wd0p05,0.13779985461139746
tune_femnist_xz_fedogda_s_seed0_alpha1_lr0p003_wd0p05,femnist_xz,fedogda_s,0,1.0,0.003,0.05,10.0,0.1414546137281582,109,0.32840487198186413,0.5640637707010686,0.18695025825370593,False,results/rerun_protocol_v1_real_images_abs_alpha1_tuning/femnist_xz/fedogda_s/seed_0/tune_femnist_xz_fedogda_s_seed0_alpha1_lr0p003_wd0p05,0.1435812140336127
tune_femnist_z_fedgda_s_seed0_alpha1_lr0p01_wd0p05,femnist_z,fedgda_s,0,1.0,0.01,0.05,10.0,0.1592236637344646,147,0.164443038207526,0.02460562441454793,0.005219374473061422,False,results/rerun_protocol_v1_real_images_abs_alpha1_tuning/femnist_z/fedgda_s/seed_0/tune_femnist_z_fedgda_s_seed0_alpha1_lr0p01_wd0p05,0.15813057904003464
tune_femnist_z_fedogda_s_seed0_alpha1_lr0p01_wd0p05,femnist_z,fedogda_s,0,1.0,0.01,0.05,10.0,0.1684428816798483,145,0.20458419255522653,0.04902118944654266,0.036141310875378224,False,results/rerun_protocol_v1_real_images_abs_alpha1_tuning/femnist_z/fedogda_s/seed_0/tune_femnist_z_fedogda_s_seed0_alpha1_lr0p01_wd0p05,0.16870838060680704
