run_id,protocol_version,run_group,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,using_gpu,gpu_id,notes,auxiliary_regression,auxiliary_regression_epochs,objective_lambda_1,append_round_csv,periodic_checkpoint_interval,log_test_mse_by_round,test_mse_used_for_selection,selection_metric_source,objective_mode,aggregation_weighting
det_final_femnist_z_fedgda_d_seed0_alpha0p1_lr0p03_cm1,highdim_deterministic_finals_v1,highdim_deterministic_finals_20260813,federated,fedgda_d,FedGDA-D,femnist_z,0,0.1,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813/femnist_z/fedgda_d/seed_0/det_final_femnist_z_fedgda_d_seed0_alpha0p1_lr0p03_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,10,10,500,3,0,hetero,0.1,data,0.03,frozen_final,0.001,1,1.5,1.0,100,60,200,True,,"Frozen final-evaluation run. Config selected by validation MSE during deterministic_screen_20260813 (screen val_mse=0.043800); test MSE for THIS run is read only after that selection, never used to pick lr/critic_multiplier.",False,0,0.1,True,0,False,False,validation,legacy,sample_size
det_final_femnist_z_fedgda_d_seed1_alpha0p1_lr0p03_cm1,highdim_deterministic_finals_v1,highdim_deterministic_finals_20260813,federated,fedgda_d,FedGDA-D,femnist_z,1,0.1,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813/femnist_z/fedgda_d/seed_1/det_final_femnist_z_fedgda_d_seed1_alpha0p1_lr0p03_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,10,10,500,3,0,hetero,0.1,data,0.03,frozen_final,0.001,1,1.5,1.0,100,60,200,True,,"Frozen final-evaluation run. Config selected by validation MSE during deterministic_screen_20260813 (screen val_mse=0.043800); test MSE for THIS run is read only after that selection, never used to pick lr/critic_multiplier.",False,0,0.1,True,0,False,False,validation,legacy,sample_size
det_final_femnist_z_fedgda_d_seed2_alpha0p1_lr0p03_cm1,highdim_deterministic_finals_v1,highdim_deterministic_finals_20260813,federated,fedgda_d,FedGDA-D,femnist_z,2,0.1,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813/femnist_z/fedgda_d/seed_2/det_final_femnist_z_fedgda_d_seed2_alpha0p1_lr0p03_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,10,10,500,3,0,hetero,0.1,data,0.03,frozen_final,0.001,1,1.5,1.0,100,60,200,True,,"Frozen final-evaluation run. Config selected by validation MSE during deterministic_screen_20260813 (screen val_mse=0.043800); test MSE for THIS run is read only after that selection, never used to pick lr/critic_multiplier.",False,0,0.1,True,0,False,False,validation,legacy,sample_size
det_final_femnist_z_fedgda_d_seed0_alpha0p5_lr0p03_cm1,highdim_deterministic_finals_v1,highdim_deterministic_finals_20260813,federated,fedgda_d,FedGDA-D,femnist_z,0,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813/femnist_z/fedgda_d/seed_0/det_final_femnist_z_fedgda_d_seed0_alpha0p5_lr0p03_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,10,10,500,3,0,hetero,0.5,data,0.03,frozen_final,0.001,1,1.5,1.0,100,60,200,True,,"Frozen final-evaluation run. Config selected by validation MSE during deterministic_screen_20260813 (screen val_mse=0.043800); test MSE for THIS run is read only after that selection, never used to pick lr/critic_multiplier.",False,0,0.1,True,0,False,False,validation,legacy,sample_size
det_final_femnist_z_fedgda_d_seed1_alpha0p5_lr0p03_cm1,highdim_deterministic_finals_v1,highdim_deterministic_finals_20260813,federated,fedgda_d,FedGDA-D,femnist_z,1,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813/femnist_z/fedgda_d/seed_1/det_final_femnist_z_fedgda_d_seed1_alpha0p5_lr0p03_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,10,10,500,3,0,hetero,0.5,data,0.03,frozen_final,0.001,1,1.5,1.0,100,60,200,True,,"Frozen final-evaluation run. Config selected by validation MSE during deterministic_screen_20260813 (screen val_mse=0.043800); test MSE for THIS run is read only after that selection, never used to pick lr/critic_multiplier.",False,0,0.1,True,0,False,False,validation,legacy,sample_size
det_final_femnist_z_fedgda_d_seed2_alpha0p5_lr0p03_cm1,highdim_deterministic_finals_v1,highdim_deterministic_finals_20260813,federated,fedgda_d,FedGDA-D,femnist_z,2,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813/femnist_z/fedgda_d/seed_2/det_final_femnist_z_fedgda_d_seed2_alpha0p5_lr0p03_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,10,10,500,3,0,hetero,0.5,data,0.03,frozen_final,0.001,1,1.5,1.0,100,60,200,True,,"Frozen final-evaluation run. Config selected by validation MSE during deterministic_screen_20260813 (screen val_mse=0.043800); test MSE for THIS run is read only after that selection, never used to pick lr/critic_multiplier.",False,0,0.1,True,0,False,False,validation,legacy,sample_size
det_final_femnist_z_fedgda_d_seed0_alpha1_lr0p03_cm1,highdim_deterministic_finals_v1,highdim_deterministic_finals_20260813,federated,fedgda_d,FedGDA-D,femnist_z,0,1,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813/femnist_z/fedgda_d/seed_0/det_final_femnist_z_fedgda_d_seed0_alpha1_lr0p03_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,10,10,500,3,0,hetero,1,data,0.03,frozen_final,0.001,1,1.5,1.0,100,60,200,True,,"Frozen final-evaluation run. Config selected by validation MSE during deterministic_screen_20260813 (screen val_mse=0.043800); test MSE for THIS run is read only after that selection, never used to pick lr/critic_multiplier.",False,0,0.1,True,0,False,False,validation,legacy,sample_size
det_final_femnist_z_fedgda_d_seed1_alpha1_lr0p03_cm1,highdim_deterministic_finals_v1,highdim_deterministic_finals_20260813,federated,fedgda_d,FedGDA-D,femnist_z,1,1,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813/femnist_z/fedgda_d/seed_1/det_final_femnist_z_fedgda_d_seed1_alpha1_lr0p03_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,10,10,500,3,0,hetero,1,data,0.03,frozen_final,0.001,1,1.5,1.0,100,60,200,True,,"Frozen final-evaluation run. Config selected by validation MSE during deterministic_screen_20260813 (screen val_mse=0.043800); test MSE for THIS run is read only after that selection, never used to pick lr/critic_multiplier.",False,0,0.1,True,0,False,False,validation,legacy,sample_size
det_final_femnist_z_fedgda_d_seed2_alpha1_lr0p03_cm1,highdim_deterministic_finals_v1,highdim_deterministic_finals_20260813,federated,fedgda_d,FedGDA-D,femnist_z,2,1,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813/femnist_z/fedgda_d/seed_2/det_final_femnist_z_fedgda_d_seed2_alpha1_lr0p03_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,10,10,500,3,0,hetero,1,data,0.03,frozen_final,0.001,1,1.5,1.0,100,60,200,True,,"Frozen final-evaluation run. Config selected by validation MSE during deterministic_screen_20260813 (screen val_mse=0.043800); test MSE for THIS run is read only after that selection, never used to pick lr/critic_multiplier.",False,0,0.1,True,0,False,False,validation,legacy,sample_size
det_final_femnist_z_fedogda_d_seed0_alpha0p1_lr0p01_cm1,highdim_deterministic_finals_v1,highdim_deterministic_finals_20260813,federated,fedogda_d,FedOGDA-D,femnist_z,0,0.1,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_finals_20260813/femnist_z/fedogda_d/seed_0/det_final_femnist_z_fedogda_d_seed0_alpha0p1_lr0p01_cm1,ready,not_started,False,not_required,lr,FedAvg,ogda,10,10,500,3,0,hetero,0.1,data,0.01,frozen_final,0.001,1,1.5,1.0,100,60,200,True,,"Frozen final-evaluation run. Config selected by validation MSE during deterministic_screen_20260813 (screen val_mse=0.165541); test MSE for THIS run is read only after that selection, never used to pick lr/critic_multiplier.",False,0,0.1,True,0,False,False,validation,legacy,sample_size
