run_id,protocol_version,run_group,training_scope,method,method_label,dataset,seed,alpha,output_root,final_result_dir,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate,learning_rate_status,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,using_gpu,gpu_id,notes,auxiliary_regression,auxiliary_regression_epochs,append_round_csv,periodic_checkpoint_interval,log_test_mse_by_round,test_mse_used_for_selection,selection_metric_source,objective_mode,aggregation_weighting
det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p001_cm1,highdim_deterministic_learning_gate_v1,highdim_deterministic_learning_gate_20260802,federated,fedgda_d,FedGDA-D,femnist_z,0,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate/femnist_z/fedgda_d/seed_0/det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p001_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.5,data,0.001,validation_learning_gate_candidate,0.001,1,1.5,1.0,100,60,200,True,,Non-production deterministic learning-gate candidate. Select by validation MSE only; do not use Test MSE for hyperparameter selection.,False,0,True,0,False,False,validation,legacy,sample_size
det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p001_cm3,highdim_deterministic_learning_gate_v1,highdim_deterministic_learning_gate_20260802,federated,fedgda_d,FedGDA-D,femnist_z,0,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate/femnist_z/fedgda_d/seed_0/det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p001_cm3,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.5,data,0.001,validation_learning_gate_candidate,0.001,3,1.5,1.0,100,60,200,True,,Non-production deterministic learning-gate candidate. Select by validation MSE only; do not use Test MSE for hyperparameter selection.,False,0,True,0,False,False,validation,legacy,sample_size
det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p001_cm10,highdim_deterministic_learning_gate_v1,highdim_deterministic_learning_gate_20260802,federated,fedgda_d,FedGDA-D,femnist_z,0,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate/femnist_z/fedgda_d/seed_0/det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p001_cm10,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.5,data,0.001,validation_learning_gate_candidate,0.001,10,1.5,1.0,100,60,200,True,,Non-production deterministic learning-gate candidate. Select by validation MSE only; do not use Test MSE for hyperparameter selection.,False,0,True,0,False,False,validation,legacy,sample_size
det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p003_cm1,highdim_deterministic_learning_gate_v1,highdim_deterministic_learning_gate_20260802,federated,fedgda_d,FedGDA-D,femnist_z,0,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate/femnist_z/fedgda_d/seed_0/det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p003_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.5,data,0.003,validation_learning_gate_candidate,0.001,1,1.5,1.0,100,60,200,True,,Non-production deterministic learning-gate candidate. Select by validation MSE only; do not use Test MSE for hyperparameter selection.,False,0,True,0,False,False,validation,legacy,sample_size
det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p003_cm3,highdim_deterministic_learning_gate_v1,highdim_deterministic_learning_gate_20260802,federated,fedgda_d,FedGDA-D,femnist_z,0,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate/femnist_z/fedgda_d/seed_0/det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p003_cm3,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.5,data,0.003,validation_learning_gate_candidate,0.001,3,1.5,1.0,100,60,200,True,,Non-production deterministic learning-gate candidate. Select by validation MSE only; do not use Test MSE for hyperparameter selection.,False,0,True,0,False,False,validation,legacy,sample_size
det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p003_cm10,highdim_deterministic_learning_gate_v1,highdim_deterministic_learning_gate_20260802,federated,fedgda_d,FedGDA-D,femnist_z,0,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate/femnist_z/fedgda_d/seed_0/det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p003_cm10,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.5,data,0.003,validation_learning_gate_candidate,0.001,10,1.5,1.0,100,60,200,True,,Non-production deterministic learning-gate candidate. Select by validation MSE only; do not use Test MSE for hyperparameter selection.,False,0,True,0,False,False,validation,legacy,sample_size
det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p01_cm1,highdim_deterministic_learning_gate_v1,highdim_deterministic_learning_gate_20260802,federated,fedgda_d,FedGDA-D,femnist_z,0,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate/femnist_z/fedgda_d/seed_0/det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p01_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.5,data,0.01,validation_learning_gate_candidate,0.001,1,1.5,1.0,100,60,200,True,,Non-production deterministic learning-gate candidate. Select by validation MSE only; do not use Test MSE for hyperparameter selection.,False,0,True,0,False,False,validation,legacy,sample_size
det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p01_cm3,highdim_deterministic_learning_gate_v1,highdim_deterministic_learning_gate_20260802,federated,fedgda_d,FedGDA-D,femnist_z,0,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate/femnist_z/fedgda_d/seed_0/det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p01_cm3,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.5,data,0.01,validation_learning_gate_candidate,0.001,3,1.5,1.0,100,60,200,True,,Non-production deterministic learning-gate candidate. Select by validation MSE only; do not use Test MSE for hyperparameter selection.,False,0,True,0,False,False,validation,legacy,sample_size
det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p01_cm10,highdim_deterministic_learning_gate_v1,highdim_deterministic_learning_gate_20260802,federated,fedgda_d,FedGDA-D,femnist_z,0,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate/femnist_z/fedgda_d/seed_0/det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p01_cm10,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.5,data,0.01,validation_learning_gate_candidate,0.001,10,1.5,1.0,100,60,200,True,,Non-production deterministic learning-gate candidate. Select by validation MSE only; do not use Test MSE for hyperparameter selection.,False,0,True,0,False,False,validation,legacy,sample_size
det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p03_cm1,highdim_deterministic_learning_gate_v1,highdim_deterministic_learning_gate_20260802,federated,fedgda_d,FedGDA-D,femnist_z,0,0.5,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_learning_gate_20260802/gate/femnist_z/fedgda_d/seed_0/det_gate_femnist_z_fedgda_d_seed0_alpha0p5_lr0p03_cm1,ready,not_started,False,not_required,lr,FedAvg,sgd,1000,1000,150,3,0,hetero,0.5,data,0.03,validation_learning_gate_candidate,0.001,1,1.5,1.0,100,60,200,True,,Non-production deterministic learning-gate candidate. Select by validation MSE only; do not use Test MSE for hyperparameter selection.,False,0,True,0,False,False,validation,legacy,sample_size
