run_id,source,dataset,method,lr,cm,status,exclusion_category,exclusion_reason,gmm_eval,val_mse,actually_ran_as,run_dir
det_screen_femnist_z_fedgda_d_seed0_alpha0p5_lr0p003_cm1,original_screen,femnist_z,fedgda_d,0.003,1.0,eligible,,,-0.010775015537086735,0.23233724894313615,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedgda_d/seed_0/det_screen_femnist_z_fedgda_d_seed0_alpha0p5_lr0p003_cm1
det_screen_femnist_z_fedgda_d_seed0_alpha0p5_lr0p003_cm5,original_screen,femnist_z,fedgda_d,0.003,5.0,eligible,,,-0.001517333368010798,0.21536543487024765,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedgda_d/seed_0/det_screen_femnist_z_fedgda_d_seed0_alpha0p5_lr0p003_cm5
det_screen_femnist_z_fedgda_d_seed0_alpha0p5_lr0p01_cm1,original_screen,femnist_z,fedgda_d,0.01,1.0,eligible,,,-8.556477635291782e-05,0.15976250953395246,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedgda_d/seed_0/det_screen_femnist_z_fedgda_d_seed0_alpha0p5_lr0p01_cm1
det_screen_femnist_z_fedgda_d_seed0_alpha0p5_lr0p01_cm5,original_screen,femnist_z,fedgda_d,0.01,5.0,eligible,,,0.0275869392129135,0.13274897850878986,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedgda_d/seed_0/det_screen_femnist_z_fedgda_d_seed0_alpha0p5_lr0p01_cm5
det_screen_femnist_z_fedgda_d_seed0_alpha0p5_lr0p03_cm1,original_screen,femnist_z,fedgda_d,0.03,1.0,eligible,,,0.08867699030643743,0.04380034234375428,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedgda_d/seed_0/det_screen_femnist_z_fedgda_d_seed0_alpha0p5_lr0p03_cm1
det_screen_femnist_z_fedgda_d_seed0_alpha0p5_lr0p03_cm5,original_screen,femnist_z,fedgda_d,0.03,5.0,eligible,,,0.23475494598795568,0.0757880410892742,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedgda_d/seed_0/det_screen_femnist_z_fedgda_d_seed0_alpha0p5_lr0p03_cm5
det_screen_femnist_z_fedogda_d_seed0_alpha0p5_lr0p001_cm1,original_screen,femnist_z,fedogda_d,0.001,1.0,eligible,,,-0.003650397097155006,0.2353601262137432,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedogda_d/seed_0/det_screen_femnist_z_fedogda_d_seed0_alpha0p5_lr0p001_cm1
det_screen_femnist_z_fedogda_d_seed0_alpha0p5_lr0p001_cm5,original_screen,femnist_z,fedogda_d,0.001,5.0,eligible,,,0.03778164004905554,0.2326111387369503,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedogda_d/seed_0/det_screen_femnist_z_fedogda_d_seed0_alpha0p5_lr0p001_cm5
det_screen_femnist_z_fedogda_d_seed0_alpha0p5_lr0p003_cm1,original_screen,femnist_z,fedogda_d,0.003,1.0,eligible,,,-0.007296338492779358,0.2233115460056893,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedogda_d/seed_0/det_screen_femnist_z_fedogda_d_seed0_alpha0p5_lr0p003_cm1
det_screen_femnist_z_fedogda_d_seed0_alpha0p5_lr0p003_cm5,original_screen,femnist_z,fedogda_d,0.003,5.0,eligible,,,-0.03678249807930989,0.22048171598486077,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedogda_d/seed_0/det_screen_femnist_z_fedogda_d_seed0_alpha0p5_lr0p003_cm5
det_screen_femnist_z_fedogda_d_seed0_alpha0p5_lr0p01_cm1,original_screen,femnist_z,fedogda_d,0.01,1.0,eligible,,,-0.020315347772416448,0.16554070349753183,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedogda_d/seed_0/det_screen_femnist_z_fedogda_d_seed0_alpha0p5_lr0p01_cm1
det_screen_femnist_z_fedogda_d_seed0_alpha0p5_lr0p01_cm5,original_screen,femnist_z,fedogda_d,0.01,5.0,excluded,original_screen_or_expansion1_exclusion,diverged,,,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedogda_d/seed_0/det_screen_femnist_z_fedogda_d_seed0_alpha0p5_lr0p01_cm5
det_screen_femnist_x_fedgda_d_seed0_alpha0p5_lr0p003_cm5,original_screen,femnist_x,fedgda_d,0.003,5.0,eligible,,,-0.01355138039361858,0.2182755337146526,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedgda_d/seed_0/det_screen_femnist_x_fedgda_d_seed0_alpha0p5_lr0p003_cm5
det_screen_femnist_x_fedgda_d_seed0_alpha0p5_lr0p003_cm10,original_screen,femnist_x,fedgda_d,0.003,10.0,eligible,,,-0.014938783775156825,0.19217131295526632,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedgda_d/seed_0/det_screen_femnist_x_fedgda_d_seed0_alpha0p5_lr0p003_cm10
det_screen_femnist_x_fedgda_d_seed0_alpha0p5_lr0p01_cm5,original_screen,femnist_x,fedgda_d,0.01,5.0,eligible,,,-0.003069469065610831,0.1733931944773965,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedgda_d/seed_0/det_screen_femnist_x_fedgda_d_seed0_alpha0p5_lr0p01_cm5
det_screen_femnist_x_fedgda_d_seed0_alpha0p5_lr0p01_cm10,original_screen,femnist_x,fedgda_d,0.01,10.0,eligible,,,-0.002005321806888505,0.17691871621714078,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedgda_d/seed_0/det_screen_femnist_x_fedgda_d_seed0_alpha0p5_lr0p01_cm10
det_screen_femnist_x_fedgda_d_seed0_alpha0p5_lr0p03_cm5,original_screen,femnist_x,fedgda_d,0.03,5.0,eligible,,,-0.006049441014379068,0.11775034818160422,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedgda_d/seed_0/det_screen_femnist_x_fedgda_d_seed0_alpha0p5_lr0p03_cm5
det_screen_femnist_x_fedgda_d_seed0_alpha0p5_lr0p03_cm10,original_screen,femnist_x,fedgda_d,0.03,10.0,eligible,,,-0.011441993409190788,0.18121701702733578,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedgda_d/seed_0/det_screen_femnist_x_fedgda_d_seed0_alpha0p5_lr0p03_cm10
det_screen_femnist_x_fedogda_d_seed0_alpha0p5_lr0p001_cm5,original_screen,femnist_x,fedogda_d,0.001,5.0,eligible,,,-0.029440755026767775,0.18668351382075662,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedogda_d/seed_0/det_screen_femnist_x_fedogda_d_seed0_alpha0p5_lr0p001_cm5
det_screen_femnist_x_fedogda_d_seed0_alpha0p5_lr0p001_cm10,original_screen,femnist_x,fedogda_d,0.001,10.0,eligible,,,-0.025334554646638058,0.19286090802416445,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedogda_d/seed_0/det_screen_femnist_x_fedogda_d_seed0_alpha0p5_lr0p001_cm10
det_screen_femnist_x_fedogda_d_seed0_alpha0p5_lr0p003_cm5,original_screen,femnist_x,fedogda_d,0.003,5.0,eligible,,,-0.032019969483519525,0.1935191133679704,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedogda_d/seed_0/det_screen_femnist_x_fedogda_d_seed0_alpha0p5_lr0p003_cm5
det_screen_femnist_x_fedogda_d_seed0_alpha0p5_lr0p003_cm10,original_screen,femnist_x,fedogda_d,0.003,10.0,eligible,,,-0.009837181249142797,0.17351104957656793,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedogda_d/seed_0/det_screen_femnist_x_fedogda_d_seed0_alpha0p5_lr0p003_cm10
det_screen_femnist_x_fedogda_d_seed0_alpha0p5_lr0p01_cm5,original_screen,femnist_x,fedogda_d,0.01,5.0,eligible,,,-0.001098588113269077,0.1737971212027396,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedogda_d/seed_0/det_screen_femnist_x_fedogda_d_seed0_alpha0p5_lr0p01_cm5
det_screen_femnist_x_fedogda_d_seed0_alpha0p5_lr0p01_cm10,original_screen,femnist_x,fedogda_d,0.01,10.0,eligible,,,-0.000220765521619806,0.14099738368975265,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedogda_d/seed_0/det_screen_femnist_x_fedogda_d_seed0_alpha0p5_lr0p01_cm10
det_screen_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p003_cm1,original_screen,femnist_xz,fedgda_d,0.003,1.0,eligible,,,0.04077948028473007,0.1466794746382203,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_xz/fedgda_d/seed_0/det_screen_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p003_cm1
det_screen_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p003_cm5,original_screen,femnist_xz,fedgda_d,0.003,5.0,eligible,,,0.031949621188820665,0.16596248360957988,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_xz/fedgda_d/seed_0/det_screen_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p003_cm5
det_screen_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p01_cm1,original_screen,femnist_xz,fedgda_d,0.01,1.0,eligible,,,0.24351315398479834,0.16296519875618998,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_xz/fedgda_d/seed_0/det_screen_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p01_cm1
det_screen_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p01_cm5,original_screen,femnist_xz,fedgda_d,0.01,5.0,eligible,,,0.006063316993167901,0.12835084761277543,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_xz/fedgda_d/seed_0/det_screen_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p01_cm5
det_screen_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p03_cm1,original_screen,femnist_xz,fedgda_d,0.03,1.0,eligible,,,0.07578056584959825,0.14298529225453757,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_xz/fedgda_d/seed_0/det_screen_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p03_cm1
det_screen_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p03_cm5,original_screen,femnist_xz,fedgda_d,0.03,5.0,eligible,,,0.0036445149544764243,0.09876183082318821,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_xz/fedgda_d/seed_0/det_screen_femnist_xz_fedgda_d_seed0_alpha0p5_lr0p03_cm5
det_screen_femnist_xz_fedogda_d_seed0_alpha0p5_lr0p001_cm1,original_screen,femnist_xz,fedogda_d,0.001,1.0,eligible,,,0.032311664159705406,0.1447734547164781,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_xz/fedogda_d/seed_0/det_screen_femnist_xz_fedogda_d_seed0_alpha0p5_lr0p001_cm1
det_screen_femnist_xz_fedogda_d_seed0_alpha0p5_lr0p001_cm5,original_screen,femnist_xz,fedogda_d,0.001,5.0,eligible,,,0.11913008979073261,0.1639073853099214,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_xz/fedogda_d/seed_0/det_screen_femnist_xz_fedogda_d_seed0_alpha0p5_lr0p001_cm5
