run_id,protocol_version,run_group,training_scope,seed,alpha,output_root,implementation_status,run_status,preflight_required,preflight_status,model,federated_optimizer,client_num_in_total,client_num_per_round,comm_round,epochs,batch_size,partition_method,partition_alpha,data_cache_dir,learning_rate_status,weight_decay,gradient_clip_norm,simple_model_selection_epochs,f_history_model_selection_epochs,model_selection_batch_size,using_gpu,gpu_id,dataset,method,method_label,client_optimizer,learning_rate,critic_multiplier,server_learning_rate,final_result_dir,notes
probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p001_cm1p0_slr1p0,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_x,fedgda_s,FedGDA-S,sgd,0.001,1.0,1.0,results/stability_probe_v1_20260722/cifar10_x/fedgda_s/seed_0/probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p001_cm1p0_slr1p0,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p001_cm1p0_slr1p0,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_xz,fedogda_s,FedOGDA-S,ogda,0.001,1.0,1.0,results/stability_probe_v1_20260722/cifar10_xz/fedogda_s/seed_0/probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p001_cm1p0_slr1p0,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p001_cm1p0_slr1p5,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_x,fedgda_s,FedGDA-S,sgd,0.001,1.0,1.5,results/stability_probe_v1_20260722/cifar10_x/fedgda_s/seed_0/probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p001_cm1p0_slr1p5,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p001_cm1p0_slr1p5,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_xz,fedogda_s,FedOGDA-S,ogda,0.001,1.0,1.5,results/stability_probe_v1_20260722/cifar10_xz/fedogda_s/seed_0/probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p001_cm1p0_slr1p5,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p001_cm3p0_slr1p0,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_x,fedgda_s,FedGDA-S,sgd,0.001,3.0,1.0,results/stability_probe_v1_20260722/cifar10_x/fedgda_s/seed_0/probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p001_cm3p0_slr1p0,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p001_cm3p0_slr1p0,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_xz,fedogda_s,FedOGDA-S,ogda,0.001,3.0,1.0,results/stability_probe_v1_20260722/cifar10_xz/fedogda_s/seed_0/probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p001_cm3p0_slr1p0,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p003_cm1p0_slr1p0,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_x,fedgda_s,FedGDA-S,sgd,0.003,1.0,1.0,results/stability_probe_v1_20260722/cifar10_x/fedgda_s/seed_0/probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p003_cm1p0_slr1p0,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p003_cm1p0_slr1p0,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_xz,fedogda_s,FedOGDA-S,ogda,0.003,1.0,1.0,results/stability_probe_v1_20260722/cifar10_xz/fedogda_s/seed_0/probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p003_cm1p0_slr1p0,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p001_cm3p0_slr1p5,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_x,fedgda_s,FedGDA-S,sgd,0.001,3.0,1.5,results/stability_probe_v1_20260722/cifar10_x/fedgda_s/seed_0/probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p001_cm3p0_slr1p5,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p001_cm3p0_slr1p5,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_xz,fedogda_s,FedOGDA-S,ogda,0.001,3.0,1.5,results/stability_probe_v1_20260722/cifar10_xz/fedogda_s/seed_0/probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p001_cm3p0_slr1p5,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p003_cm1p0_slr1p5,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_x,fedgda_s,FedGDA-S,sgd,0.003,1.0,1.5,results/stability_probe_v1_20260722/cifar10_x/fedgda_s/seed_0/probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p003_cm1p0_slr1p5,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p003_cm1p0_slr1p5,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_xz,fedogda_s,FedOGDA-S,ogda,0.003,1.0,1.5,results/stability_probe_v1_20260722/cifar10_xz/fedogda_s/seed_0/probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p003_cm1p0_slr1p5,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p003_cm3p0_slr1p0,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_x,fedgda_s,FedGDA-S,sgd,0.003,3.0,1.0,results/stability_probe_v1_20260722/cifar10_x/fedgda_s/seed_0/probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p003_cm3p0_slr1p0,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p003_cm3p0_slr1p0,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_xz,fedogda_s,FedOGDA-S,ogda,0.003,3.0,1.0,results/stability_probe_v1_20260722/cifar10_xz/fedogda_s/seed_0/probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p003_cm3p0_slr1p0,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p003_cm3p0_slr1p5,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_x,fedgda_s,FedGDA-S,sgd,0.003,3.0,1.5,results/stability_probe_v1_20260722/cifar10_x/fedgda_s/seed_0/probe_cifar10_x_fedgda_s_seed0_alpha0p1_lr0p003_cm3p0_slr1p5,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p003_cm3p0_slr1p5,highdim_coauthor_protocol_v1_stability_probe_v1,stability_probe_v1_alpha0p1,federated,0,0.1,results/stability_probe_v1_20260722,ready,not_started,False,not_required,lr,FedAvg,1000,10,1500,3,256,hetero,0.1,data,stability_probe_grid,0.05,1.0,100,60,200,True,,cifar10_xz,fedogda_s,FedOGDA-S,ogda,0.003,3.0,1.5,results/stability_probe_v1_20260722/cifar10_xz/fedogda_s/seed_0/probe_cifar10_xz_fedogda_s_seed0_alpha0p1_lr0p003_cm3p0_slr1p5,Tier-1 stability probe: existing config knobs only; success = final-vs-best validation gap <= 1.5x with best round > 500.
