alpha,dataset,method,method_label,n,test_mse_at_best_validation_mean,test_mse_at_best_validation_std,test_mse_at_best_validation_min,test_mse_at_best_validation_max,learning_rates,runtime_minutes_mean,runtime_minutes_median
0.1,cifar10_x,fedgda_s,FedGDA-S,5,0.15880544872930613,0.012481689680342203,0.14430128160675723,0.17687935623700599,0.01,13.464047218163808,13.384891331195831
0.1,cifar10_x,fedogda_s,FedOGDA-S,5,0.17298551054494593,0.026788197934470164,0.1460731554304437,0.20232790541550824,0.003,14.218987991015116,13.927857673168182
0.1,cifar10_xz,fedgda_s,FedGDA-S,5,0.1678858821510562,0.02351911120212842,0.14127291374894616,0.20571700823191472,0.01,22.56190642674764,22.57996852795283
0.1,cifar10_xz,fedogda_s,FedOGDA-S,5,0.16205504736702508,0.010434334685492487,0.149593388441428,0.17207383586145575,0.01,22.74522269487381,22.71667685508728
0.1,cifar10_z,fedgda_s,FedGDA-S,5,0.0449458152500674,0.014725368841259832,0.03034811884832764,0.06457026532239901,0.01,12.628609889348347,12.548614120483398
0.1,cifar10_z,fedogda_s,FedOGDA-S,5,0.07908175889238153,0.024005142994776463,0.048330046784361196,0.10909208972186932,0.003,12.858421561717988,12.866408276557923
0.1,femnist_x,fedgda_s,FedGDA-S,5,0.15896680298275145,0.018622743231948027,0.13347967255766569,0.17692945975355945,0.01,10.405669646263123,10.32737169265747
0.1,femnist_x,fedogda_s,FedOGDA-S,5,0.15406001868183947,0.011493122944132673,0.13359515602056032,0.16085352849301623,0.003,11.092809778054555,11.06850327650706
0.1,femnist_xz,fedgda_s,FedGDA-S,5,0.1554417828810245,0.01648785139541837,0.13697988057383742,0.1730847428364429,0.003,16.352653144200644,16.413474317391714
0.1,femnist_xz,fedogda_s,FedOGDA-S,5,0.15186935077261685,0.01334543849468622,0.1358653457160359,0.16730546288387288,0.003,16.46819456656774,16.244009761015572
0.1,femnist_z,fedgda_s,FedGDA-S,5,0.011773253150492938,0.0020730139559211286,0.008578588778006088,0.014223896588922445,0.01,9.458465401331583,9.443677234649659
0.1,femnist_z,fedogda_s,FedOGDA-S,5,0.010333262490700981,0.001121301426672289,0.009493191597804644,0.012247086744964993,0.01,9.887971998055775,9.902978372573852
0.5,cifar10_x,fedgda_s,FedGDA-S,5,0.18901333918450178,0.05608093296346526,0.1434444824888057,0.25860467273395105,0.003,31.71442177136739,31.754392007986706
0.5,cifar10_x,fedogda_s,FedOGDA-S,5,0.16477297198833132,0.01776512568805478,0.14860269268985943,0.19022083289968067,0.01,27.908120730717975,32.132545137405394
0.5,cifar10_xz,fedgda_s,FedGDA-S,5,0.1640798279022017,0.01500551350363337,0.15018176817111561,0.18826408203082828,0.01,22.151652264595032,22.329146687189738
0.5,cifar10_xz,fedogda_s,FedOGDA-S,5,0.16444818651006254,0.009500456713962177,0.15240602137247936,0.17649766478117557,0.01,22.23766635576884,22.399508515993755
0.5,cifar10_z,fedgda_s,FedGDA-S,5,0.05530343924505965,0.00800171904495871,0.04651604710344785,0.06300489133757733,0.01,12.431475764115651,12.376120309034983
0.5,cifar10_z,fedogda_s,FedOGDA-S,5,0.06459198843682075,0.005426197226523891,0.056500794985290204,0.0705788165137837,0.01,12.89442452430725,12.933953742186228
0.5,femnist_x,fedgda_s,FedGDA-S,5,0.16950564498806586,0.02522938509901543,0.14598409766187814,0.20885553444929447,0.01,10.360252845287322,10.476034466425578
0.5,femnist_x,fedogda_s,FedOGDA-S,5,0.13651708345311236,0.007562425817143416,0.12442578259716368,0.14306667369817744,0.01,10.827352566719055,10.768550610542297
0.5,femnist_xz,fedgda_s,FedGDA-S,5,0.17286485692242426,0.028052669876605024,0.140808494886641,0.21181627910481252,0.01,16.275230366388957,16.278695360819498
0.5,femnist_xz,fedogda_s,FedOGDA-S,5,0.14325696143692493,0.012419235161902764,0.12475232974841666,0.15509491323916572,0.003,16.371294236183168,16.40101616382599
0.5,femnist_z,fedgda_s,FedGDA-S,5,0.013049956151040145,0.0023482930312232067,0.010036283657924906,0.015227642435258476,0.01,9.62357208967209,9.629187369346619
0.5,femnist_z,fedogda_s,FedOGDA-S,5,0.017523832154272015,0.0033189375693675003,0.01407542579201028,0.02271532370732042,0.01,10.299460786183674,10.392324101924896
1.0,cifar10_x,fedgda_s,FedGDA-S,5,0.1578846778704729,0.012078150892700089,0.1477306509339832,0.17339528618666364,0.01,36.192116428216295,31.761487313111623
1.0,cifar10_x,fedogda_s,FedOGDA-S,5,0.17279342815592139,0.03044304019117812,0.1436090438535122,0.20582983154058848,0.003,30.960933516025545,30.55063523054123
1.0,cifar10_xz,fedgda_s,FedGDA-S,5,0.165591001699877,0.01489643530028124,0.15371166926213972,0.19118423178985328,0.01,21.749728222688038,21.863162644704182
