alpha,dataset,method,seed,run_id,result_dir,source,method_label,round_rows,comm_round,client_num_in_total,client_num_per_round,epochs,batch_size,learning_rate,weight_decay,critic_multiplier,server_learning_rate,gradient_clip_norm,best_validation_mse,best_validation_round,test_mse_at_best_validation,final_test_mse,runtime_seconds,append_round_csv,skip_model_selection,skip_gmm_eval,auxiliary_regression,auxiliary_regression_epochs,periodic_checkpoint_interval,test_mse_used_for_selection
0.1,cifar10_x,fedgda_s,0,highdim_abs_cifar10_x_fedgda_s_seed0_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_x/fedgda_s/seed_0/highdim_abs_cifar10_x_fedgda_s_seed0_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.163793620528977,13,0.16481243586369065,2.9351381568625987,801.0331737995148,True,False,False,True,3,200,False
0.1,cifar10_x,fedgda_s,1,highdim_abs_cifar10_x_fedgda_s_seed1_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_x/fedgda_s/seed_1/highdim_abs_cifar10_x_fedgda_s_seed1_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.14259579576117462,12,0.14430128160675723,10.669557315077371,835.0705804824829,True,False,False,True,3,200,False
0.1,cifar10_x,fedgda_s,2,highdim_abs_cifar10_x_fedgda_s_seed2_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_x/fedgda_s/seed_2/highdim_abs_cifar10_x_fedgda_s_seed2_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.14655074426916181,10,0.15256923083922155,2.4775331723652565,796.9035987854004,True,False,False,True,3,200,False
0.1,cifar10_x,fedgda_s,3,highdim_abs_cifar10_x_fedgda_s_seed3_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_x/fedgda_s/seed_3/highdim_abs_cifar10_x_fedgda_s_seed3_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.15295003345616254,8,0.15546493909985518,2.0304265771092735,803.1133325099945,True,False,False,True,3,200,False
0.1,cifar10_x,fedgda_s,4,highdim_abs_cifar10_x_fedgda_s_seed4_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_x/fedgda_s/seed_4/highdim_abs_cifar10_x_fedgda_s_seed4_alpha0p1,safe_speedup_v1,FedGDA-S,1500,1500,1000,10,3,256,0.01,0.05,10.0,1.5,1.0,0.17320665864654658,10,0.17687935623700599,2.534136528372877,803.0934798717499,True,False,False,True,3,200,False
0.1,cifar10_x,fedogda_s,0,highdim_abs_cifar10_x_fedogda_s_seed0_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_x/fedogda_s/seed_0/highdim_abs_cifar10_x_fedogda_s_seed0_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.14605353115207176,32,0.1460731554304437,1.9370657318579332,829.659943819046,True,False,False,True,3,200,False
0.1,cifar10_x,fedogda_s,1,highdim_abs_cifar10_x_fedogda_s_seed1_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_x/fedogda_s/seed_1/highdim_abs_cifar10_x_fedogda_s_seed1_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.15128746031541565,22,0.1534524140248667,3.2005567965883825,835.6714603900909,True,False,False,True,3,200,False
0.1,cifar10_x,fedogda_s,2,highdim_abs_cifar10_x_fedogda_s_seed2_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_x/fedogda_s/seed_2/highdim_abs_cifar10_x_fedogda_s_seed2_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.200082592121506,20,0.20232790541550824,1.5696367032750844,884.5446028709412,True,False,False,True,3,200,False
0.1,cifar10_x,fedogda_s,3,highdim_abs_cifar10_x_fedogda_s_seed3_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_x/fedogda_s/seed_3/highdim_abs_cifar10_x_fedogda_s_seed3_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.1584926520901793,20,0.16207707920504227,1.7162665286620298,832.6755006313324,True,False,False,True,3,200,False
0.1,cifar10_x,fedogda_s,4,highdim_abs_cifar10_x_fedogda_s_seed4_alpha0p1,results/rerun_protocol_v1_real_images_abs_remaining_safe_speedup_v1_20260719_123539/cifar10_x/fedogda_s/seed_4/highdim_abs_cifar10_x_fedogda_s_seed4_alpha0p1,safe_speedup_v1,FedOGDA-S,1500,1500,1000,10,3,256,0.003,0.05,10.0,1.5,1.0,0.1956741612971366,22,0.2009969986488687,3.062506741452018,883.1448895931244,True,False,False,True,3,200,False
