dataset,function,alpha,seed,source,fedgda_test_mse_at_best_validation,fedogda_test_mse_at_best_validation,gap,relative_gap_pct,winner,config_match_status,fedgda_result_dir,fedogda_result_dir
abs,Absolute,0.1,0,baseline_sweep,0.011610337454556403,0.010798260512891303,-0.0008120769416651002,-6.99443013472796,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p1,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p1
abs,Absolute,0.1,1,baseline_sweep,0.006737937555359588,0.006787216707284158,4.927915192457031e-05,0.7313684865685937,FedGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p1,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p1
abs,Absolute,0.1,2,baseline_sweep,0.03729636915667341,0.0353013954127931,-0.0019949737438803156,-5.348975755521651,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p1,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p1
abs,Absolute,0.5,0,baseline_sweep,0.010333927256165375,0.009118816325809744,-0.0012151109303556312,-11.758462201586314,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha0p5,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha0p5
abs,Absolute,0.5,1,baseline_sweep,0.0067967435180782115,0.00687671717652571,7.997365844749846e-05,1.1766467019798788,FedGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha0p5,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha0p5
abs,Absolute,0.5,2,baseline_sweep,0.03612385692391461,0.03377255557952796,-0.0023513013443866443,-6.508998608147079,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha0p5,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha0p5
abs,Absolute,1.0,0,baseline_sweep,0.00968776560216092,0.008426857583396532,-0.0012609080187643874,-13.015467864779197,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/abs/fedgda_d/seed_0/rerun_protocol_v1_abs_fedgda_d_seed0_alpha1p0,results/rerun_protocol_v1/abs/fedogda_d/seed_0/rerun_protocol_v1_abs_fedogda_d_seed0_alpha1p0
abs,Absolute,1.0,1,baseline_sweep,0.0069985737178872316,0.007064816588672376,6.624287078514472e-05,0.9465195832093413,FedGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/abs/fedgda_d/seed_1/rerun_protocol_v1_abs_fedgda_d_seed1_alpha1p0,results/rerun_protocol_v1/abs/fedogda_d/seed_1/rerun_protocol_v1_abs_fedogda_d_seed1_alpha1p0
abs,Absolute,1.0,2,baseline_sweep,0.03648782059317654,0.03387986801465489,-0.002607952578521651,-7.147460539228136,FedOGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/abs/fedgda_d/seed_2/rerun_protocol_v1_abs_fedgda_d_seed2_alpha1p0,results/rerun_protocol_v1/abs/fedogda_d/seed_2/rerun_protocol_v1_abs_fedogda_d_seed2_alpha1p0
linear,Linear,0.1,0,baseline_sweep,0.00041994293246091114,0.00043707439684143045,1.7131464380519318e-05,4.079474389562191,FedGDA-D,fully_paired_basic_config_match,results/rerun_protocol_v1/linear/fedgda_d/seed_0/rerun_protocol_v1_linear_fedgda_d_seed0_alpha0p1,results/rerun_protocol_v1/linear/fedogda_d/seed_0/rerun_protocol_v1_linear_fedogda_d_seed0_alpha0p1
