target_id,track,source_version,source_location,dataset_family,dataset,input_mode,scenario,true_function,algorithm_id,algorithm_family,training_scope,stochasticity,paper_method_label,paper_mapping_status,paper_target_available,target_status,target_mean_test_mse,target_std_test_mse,paper_reported_value,target_metric,target_num_runs,seed_values,curve_required,aggregate_test_mse_required,train_size,validation_size,test_size,model_architecture,partition_method,partition_alpha,paper_batch_size,paper_batch_size_status,y_standardization,learning_rate_tuning,checkpoint_selection_method,communication_rounds,total_clients,clients_per_round,local_epochs,server_learning_rate,weight_decay,gradient_clipping,paper_protocol_match_required,comparison_reference,tuning_rule,fairness_rule,test_tuning_allowed,our_result_status,our_completed_seeds,our_result_dir_pattern,our_mean_test_mse,our_std_test_mse,absolute_mean_gap,relative_mean_gap_pct,protocol_match_status,notes
paper_absolute_gda_d,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,absolute,low_dimensional,absolute,"g0(x) = |x|",gda_d,centralized,centralized,deterministic,DeepGMM-GDA,direct_paper_mapping,true,published_paper_target,0.013,0.01,0.013 ± 0.01,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
paper_absolute_sgda_s,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,absolute,low_dimensional,absolute,"g0(x) = |x|",sgda_s,centralized,centralized,stochastic,DeepGMM-SGDA,direct_paper_mapping,true,published_paper_target,0.009,0.01,0.009 ± 0.01,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
extension_absolute_oadam_d,extension,arXiv:2505.21012v1,No published target,synthetic,absolute,low_dimensional,absolute,"g0(x) = |x|",oadam_d,centralized,centralized,deterministic,,not_separately_reported_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,,validation_only,,false,not_started,,,,,,,not_applicable_extension,"Extension; no published numerical target."
paper_absolute_oadam_s,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,absolute,low_dimensional,absolute,"g0(x) = |x|",oadam_s,centralized,centralized,stochastic,DeepGMM-OAdam,direct_paper_mapping,true,published_paper_target,0.03,0.01,0.03 ± 0.01,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
paper_absolute_fedgda_d,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,absolute,low_dimensional,absolute,"g0(x) = |x|",fedgda_d,federated,federated,deterministic,FDeepGMM-GDA,direct_paper_mapping,true,published_paper_target,0.40,0.01,0.40 ± 0.01,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,smoke_only_not_target_protocol,0,results/_golden/abs/fedgda_d/seed_0/smoke/,0.27427429091201805,,,,smoke_config_not_paper_matched,"Single smoke run only; no five-seed aggregation or paper-protocol claim."
paper_absolute_fedgda_s,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,absolute,low_dimensional,absolute,"g0(x) = |x|",fedgda_s,federated,federated,stochastic,FDeepGMM-SGDA,direct_paper_mapping,true,published_paper_target,0.20,0.00,0.20 ± 0.00,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,256,specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,completed_five_seed_repo_config,0|1|2|3|4,results/abs/fedgda_s/seed_{seed}/repo_pilot_seed{seed}/,0.0022570467584851353,0.0027538499106968066,-0.19774295324151487,-98.87147662075743,repo_config_not_paper_matched,"Population standard deviation across five completed seeds (ddof=0). Repo config has partition_alpha=0.5 and lr model; do not treat as paper matched."
extension_absolute_fedogda_d,extension,arXiv:2505.21012v1,No published target,synthetic,absolute,low_dimensional,absolute,"g0(x) = |x|",fedogda_d,federated,federated,deterministic,,not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,fedgda_d,validation_only,"same data splits, seeds, model architecture, client partition, training budget, and comparable tuning budget as paired FedGDA",false,smoke_only_not_target_protocol,0,results/abs/fedogda_d/seed_0/smoke/,0.27398495115283017,,,,not_applicable_extension,"Single extension smoke run only. Expected research hypothesis: FedOGDA may outperform paired FedGDA; outcome must be determined after validation-based tuning and held-out test evaluation."
extension_absolute_fedogda_s,extension,arXiv:2505.21012v1,No published target,synthetic,absolute,low_dimensional,absolute,"g0(x) = |x|",fedogda_s,federated,federated,stochastic,,not_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,fedgda_s,validation_only,"same data splits, seeds, model architecture, client partition, training budget, and comparable tuning budget as paired FedGDA",false,completed_five_seed_repo_config,0|1|2|3|4,results/abs/fedogda_s/seed_{seed}/repo_pilot_seed{seed}/,0.001612649981222299,0.0017509239423961459,,,not_applicable_extension,"Population standard deviation across five completed seeds (ddof=0). Repo config has partition_alpha=0.5 and lr model. Expected research hypothesis: FedOGDA may outperform paired FedGDA; outcome must be determined after validation-based tuning and held-out test evaluation."
paper_step_gda_d,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,step,low_dimensional,step,"g0(x) = 1{x >= 0}",gda_d,centralized,centralized,deterministic,DeepGMM-GDA,direct_paper_mapping,true,published_paper_target,0.03,0.00,0.03 ± 0.00,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
paper_step_sgda_s,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,step,low_dimensional,step,"g0(x) = 1{x >= 0}",sgda_s,centralized,centralized,stochastic,DeepGMM-SGDA,direct_paper_mapping,true,published_paper_target,0.112,0.00,0.112 ± 0.00,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
extension_step_oadam_d,extension,arXiv:2505.21012v1,No published target,synthetic,step,low_dimensional,step,"g0(x) = 1{x >= 0}",oadam_d,centralized,centralized,deterministic,,not_separately_reported_in_paper,false,new_experiment_no_paper_target,,,,averaged_test_mse,5,not_fixed_extension,true,true,,,,,not_fixed_extension,,,not_applicable_extension,not_fixed_extension,not_fixed_extension,not_fixed_extension,,,,,,,,false,,validation_only,,false,not_started,,,,,,,not_applicable_extension,"Extension; no published numerical target."
paper_step_oadam_s,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,step,low_dimensional,step,"g0(x) = 1{x >= 0}",oadam_s,centralized,centralized,stochastic,DeepGMM-OAdam,direct_paper_mapping,true,published_paper_target,0.30,0.00,0.30 ± 0.00,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
paper_step_fedgda_d,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,step,low_dimensional,step,"g0(x) = 1{x >= 0}",fedgda_d,federated,federated,deterministic,FDeepGMM-GDA,direct_paper_mapping,true,published_paper_target,0.04,0.01,0.04 ± 0.01,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,,not_specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,not_started,,,,,,,not_assessed_no_run,"Communication rounds, client counts, local epochs, server learning rate, weight decay, and gradient clipping are not_specified_in_paper."
paper_step_fedgda_s,paper_reproduction,arXiv:2505.21012v1,"Section 5; Figure 1; Table 1",synthetic,step,low_dimensional,step,"g0(x) = 1{x >= 0}",fedgda_s,federated,federated,stochastic,FDeepGMM-SGDA,direct_paper_mapping,true,published_paper_target,0.23,0.01,0.23 ± 0.01,averaged_test_mse,5,not_provided_in_paper,true,true,20000,20000,20000,MLP,Dirichlet,0.3,256,specified_in_paper,zero_mean_unit_variance,extensive_grid_search,not_specified_in_paper,,,,,,,,true,,validation_only,,false,partial_one_of_five_repo_config,0,results/step/fedgda_s/seed_0/step_repo_pilot_seed0/,0.014808642437582994,,,,repo_config_not_paper_matched,"Single completed seed; no standard deviation or gap until five seeds complete. Repo config has partition_alpha=0.5 and lr model."
