dataset,alpha,method,num_seeds,mean_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,mean_final_test_mse,mean_final_vs_best_validation_gap,mean_last_50_val_mse_std,mean_last_50_train_mse_std,diverged_count
abs,0.1,fedgda_s,3,0.0027558836368059727,0.0028329309440146763,0.0025381506112885375,0.005446482963526104,0.0054988109254830685,0.0026905993267201307,0.003871748923176781,0.0038993091630719124,0
abs,0.1,fedogda_s,3,0.011782811708027868,0.012017514536255542,0.009463206417837705,0.014450029181501678,0.014839705183990894,0.002667217473473813,0.002637401897682946,0.0026796830368946228,0
abs,0.5,fedgda_s,3,0.0026495178539163466,0.002709909146004257,0.0027316954048121097,0.005024802193526919,0.00507913693558694,0.002375284339610573,0.0017326038759320024,0.001746792478634561,0
abs,0.5,fedogda_s,3,0.015047340766347964,0.015362574723562325,0.012059536523134611,0.01564518443147864,0.016035600747631162,0.0005978436651306804,0.0026644094345052347,0.0027158203985275515,0
abs,1.0,fedgda_s,3,0.0028033425613014744,0.002869259458590814,0.002860820644090196,0.005697933611076428,0.005834931669040324,0.002894591049774954,0.002771097573828146,0.002778930490394836,0
abs,1.0,fedogda_s,3,0.01571265008860941,0.01610217240196876,0.012949777312949998,0.01730901611866952,0.01782282352293197,0.001596366030060107,0.002425616755777364,0.002473561905321554,0
linear,0.1,fedgda_s,3,0.0003822833279331946,0.0003848634155577088,0.000291716876565447,0.009738386014442454,0.010067186781560555,0.009356102686509259,0.0048125481249136235,0.0048350376230058495,0
linear,0.1,fedogda_s,3,0.0027453120589745208,0.0027914224837660693,0.002441312336680297,0.0031069079564947275,0.0031433089101009135,0.00036159589752020696,0.001205758521060448,0.001206755997765167,0
linear,0.5,fedgda_s,3,0.00035298375979572906,0.0003564817868720624,0.00014172438579032015,0.008683832079664782,0.008845171045522076,0.008330848319869055,0.004006257077271833,0.004027199592161283,0
linear,0.5,fedogda_s,3,0.002873949963311854,0.00293433955738258,0.0030523854998988527,0.00343057443858924,0.0034873923686370347,0.0005566244752773863,0.0011235251957301129,0.001132884045435101,0
linear,1.0,fedgda_s,3,0.0004123056771691116,0.0004189098879980008,0.00023764700484322625,0.007202085562702096,0.007339972725284461,0.006789779885532986,0.004998655395056273,0.005028661073378962,0
linear,1.0,fedogda_s,3,0.0025477291244151313,0.002578212502123741,0.0028465885925257183,0.003141927630847651,0.003158272766502561,0.00059419850643252,0.0008926761732137759,0.0008975319851685248,0
sin,0.1,fedgda_s,3,0.07699466831946199,0.0787902976420925,0.00466797365211275,0.07871974696210272,0.08048154681970794,0.0017250786426407372,0.0031181188669778905,0.00318365441626014,0
sin,0.1,fedogda_s,3,0.08327368657901595,0.08560937469582412,0.004142698720746788,0.08770586291046996,0.09096662190802297,0.004432176331454027,0.001087337864902885,0.0012382861377989841,0
sin,0.5,fedgda_s,3,0.07630442559801574,0.07803413463060639,0.005097493069449006,0.07938676673867966,0.0816332526075847,0.003082341140663918,0.0024313611387620396,0.002437058493575044,0
sin,0.5,fedogda_s,3,0.08360137117039597,0.08614024481590275,0.00416751607685432,0.08589949602230679,0.08886046248686608,0.0022981248519107996,0.00036491938799587475,0.0004021215931057349,0
sin,1.0,fedgda_s,3,0.07679443926594547,0.07864254116539815,0.0021520109542942176,0.07935376120010715,0.08162751525788355,0.002559321934161682,0.0022621879556999837,0.0023064621881707503,0
sin,1.0,fedogda_s,3,0.08339551646320613,0.08579511720413463,0.004095960664757077,0.08533871430846807,0.08800373689459266,0.0019431978452619607,0.00012371281818396266,0.00016680128930443344,0
step,0.1,fedgda_s,3,0.026920204843550954,0.027293008485152304,0.0014698187541968618,0.02829961254244423,0.028698844635128184,0.0013794076988932781,0.0025638595666308377,0.0025858962676682308,0
step,0.1,fedogda_s,3,0.028664572750065554,0.029181640457587168,0.0029021663112594434,0.03135913870268631,0.03213428654507615,0.002694565952620747,0.0009167532761819985,0.000957633436565312,0
step,0.5,fedgda_s,3,0.025922972833077443,0.026267388165344286,0.001895291695808903,0.02697229421511593,0.02736719509497852,0.0010493213820384855,0.002988180032230676,0.0029971009083760124,0
step,0.5,fedogda_s,3,0.02923679149210066,0.02978609531745534,0.002718530781074436,0.030434834496206157,0.031132505131911417,0.0011980430041055,0.000375021407205216,0.0003923204493472158,0
step,1.0,fedgda_s,3,0.02687958869343261,0.027254947518884853,0.0016442086832557912,0.0328622351823649,0.033574776774047264,0.005982646488932298,0.0026073498848922442,0.002603683581596164,0
step,1.0,fedogda_s,3,0.02878842785503545,0.02933060126614064,0.0029426866990046366,0.030204826899717468,0.03076024320710603,0.0014163990446820127,0.0001329231057048194,0.00013694851317012542,0
