run_id,method,dataset,seed,alpha,critic_multiplier,weight_decay,best_validation_mse,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,final_vs_best_validation_gap,last_50_val_mse_std,last_50_train_mse_std,diverged,runtime_seconds,result_dir
rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p1,fedgda_s,abs,0,0.1,10.0,0.03,0.000677726099664873,0.0007014676955070171,423,0.002677796901597559,0.0027008256542297247,0.0020000708019326857,0.003567232073529178,0.0035835748792708106,False,392.4557795524597,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p1
rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p1,fedogda_s,abs,0,0.1,10.0,0.1,0.004170564981794433,0.004224131604563522,498,0.00417281821339045,0.004232039798326876,2.253231596017341e-06,0.0020741636134441526,0.0020946238887232784,False,192.96896600723267,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p1
rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p1,fedgda_s,abs,1,0.1,10.0,0.03,0.006225680175951548,0.006399854504840437,391,0.007542422803290181,0.00770980698874209,0.0013167426273386325,0.005242670299740274,0.005256482598629196,False,180.53315377235413,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p1
rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p1,fedogda_s,abs,1,0.1,10.0,0.1,0.0063707108276686766,0.006492114916789562,415,0.014103992039626081,0.014664088416751007,0.007733281211957405,0.0013319346361862208,0.001353920655356067,False,193.33798146247864,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p1
rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p1,fedgda_s,abs,2,0.1,10.0,0.03,0.0013642446348014969,0.001397470631696574,228,0.006119229185690571,0.00608580013347739,0.004754984550889074,0.0028053443962608917,0.0028578700113157315,False,187.8165876865387,results/rerun_protocol_v1/abs/fedgda_s/seed_2/rerun_protocol_v1_abs_fedgda_s_seed2_alpha0p1
rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p1,fedogda_s,abs,2,0.1,10.0,0.1,0.024807159314620488,0.025336297087413546,498,0.025073277291488505,0.025622987336894797,0.0002661179768680168,0.004506107443418464,0.004590504566604523,False,196.0956494808197,results/rerun_protocol_v1/abs/fedogda_s/seed_2/rerun_protocol_v1_abs_fedogda_s_seed2_alpha0p1
rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p5,fedgda_s,abs,0,0.5,10.0,0.03,0.0005237341518740604,0.0005328621876962478,222,0.001076617892090753,0.001118432342798487,0.0005528837402166926,0.0008647473266332204,0.0008668177217480088,False,181.0261514186859,results/rerun_protocol_v1/abs/fedgda_s/seed_0/rerun_protocol_v1_abs_fedgda_s_seed0_alpha0p5
rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5,fedogda_s,abs,0,0.5,10.0,0.1,0.006532075687872711,0.006701712291848975,499,0.006532075687872711,0.006701712291848975,0.0,0.003040367171673552,0.0030851802420471686,False,194.65146684646606,results/rerun_protocol_v1/abs/fedogda_s/seed_0/rerun_protocol_v1_abs_fedogda_s_seed0_alpha0p5
rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5,fedgda_s,abs,1,0.5,10.0,0.03,0.006419084240050454,0.006562232470117874,150,0.00850672651588012,0.008641235246094971,0.002087642275829667,0.0030475811386278234,0.003058941437715447,False,181.25218296051025,results/rerun_protocol_v1/abs/fedgda_s/seed_1/rerun_protocol_v1_abs_fedgda_s_seed1_alpha0p5
rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5,fedogda_s,abs,1,0.5,10.0,0.1,0.006828394533845636,0.006969377204524669,439,0.008621925529237691,0.008988455276731188,0.001793530995392055,0.0004995252190258801,0.0005161284325179315,False,196.48807048797607,results/rerun_protocol_v1/abs/fedogda_s/seed_1/rerun_protocol_v1_abs_fedogda_s_seed1_alpha0p5
