grid_id,critic_multiplier,weight_decay,selection_metric,tie_breaker_1,tie_breaker_2
cm2_wd0p001,2,0.001,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm2_wd0p01,2,0.01,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm2_wd0p03,2,0.03,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm2_wd0p1,2,0.1,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm5_wd0p001,5,0.001,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm5_wd0p01,5,0.01,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm5_wd0p03,5,0.03,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm5_wd0p1,5,0.1,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm10_wd0p001,10,0.001,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm10_wd0p01,10,0.01,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm10_wd0p03,10,0.03,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm10_wd0p1,10,0.1,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm20_wd0p001,20,0.001,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm20_wd0p01,20,0.01,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm20_wd0p03,20,0.03,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
cm20_wd0p1,20,0.1,mean_best_validation_mse_across_seeds,mean_last_50_val_mse_std,mean_final_vs_best_validation_gap
