dataset,alpha,critic_multiplier,weight_decay,num_seeds,seed_values,diverged_count,all_seeds_present,eligible_for_selection,selection_rank,mean_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,mean_final_test_mse,mean_final_vs_best_validation_gap,mean_last_50_val_mse_std,mean_last_50_train_mse_std,mean_runtime_seconds
abs,0.5,2.0,0.001,3,0|1|2,0,True,True,13,0.10331710119313996,0.1050922817543254,0.01005464200638014,0.10955350733367782,0.1118279795910579,0.006236406140537877,0.004296027343911299,0.004351834334949147,195.9137868086497
abs,0.5,2.0,0.01,3,0|1|2,0,True,True,14,0.10331710119313996,0.1050922817543254,0.01005464200638014,0.10955350733367782,0.1118279795910579,0.006236406140537877,0.004296027343911299,0.004351834334949147,196.92423876126608
abs,0.5,2.0,0.03,3,0|1|2,0,True,True,15,0.10331710119313996,0.1050922817543254,0.01005464200638014,0.10955350733367782,0.1118279795910579,0.006236406140537877,0.004296027343911299,0.004351834334949147,197.79254460334778
abs,0.5,2.0,0.1,3,0|1|2,0,True,True,16,0.10331710119313996,0.1050922817543254,0.01005464200638014,0.10955350733367782,0.1118279795910579,0.006236406140537877,0.004296027343911299,0.004351834334949147,200.0996736685435
abs,0.5,5.0,0.001,3,0|1|2,0,True,True,9,0.04223411603563872,0.0430095172544624,0.025360694316193404,0.04223411603563872,0.0430095172544624,-2.3129646346357427e-18,0.0037242672866804895,0.0037934143474350444,190.55376648902893
abs,0.5,5.0,0.01,3,0|1|2,0,True,True,10,0.04223411603563872,0.0430095172544624,0.025360694316193404,0.04223411603563872,0.0430095172544624,-2.3129646346357427e-18,0.0037242672866804895,0.0037934143474350444,196.8608680566152
abs,0.5,5.0,0.03,3,0|1|2,0,True,True,11,0.04223411603563872,0.0430095172544624,0.025360694316193404,0.04223411603563872,0.0430095172544624,-2.3129646346357427e-18,0.0037242672866804895,0.0037934143474350444,200.27080249786377
abs,0.5,5.0,0.1,3,0|1|2,0,True,True,12,0.04223411603563872,0.0430095172544624,0.025360694316193404,0.04223411603563872,0.0430095172544624,-2.3129646346357427e-18,0.0037242672866804895,0.0037934143474350444,199.1450912952423
abs,0.5,10.0,0.001,3,0|1|2,0,True,True,5,0.015047340766347962,0.015362574723562323,0.012059536523134611,0.01564518443147864,0.016035600747631162,0.0005978436651306804,0.0026644094345052347,0.0027158203985275515,200.5974203745524
abs,0.5,10.0,0.01,3,0|1|2,0,True,True,6,0.015047340766347962,0.015362574723562323,0.012059536523134611,0.01564518443147864,0.016035600747631162,0.0005978436651306804,0.0026644094345052347,0.0027158203985275515,201.64452727635702
abs,0.5,10.0,0.03,3,0|1|2,0,True,True,7,0.015047340766347962,0.015362574723562323,0.012059536523134611,0.01564518443147864,0.016035600747631162,0.0005978436651306804,0.0026644094345052347,0.0027158203985275515,194.21453762054443
