run_id,dataset,dataset_label,variant,method,method_family,mode,seed,partition_alpha,client_num_in_total,client_num_per_round,batch_size,comm_rounds,local_epochs,g_lr,f_lr,critic_multiplier,server_lr,weight_decay,best_validation_round,best_validation_mse,test_mse_at_best_validation,final_validation_mse,final_test_mse,diverged,finite_history,history_round_count,last50_validation_mse_mean,last50_validation_mse_std,last50_validation_mse_min,last50_validation_mse_max,last50_validation_mse_range,last50_validation_mse_cv,stable_validation_cv_le_0p05,stable_validation_range_le_1e_4,mse_by_round_columns,per_round_test_mse_column,has_per_round_test_mse,predictions_npz_exists,periodic_checkpoint_rounds,tail_start_round,last50_available_checkpoint_rounds_upper_bound,last50_available_checkpoint_count_upper_bound,last50_has_full_round_checkpoints,result_dir
rerun_protocol_v1_sin_fedgda_d_seed0_alpha0p1,sin,sine,fedgda_d,fedgda_d,FedGDA,deterministic,0,0.1,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,499,0.08738817487127391,0.09000987619326388,0.08738817487127391,0.09000987619326388,False,True,500,0.08745892265344171,3.25380246805719e-05,0.08738817487127391,0.08749888612704343,0.00011071125576951613,0.0003720377943540956,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedgda_d/seed_0/rerun_protocol_v1_sin_fedgda_d_seed0_alpha0p1
rerun_protocol_v1_sin_fedogda_d_seed0_alpha0p1,sin,sine,fedogda_d,fedogda_d,FedOGDA,deterministic,0,0.1,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,499,0.087306127358294,0.08992452977277386,0.087306127358294,0.08992452977277386,False,True,500,0.08743078519980402,6.773527516022563e-05,0.087306127358294,0.08753763207756098,0.0002315047192669728,0.0007747302624062155,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_d/seed_0/rerun_protocol_v1_sin_fedogda_d_seed0_alpha0p1
rerun_protocol_v1_sin_fedgda_d_seed1_alpha0p1,sin,sine,fedgda_d,fedgda_d,FedGDA,deterministic,1,0.1,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,169,0.07927617270840466,0.08109314924971982,0.08426966218157708,0.08696955744806288,False,True,500,0.08499587081790189,0.0005029401489377794,0.0838172216786129,0.08558010936218317,0.0017628876835702745,0.005917230379523917,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedgda_d/seed_1/rerun_protocol_v1_sin_fedgda_d_seed1_alpha0p1
rerun_protocol_v1_sin_fedogda_d_seed1_alpha0p1,sin,sine,fedogda_d,fedogda_d,FedOGDA,deterministic,1,0.1,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,111,0.0792182448861643,0.08121494249418329,0.08356626169226097,0.08620707692500745,False,True,500,0.08391492964129015,0.00015559984298463544,0.08356626169226097,0.08407854562439147,0.0005122839321305,0.0018542569677383474,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_d/seed_1/rerun_protocol_v1_sin_fedogda_d_seed1_alpha0p1
rerun_protocol_v1_sin_fedgda_d_seed2_alpha0p1,sin,sine,fedgda_d,fedgda_d,FedGDA,deterministic,2,0.1,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,486,0.08437238996634831,0.087358804884214,0.08441614896722856,0.08746168456330232,False,True,500,0.08443539761489484,6.532104777642947e-05,0.08437238996634831,0.08458923946195224,0.00021684949560392408,0.0007736216044644586,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,486|499,2,False,results/rerun_protocol_v1/sin/fedgda_d/seed_2/rerun_protocol_v1_sin_fedgda_d_seed2_alpha0p1
rerun_protocol_v1_sin_fedogda_d_seed2_alpha0p1,sin,sine,fedogda_d,fedogda_d,FedOGDA,deterministic,2,0.1,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,470,0.08447835016454014,0.0874952918880233,0.08464852027313538,0.08778571162322724,False,True,500,0.0845224862415388,4.5651654933725925e-05,0.08447835016454014,0.08464852027313538,0.00017017010859524118,0.0005401125423980998,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,470|499,2,False,results/rerun_protocol_v1/sin/fedogda_d/seed_2/rerun_protocol_v1_sin_fedogda_d_seed2_alpha0p1
rerun_protocol_v1_sin_fedgda_d_seed0_alpha0p5,sin,sine,fedgda_d,fedgda_d,FedGDA,deterministic,0,0.5,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,499,0.08753152663301575,0.0901691072308283,0.08753152663301575,0.0901691072308283,False,True,500,0.08763333603050528,5.029402351217446e-05,0.08753152663301575,0.08770084116940913,0.0001693145363933779,0.000573914286392875,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedgda_d/seed_0/rerun_protocol_v1_sin_fedgda_d_seed0_alpha0p5
rerun_protocol_v1_sin_fedogda_d_seed0_alpha0p5,sin,sine,fedogda_d,fedogda_d,FedOGDA,deterministic,0,0.5,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,499,0.08755181865759408,0.09017894773973445,0.08755181865759408,0.09017894773973445,False,True,500,0.08770117136906369,7.844498233521034e-05,0.08755181865759408,0.08781630023029559,0.0002644815727015082,0.0008944576350650837,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_d/seed_0/rerun_protocol_v1_sin_fedogda_d_seed0_alpha0p5
rerun_protocol_v1_sin_fedgda_d_seed1_alpha0p5,sin,sine,fedgda_d,fedgda_d,FedGDA,deterministic,1,0.5,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,168,0.07925861112569858,0.0810968603571106,0.08352898080579574,0.08616272021452176,False,True,500,0.08454783845547663,0.00045115935779719527,0.08352898080579574,0.08506936650026209,0.0015403856944663508,0.005336143017243171,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedgda_d/seed_1/rerun_protocol_v1_sin_fedgda_d_seed1_alpha0p5
rerun_protocol_v1_sin_fedogda_d_seed1_alpha0p5,sin,sine,fedogda_d,fedogda_d,FedOGDA,deterministic,1,0.5,1000,1000,0,500,3,0.001,0.01,10.0,1.5,0.1,110,0.07918327423663558,0.0811763438678972,0.08328001960716984,0.08589379965248956,False,True,500,0.08362004008725274,0.0001770668228655592,0.08328001960716984,0.08381208656467361,0.0005320669575037684,0.0021175165986622355,True,False,round|train_mse|val_mse|gmm_train_objective|gmm_val_objective|gmm_eval|finite|diverged,,False,True,0|200|400,450,499,1,False,results/rerun_protocol_v1/sin/fedogda_d/seed_1/rerun_protocol_v1_sin_fedogda_d_seed1_alpha0p5
