rank_validation_only,run_id,alpha,seed,T,R,g_lr,f_lr,critic_multiplier,server_lr,best_validation_mse,best_validation_round,last50_validation_mse_mean,last50_validation_mse_std,last50_validation_mse_cv,last50_validation_mse_range,test_mse_at_best_validation,final_test_mse,last50_test_mse_mean,last50_test_mse_std,last50_test_mse_min,last50_test_mse_max,last50_test_mse_range,last50_test_mse_cv,last50_test_mse_status,diverged,finite_history,validated,result_dir
1,stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm15_slr1p5_glr0p002,1.0,0,200,3,0.002,0.03,15.0,1.5,0.0875283387303309,199,0.08797901126488644,0.0002669545824108523,0.003034298505664127,0.0009157349667762577,0.09025269225859107,0.09025269225859107,0.09079815923956305,0.0003241280858221561,0.09025269225859107,0.09136303885054298,0.0011103465919519023,0.003569764943879229,available,False,True,True,results/sine_fedogda_tuning/stage_A1_mini_deterministic/sin/fedogda_d/seed_0/stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm15_slr1p5_glr0p002
2,stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm10_slr1p5_glr0p002,1.0,0,200,3,0.002,0.02,10.0,1.5,0.08812200164861018,199,0.0885152024393222,0.000292939589243233,0.0033094833561957354,0.0009907603142664811,0.09096077960726537,0.09096077960726537,0.09144891228154263,0.0003526905812296559,0.09096077960726537,0.09215667014774076,0.0011958905404753917,0.0038566952020580823,available,False,True,True,results/sine_fedogda_tuning/stage_A1_mini_deterministic/sin/fedogda_d/seed_0/stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm10_slr1p5_glr0p002
3,stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R2_cm15_slr1p5_glr0p002,1.0,0,200,2,0.002,0.03,15.0,1.5,0.0886406678537213,199,0.08927960503574077,0.00038637115435205565,0.004327653042342448,0.0012733421840793874,0.09161217448410872,0.09161217448410872,0.09235303053777898,0.00044839895592374063,0.09161217448410872,0.09308914139623825,0.0014769669121295348,0.004855270620927956,available,False,True,True,results/sine_fedogda_tuning/stage_A1_mini_deterministic/sin/fedogda_d/seed_0/stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R2_cm15_slr1p5_glr0p002
4,stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm15_slr1p5_glr0p0005,1.0,0,200,3,0.0005,0.0075,15.0,1.5,0.08933819828991357,177,0.08948839704136353,0.00017237945071903844,0.0019262771087447327,0.0006687161367333744,0.09243329724253742,0.0927501848334762,0.09254972082331613,0.0001240521244218089,0.09240193367533296,0.09284418703376218,0.0004422533584292204,0.0013403835615953188,available,False,True,True,results/sine_fedogda_tuning/stage_A1_mini_deterministic/sin/fedogda_d/seed_0/stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm15_slr1p5_glr0p0005
5,stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R2_cm15_slr1p5_glr0p001,1.0,0,200,2,0.001,0.015,15.0,1.5,0.08936618866700272,132,0.08958715568024993,2.334867318337641e-05,0.00026062523144178556,8.262816753022706e-05,0.09246769034746542,0.09280655154231712,0.09286290094150598,4.1619309317292194e-05,0.09279269365947296,0.09292003315709135,0.00012733949761839503,0.00044818015478008866,available,False,True,True,results/sine_fedogda_tuning/stage_A1_mini_deterministic/sin/fedogda_d/seed_0/stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R2_cm15_slr1p5_glr0p001
6,stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm10_slr1p5_glr0p001,1.0,0,200,3,0.001,0.01,10.0,1.5,0.08938495138391216,98,0.08986245673245138,0.00016532009173194634,0.0018397014475595287,0.0004744833113865532,0.09245123885338118,0.0933207116818738,0.09306726363257585,0.00013523148534218905,0.09291292445865089,0.0933207116818738,0.00040778722322290517,0.001453051052151647,available,False,True,True,results/sine_fedogda_tuning/stage_A1_mini_deterministic/sin/fedogda_d/seed_0/stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm10_slr1p5_glr0p001
7,stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R2_cm10_slr1p5_glr0p001,1.0,0,200,2,0.001,0.01,10.0,1.5,0.08933344422239776,148,0.08989987348912665,0.000302086395122868,0.0033602538401725918,0.0008669744931144585,0.09237650433826704,0.0935261117115375,0.09321070866475113,0.00040670903758808206,0.09241426069054359,0.09361849183785213,0.0012042311473085404,0.004363329529559563,available,False,True,True,results/sine_fedogda_tuning/stage_A1_mini_deterministic/sin/fedogda_d/seed_0/stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R2_cm10_slr1p5_glr0p001
8,stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm15_slr1p5_glr0p001,1.0,0,200,3,0.001,0.015,15.0,1.5,0.08946278633326141,87,0.09003670923205588,5.1517669991320624e-05,0.000572185172367214,0.00017949338604061893,0.09258812410151072,0.09308912153984297,0.09323081371269033,5.6676704335609887e-05,0.09308912153984297,0.09329362661667122,0.0002045050768282458,0.0006079181557963299,available,False,True,True,results/sine_fedogda_tuning/stage_A1_mini_deterministic/sin/fedogda_d/seed_0/stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm15_slr1p5_glr0p001
9,stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R2_cm10_slr1p5_glr0p002,1.0,0,200,2,0.002,0.02,10.0,1.5,0.08943097776896634,73,0.09008952660747975,0.00015690321245946003,0.0017416365516392115,0.0005095707496790974,0.09251316822709107,0.09288380916838651,0.09330076812679533,0.00017398705639847203,0.09288380916838651,0.09345765811026391,0.0005738489418773973,0.0018647976848596187,available,False,True,True,results/sine_fedogda_tuning/stage_A1_mini_deterministic/sin/fedogda_d/seed_0/stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R2_cm10_slr1p5_glr0p002
10,stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm10_slr1p5_glr0p0005,1.0,0,200,3,0.0005,0.005,10.0,1.5,0.08931885050382202,198,0.09041908787648026,0.0010069809012086676,0.01113681773238284,0.0031779341024822383,0.09235589920611631,0.09236897325373603,0.0931861009218929,0.0008564236142351446,0.09232786856828044,0.09502122381055973,0.0026933552422792884,0.009190465163393682,available,False,True,True,results/sine_fedogda_tuning/stage_A1_mini_deterministic/sin/fedogda_d/seed_0/stage_A1_mini_sin_fedogda_d_seed0_alpha1p0_R3_cm10_slr1p5_glr0p0005
