Round,MSE
0,0.16325050355752546
1,0.16402807252732693
2,0.16483013493992943
3,0.1652393705907888
4,0.1654212346966126
5,0.16546371007868635
6,0.16551264804111243
7,0.16533253959674749
8,0.1650281536342489
9,0.16444080227551638
10,0.16315834695676973
11,0.16283463946233173
12,0.1621105004551035
13,0.16015553415908307
14,0.1574933080159234
15,0.15485259986340927
16,0.1528506769550949
17,0.1519125230832867
18,0.14747759581080422
19,0.1454931543614233
20,0.14373235225203052
21,0.14188152050486189
22,0.13989670817466524
23,0.1388819654671674
24,0.13725161942496494
25,0.1364979199310924
26,0.13515879417669702
27,0.13255791237554063
28,0.13054001049044336
29,0.12867780845159235
30,0.1254390206752314
31,0.1241679000421326
32,0.12177052136002688
33,0.12051160599646046
34,0.11890342376070526
35,0.1156048044552276
36,0.11470611395610138
37,0.1134543863080557
38,0.1129133469991099
39,0.11165487293430568
40,0.10787064215995742
41,0.10642179229025
42,0.10523842790867602
43,0.10375623248107972
44,0.10162203169126086
45,0.09966714627344023
46,0.09870762384444759
47,0.09727206486005924
48,0.0959416559129184
49,0.09467779557898776
50,0.0933354745535845
51,0.09206995713187807
52,0.09093433629282831
53,0.08985239385138989
54,0.0884225281419102
55,0.08688507763416017
56,0.08480131846336263
57,0.08247144508771188
58,0.07887977266646072
59,0.07681411146466038
60,0.07619378189371244
61,0.07573258049279827
62,0.07223500250277873
63,0.07024884714023381
64,0.0696260975062329
65,0.06892061807151904
66,0.06845617076244888
67,0.06730815944628742
68,0.06620033762191899
69,0.054954839273757855
70,0.05404146489792849
71,0.05346856259831592
72,0.052152328422834356
73,0.05125346116082322
74,0.05075384511894379
75,0.049155628377343524
76,0.04784151651360289
77,0.04723177251132296
78,0.04565845349909325
79,0.04471048307876155
80,0.04316270497041608
81,0.042542730962447074
82,0.04167378807107504
83,0.04048064168389085
84,0.03999305717766849
85,0.03920241120548461
86,0.03724982281918339
87,0.036347893370233086
88,0.03500923426187523
89,0.033809447111127613
90,0.0321902075929582
91,0.03116588009533054
92,0.030703101948898647
93,0.030189544053646735
94,0.02891620911880418
95,0.027856536314501006
96,0.0270795590066246
97,0.02647843235048949
98,0.02605400768748526
99,0.024433138887480898
100,0.023421764194042228
101,0.02277260004205489
102,0.017030997672520188
103,0.016560546689582328
104,0.015363505039424137
105,0.014564520603145042
106,0.014276872365394717
107,0.01381520059157761
108,0.012710580669845706
109,0.012416136290315162
110,0.011855105266800026
111,0.011675526398813543
112,0.011307616139458592
113,0.010664193454019326
114,0.010042815443778864
115,0.009854973772347628
116,0.00969024286617255
117,0.009432546019311195
118,0.009324313833738608
119,0.009206750229020432
120,0.009068112532654049
121,0.008911775437318034
122,0.008769398070847593
123,0.008675735682896276
124,0.00856104481337065
125,0.00834006213356312
126,0.00829414393212019
127,0.00825010669303094
128,0.008208667512194151
129,0.008204403141672688
130,0.008183659980009552
131,0.008159794961443471
132,0.008167270443430396
133,0.008201927351931858
134,0.008211492948468001
135,0.008226628319748826
136,0.00829656097994831
137,0.008952139040481654
138,0.009029720192566074
139,0.00913136809474501
140,0.009234556143009956
141,0.009318470174507126
142,0.00944517391548428
143,0.009548322071002428
144,0.009600623331691704
145,0.009729544387301092
146,0.00991650912783491
147,0.010052902826814602
148,0.010297610400032103
149,0.010579482762297714
150,0.01066803726853039
151,0.01088998018367089
152,0.01100957619625623
153,0.011203625104327264
154,0.01133157569160412
155,0.011441119854777991
156,0.011624219733924067
157,0.01194270393117016
158,0.012096239887678783
159,0.012301634893315849
160,0.012565672774710386
161,0.012861119816529305
162,0.013174089239271984
163,0.013726437581732432
164,0.013939553873197681
165,0.01407729815894709
166,0.014183877845584242
167,0.014326375268675633
168,0.014422741247809498
169,0.014537614287796697
170,0.014660383077160555
171,0.014908717812961584
172,0.015251059914359004
173,0.015331763938144803
174,0.015521957105190422
175,0.01577913230123996
176,0.01589023993165009
177,0.01597930569327169
178,0.01616985683068741
179,0.016344906741365055
180,0.01651162610308164
181,0.01658895598174281
182,0.016673877533124788
183,0.016761316825704187
184,0.016923515022098507
185,0.017015958381441487
186,0.017073416618442534
187,0.01713320779077412
188,0.017187529235365755
189,0.017227083214997326
190,0.017273732532199215
191,0.01732133374418778
192,0.017456894876524163
193,0.01750093267231794
194,0.017545390508335302
195,0.017672562564386637
196,0.017756506708058884
197,0.017803910834526114
198,0.017888043085813904
199,0.01791845146649668
200,0.017899620340267434
201,0.01789043384733778
202,0.017896474734959422
203,0.017911253022094464
204,0.01789231200669319
205,0.017935027149584892
206,0.017960902265702412
207,0.017963564814630056
208,0.01797238530169446
209,0.017943688290822577
210,0.01790510123699239
211,0.01786463749219237
212,0.01785711699319519
213,0.017817881702809645
214,0.01778320225230922
215,0.017752991578093406
216,0.017715235409083586
217,0.01768234143825754
218,0.01762563189392352
219,0.017593494147956114
220,0.017493265029036913
