Round,MSE
0,2.6132359401301533
1,2.612826640557016
2,2.6124042684720092
3,2.61196890885141
4,2.6115203142506704
5,2.6110624653027585
6,2.6105984440546726
7,2.610124029830528
8,2.6096422975711544
9,2.609148117405982
10,2.6086399396037936
11,2.6081258769382267
12,2.6076079869225954
13,2.6070852663274855
14,2.6065598032151946
15,2.6060278687726615
16,2.605494181425105
17,2.6049582324458758
18,2.6044213468808914
19,2.6038721113455794
0,2.6141028622858267
1,2.6145035635683467
2,2.6148582503170497
3,2.6151350933795716
4,2.6153287273608488
5,2.6154748320982146
6,2.6155497061519397
7,2.615558484855432
8,2.615509706351014
9,2.615406187779125
10,2.6152463292480133
11,2.6150255351407328
12,2.614728858179428
13,2.6143636901383274
14,2.6139316165560196
15,2.613447452771892
16,2.6129332317802545
17,2.6123802320391167
18,2.6117399888939894
19,2.611007647286076
