Round,MSE
0,1.414322587826204
1,1.418921316184738
2,1.422274077847696
3,1.4258038543541833
4,1.430347870283683
5,1.432749570494584
6,1.4349451020147117
7,1.441983739633445
8,1.4443418724487536
9,1.4481086899537483
10,1.4543553343111857
11,1.4563305525332348
12,1.4596050296367784
13,1.4637922801291363
14,1.4672452851631377
15,1.4723243355856925
16,1.4758703690329624
17,1.4779327586814912
18,1.4830067389613273
19,1.484723064965919
20,1.4872928775106304
21,1.4898019529799236
22,1.4943487650784935
23,1.4961548057451692
24,1.49772010470214
25,1.5006966907845518
26,1.5033739846652283
27,1.5068587809383767
28,1.5103607226281037
29,1.512057189542517
30,1.5163939013441374
31,1.51681239159221
32,1.5205203313177216
33,1.5223991514343924
34,1.5262950528114656
35,1.5297512060390401
36,1.531097928988606
37,1.5350983048571187
38,1.5371264045637811
39,1.5387442231282489
40,1.5429460302103066
41,1.545039876202014
42,1.547269402083203
43,1.5494018781480285
44,1.5513144026852173
45,1.5540073791338713
46,1.5546264771105855
47,1.5568431047210267
48,1.5592991040600446
49,1.5605687405331434
50,1.56368813631199
51,1.565852751965378
52,1.5682425154985655
53,1.5697656908167181
54,1.5725028382033936
55,1.5731722789382996
56,1.5762397614430774
57,1.5783217625053747
58,1.5795536869090943
59,1.5817714682375215
60,1.5842569060659821
61,1.5863288628878036
62,1.5879454716262003
63,1.5884416887320072
64,1.5899710163259146
65,1.5924485325687887
66,1.5941068820248014
67,1.5963172672436814
68,1.598046086604037
69,1.6089359829437206
70,1.605315687523252
71,1.6069227725064863
72,1.6083179184846754
73,1.609842457494839
74,1.6116059271273364
75,1.6132209370885782
76,1.6134616142532168
77,1.615126172742481
78,1.6162121638691536
79,1.6175807143648353
80,1.6187945415344631
81,1.619917779767895
82,1.6212586276817795
83,1.6227093341604362
84,1.6227924438632597
85,1.6252028813991695
86,1.6260995824716589
87,1.6263012308875917
88,1.6281482280444328
89,1.628617553298717
90,1.6306305412707802
91,1.6310673364075454
92,1.6320400802055037
93,1.6329012567007015
94,1.6343805697125304
95,1.6351379167438223
96,1.6364032426945276
97,1.6386742626877295
98,1.6388001519409638
99,1.6381445784471573
100,1.6394664230819487
