Round,MSE
0,2.6132359401301533
1,2.612851488234644
2,2.6124522899676332
3,2.612039036191391
4,2.61161214648769
0,2.6132359401301533
1,2.612851488234644
2,2.6124522899676332
3,2.612039036191391
4,2.61161214648769
5,2.6111739130104707
6,2.610725651605317
7,2.6102682978274414
8,2.6098027904850043
9,2.609324975289741
10,2.6088333788452553
11,2.6083358661945573
12,2.607832885819294
13,2.607323782313152
14,2.6068100202502253
15,2.606292204498322
16,2.6057711123019085
17,2.605247224305942
18,2.604720985991118
19,2.60418703232134
0,2.6132359401301533
1,2.612851488234644
2,2.6124522899676332
3,2.612039036191391
4,2.61161214648769
5,2.6111739130104707
6,2.610725651605317
7,2.6102682978274414
8,2.6098027904850043
9,2.609324975289741
10,2.6088333788452553
11,2.6083358661945573
12,2.607832885819294
13,2.607323782313152
14,2.6068100202502253
15,2.606292204498322
16,2.6057711123019085
17,2.605247224305942
18,2.604720985991118
19,2.60418703232134
0,2.6131148413711127
1,2.6125881914849645
2,2.6120268298530767
3,2.611432463264945
4,2.6108082258017347
5,2.6101555138920456
6,2.6094801186118097
7,2.608784041886453
8,2.6080680844480564
9,2.607326136818809
10,2.606565210302979
11,2.605789440118397
12,2.6050028989112297
13,2.604207219892014
14,2.603399582252643
15,2.6025825204782893
16,2.601759646616907
17,2.600937427220396
18,2.600130071079177
19,2.5993359787570753
0,2.6141028622858267
1,2.614556324819072
2,2.6149611734942773
3,2.6152999350356927
4,2.615563733498453
5,2.615762085200053
6,2.6158940885489597
7,2.6159590119086378
8,2.615959138535738
9,2.6159005527983545
10,2.6157854444025035
11,2.6156078973541455
12,2.6153600854218375
13,2.6150425529040593
14,2.6146553674160757
15,2.614211090535599
16,2.613721807330623
17,2.6131894427056808
18,2.612581739316802
19,2.611894342500309
0,2.6779595873145094
1,2.67789704159577
2,2.677868808516915
3,2.677864997301776
4,2.6778816849742473
5,2.677910524939832
6,2.6779500270242753
7,2.6779928211360575
8,2.678022573772844
9,2.678031397710029
10,2.677998706798652
11,2.6778942718487966
12,2.67751977507724
13,2.6768951719219216
14,2.6759810172945775
15,2.6747581922972588
16,2.6732116058645303
17,2.671343741549851
18,2.669154388047052
19,2.66663014551537
